,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,42,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,219,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1,35,technician,divorced,professional.course,no,no,no,cellular,aug,fri,424,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
2,38,entrepreneur,married,university.degree,no,unknown,unknown,cellular,aug,fri,188,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
3,46,blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,492,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
4,33,technician,divorced,high.school,no,no,no,cellular,aug,fri,174,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
5,44,admin.,married,high.school,unknown,yes,no,cellular,aug,fri,453,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
6,42,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,59,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
7,34,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,263,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
8,33,admin.,divorced,high.school,no,yes,no,cellular,aug,fri,57,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
9,35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,329,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
10,32,technician,single,university.degree,no,yes,no,cellular,aug,fri,166,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
11,58,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,72,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
12,45,management,married,university.degree,no,yes,no,cellular,aug,fri,334,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
13,39,technician,divorced,professional.course,no,yes,no,cellular,aug,fri,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
14,53,admin.,divorced,high.school,no,no,yes,cellular,aug,fri,1567,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
15,30,blue-collar,married,high.school,no,yes,no,cellular,aug,fri,765,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
16,41,technician,divorced,university.degree,no,yes,yes,cellular,aug,fri,89,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
17,43,admin.,married,university.degree,unknown,no,no,cellular,aug,fri,170,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
18,36,technician,married,high.school,no,no,no,cellular,aug,fri,314,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
19,29,admin.,married,university.degree,no,no,yes,cellular,aug,fri,14,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
20,42,self-employed,married,university.degree,no,no,no,cellular,aug,fri,148,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
21,41,technician,divorced,university.degree,no,yes,yes,cellular,aug,fri,116,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
22,37,technician,married,professional.course,unknown,yes,no,cellular,aug,fri,17,7,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
23,52,retired,married,high.school,no,yes,no,cellular,aug,fri,293,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
