,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predict
0,37,admin.,married,university.degree,no,yes,no,telephone,nov,wed,119,1,6,1,success,-0.1,93.2,-42.0,4.286,5195.8,1
1,48,management,married,university.degree,no,yes,no,cellular,nov,mon,112,1,4,1,success,-0.1,93.2,-42.0,4.191,5195.8,1
2,36,self-employed,single,university.degree,no,yes,no,cellular,nov,mon,200,2,4,1,success,-0.1,93.2,-42.0,4.191,5195.8,1
3,31,entrepreneur,divorced,basic.4y,no,no,no,cellular,nov,tue,290,1,5,1,success,-0.1,93.2,-42.0,4.153,5195.8,1
4,52,admin.,single,basic.9y,no,yes,no,cellular,nov,tue,296,1,6,1,success,-0.1,93.2,-42.0,4.153,5195.8,1
5,49,management,divorced,university.degree,no,no,no,cellular,nov,wed,364,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
6,31,unemployed,single,professional.course,no,yes,no,cellular,nov,wed,192,1,0,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
7,35,self-employed,single,university.degree,no,no,yes,cellular,nov,wed,197,1,3,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
8,58,management,divorced,university.degree,no,no,no,cellular,nov,wed,418,1,5,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
9,32,services,married,high.school,no,yes,no,cellular,nov,wed,74,1,5,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
10,31,blue-collar,single,high.school,no,yes,no,cellular,nov,wed,522,1,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
11,54,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,159,2,4,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
12,35,management,married,university.degree,no,yes,yes,telephone,nov,wed,377,3,0,2,success,-0.1,93.2,-42.0,4.12,5195.8,1
13,39,blue-collar,married,basic.6y,no,yes,yes,telephone,nov,wed,214,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
14,34,management,single,high.school,no,yes,yes,cellular,nov,wed,201,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,1
15,31,admin.,married,university.degree,no,yes,no,cellular,nov,thu,298,2,5,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
16,42,admin.,married,university.degree,no,yes,no,cellular,nov,thu,75,2,4,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
17,56,entrepreneur,married,university.degree,unknown,no,no,cellular,nov,thu,392,2,3,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
18,35,admin.,married,university.degree,no,yes,no,cellular,nov,thu,333,2,3,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
19,35,admin.,single,university.degree,no,yes,no,cellular,nov,thu,20,8,6,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
20,36,management,married,university.degree,no,no,no,cellular,nov,thu,192,2,6,1,success,-0.1,93.2,-42.0,4.076,5195.8,1
21,49,management,married,university.degree,no,yes,no,cellular,nov,fri,846,1,3,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
22,52,admin.,married,high.school,no,yes,yes,cellular,nov,fri,57,5,6,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
23,46,unemployed,divorced,basic.4y,no,no,no,cellular,nov,fri,366,3,3,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
24,41,technician,married,professional.course,no,yes,no,cellular,nov,fri,82,5,5,1,success,-0.1,93.2,-42.0,4.021,5195.8,1
25,50,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,72,3,1,2,success,-0.1,93.2,-42.0,4.021,5195.8,1
26,38,technician,married,professional.course,no,yes,no,cellular,mar,fri,363,2,10,1,success,-1.8,92.843,-50.0,1.726,5099.1,1
27,38,technician,married,professional.course,no,yes,no,cellular,mar,fri,207,2,7,1,success,-1.8,92.843,-50.0,1.726,5099.1,1
28,30,student,single,high.school,no,no,no,cellular,mar,fri,268,5,10,2,failure,-1.8,92.843,-50.0,1.64,5099.1,1
29,30,admin.,married,university.degree,no,unknown,unknown,cellular,mar,mon,291,3,8,1,success,-1.8,92.843,-50.0,1.629,5099.1,1
30,77,retired,divorced,unknown,no,yes,no,cellular,mar,tue,178,1,999,0,nonexistent,-1.8,92.843,-50.0,1.614,5099.1,1
31,29,admin.,single,university.degree,no,yes,no,cellular,apr,wed,513,1,5,2,success,-1.8,93.075,-47.1,1.498,5099.1,1
32,41,unemployed,married,basic.9y,no,no,yes,cellular,apr,mon,322,1,9,1,success,-1.8,93.075,-47.1,1.466,5099.1,1
33,28,student,single,university.degree,no,yes,no,cellular,apr,tue,93,3,11,2,failure,-1.8,93.075,-47.1,1.453,5099.1,1
34,37,blue-collar,married,basic.4y,no,yes,no,cellular,apr,wed,281,1,5,1,success,-1.8,93.075,-47.1,1.445,5099.1,1
35,39,technician,single,professional.course,no,no,no,cellular,apr,wed,540,3,9,1,success,-1.8,93.075,-47.1,1.415,5099.1,1
36,70,retired,married,unknown,no,yes,no,cellular,apr,thu,346,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1
37,70,retired,married,unknown,no,yes,yes,cellular,apr,thu,96,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,1
38,29,admin.,single,high.school,no,yes,yes,cellular,apr,thu,123,3,9,1,success,-1.8,93.075,-47.1,1.41,5099.1,1
39,55,retired,married,high.school,no,no,no,cellular,apr,fri,401,1,8,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
40,45,services,single,unknown,no,no,no,cellular,apr,fri,345,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
41,71,retired,single,unknown,no,yes,no,cellular,apr,fri,188,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
42,35,admin.,single,high.school,no,no,no,cellular,apr,fri,146,2,5,2,success,-1.8,93.075,-47.1,1.405,5099.1,1
43,38,technician,divorced,high.school,no,no,no,telephone,apr,fri,320,3,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
44,73,retired,married,basic.4y,no,yes,no,cellular,apr,mon,158,1,6,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
45,56,retired,divorced,university.degree,no,yes,no,cellular,apr,mon,199,5,9,1,success,-1.8,93.075,-47.1,1.405,5099.1,1
