,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
0,(주)강진금속,0.59,195488,54.03,-1.75,-9.41,-5.59,22.29,-12.56,0.6,10.72,1.78,0.66,89.28,4.26,6.63,1.09,2.76,168.17,87.9,1119.91,54.77,147.35,-6.2,3.47,9416905.0,15016449.0,16461502.0,4.71,7696355.0,6765397.0,2.69,3.88,0
1,(주)경남세화약품,0.85,40112,8.58,17.44,20.58,24.59,-8.63,8.57,0.87,5.16,17.19,1.61,94.84,5.15,11.61,1.85,27.68,961.58,103.53,215.31,86.67,66.96,3.2,0.03,10558865.0,11656945.0,19962387.0,3.44,10548865.0,10921701.0,1.82,4.71,0
2,(주)그린칩스,1.61,500424,24.73,0.46,-0.15,2.68,874.69,557.89,1.4,7.58,3.83,1.9,92.42,5.84,5.1,1.36,1129.91,100.47,121.77,17096.55,66.94,78.13,10.91,0.1,17176548.0,34273100.0,46626206.0,-3.93,17176548.0,20916206.0,-1.45,3.4,1
3,광진통운(주),0.51,503677,84.12,-2.51,19.72,8.5,-35.76,38.27,0.7,6.85,6,0.52,93.15,3.7,171.49,0.73,1.1,1012.86,88.76,445.02,87.72,741.36,-4.23,8.75,18029842.0,19809936.0,14745176.0,9.14,7450447.0,6612995.0,11.17,5.87,0
4,뉴경기관광주식회사,0.5,1075996,40.32,1.75,-2.41,-1.24,-14.77,-37.9,10.21,75.24,9.22,0.71,24.76,208.76,163.93,0.07,0.13,1014.52,229.49,1781.82,229.26,664.29,22.79,0.16,195230651.0,214474308.0,14772244.0,-0.82,37754236.0,86640442.0,-10.85,2.52,0
5,대림철강주식회사,1.68,1851450,37.24,-16.4,-18.82,-9.93,118.35,84.79,0.98,4.78,5.65,1.71,95.22,4.42,6.16,1.75,9.59,198.3,105.5,1454.99,65.62,92.48,3.59,1.66,31507571.0,47396042.0,90830256.0,13.12,30999100.0,32702520.0,4.55,4.82,1
6,동남석유공업주식회사,0.81,503956.0,49.83,7.33,-6.5,-17.0,12.31,-33.92,0.86,16.35,1.09,0.52,83.65,4.25,2.63,0.6,1.32,117.19,87.98,2568.6,41.97,132.53,-5.33,2.3,16857070.0,31241205.0,18223539.0,15.45,13841336.0,12177279.0,14.29,4.24,0
7,(주)동양테크윈,1.31,395354.0,28.64,6.69,18.35,-2.66,55.37,261.28,1.01,12.16,4.42,1.49,87.84,7.4,16.13,1.47,4.56,200.68,108.68,2238.85,89.99,110.77,5.04,3.54,17971296.0,26926681.0,38390416.0,-1.13,15648875.0,17006676.0,-0.53,4.16,1
8,(주)디에스피,1.17,748796.0,48.56,2.84,-2.34,27.46,346.18,29.87,1.98,25.64,4.15,1.08,74.36,1.54,2.38,0.54,1.87,218.41,111.12,535.37,67.44,130.5,5.91,0.49,17539347.0,25569868.0,13727755.0,0.21,13579652.0,15089950.0,0.27,5.19,1
9,(주)렉서스와이엠,2.03,1828103.0,54.38,15.47,2.57,19.11,868.98,92.24,1.78,14.06,11.55,3.1,85.94,78.24,27.7,1.74,2.7,243.62,46.35,269.14,40.01,245.52,-33.04,3.0,19670127.0,27744303.0,44960827.0,14.99,17087977.0,7920382.0,6.56,5.97,1
10,(주)무진오토,1.55,1047980.0,58.43,-1.64,-6.72,43.42,-41.96,501.54,0.83,9.57,10.66,1.77,90.43,9.35,20.42,2.13,4.12,472.3,57.93,595.87,45.57,346.17,-28.69,7.13,18236492.0,22097738.0,47476790.0,13.39,15072106.0,8731435.0,5.14,5.03,1
11,동아육운주식회사,0.55,291560.0,56.66,-3.29,-1.44,9.49,500.99,-4.0,24.88,52.5,7.76,2.89,47.5,69.28,0.22,0.12,8.67,154.53,161.32,296.13,72.46,8.2,36.79,2.8,13727937.0,22611788.0,2667046.0,-6.75,13564826.0,21882956.0,-34.74,3.86,0
12,동원로엑스주식회사,0.85,11153132.0,34.54,-6.26,-23.93,-14.52,1200.71,-15.63,1.12,5.31,2.06,0.87,94.69,4.1,892.43,0.78,3.36,126.83,48.49,1134.24,48.29,179.4,-22.21,1.05,391289430.0,699804021.0,561858111.0,14.34,301781774.0,146324452.0,9.99,5.23,0
13,동화바이텍스(주),1.24,610263.0,54.17,0.8,-5.0,17.0,33.92,2762.26,1.93,17.64,1.91,0.7,82.36,2.9,7.21,0.36,0.49,168.19,58.15,509.13,42.38,208.28,-16.08,0.21,17778747.0,28349349.0,10189162.0,0.86,10891289.0,6332844.0,1.49,3.1,1
14,명남종합건설주식회사,1.38,274551.0,24.21,-13.7,-16.12,14.47,435.73,213.84,0.78,8.26,1.51,0.98,91.74,8.29,1.99,1.25,224.18,45.61,313.35,421.63,107.16,12.94,62.04,1.55,3269020.0,10436741.0,14037468.0,-9.02,3034664.0,9509183.0,-2.1,5.91,1
15,민성정밀주식회사,0.7,223185.0,55.1,3.34,5.62,39.56,-23.18,-38.92,2.18,34.64,2.63,0.92,65.36,10.31,21.07,0.42,0.6,186.69,489.59,2642.03,463.05,220.71,18.32,163.62,9864972.0,15149041.0,6296010.0,12.47,712168.0,3486725.0,19.53,3.82,0
