,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
0,(주)강진금속,-1.75,-9.41,-5.59,22.29,-12.56,0.6,10.72,1.78,0.66,89.28,4.26,6.63,1.09,2.76,168.17,87.9,1119.91,54.77,147.35,-6.2,3.47,0.6271059822465351,0.5720562437133623,4.71,0.8172913499711423,0.45053241282276524,2.69,3.88,0
1,(주)경남세화약품,17.44,20.58,24.59,-8.63,8.57,0.87,5.16,17.19,1.61,94.84,5.15,11.61,1.85,27.68,961.58,103.53,215.31,86.67,66.96,3.2,0.03,0.9058003619301627,0.528937997244518,3.44,0.9990529285107822,0.9369265274906933,1.82,4.71,0
2,(주)그린칩스,0.46,-0.15,2.68,874.69,557.89,1.4,7.58,3.83,1.9,92.42,5.84,5.1,1.36,1129.91,100.47,121.77,17096.55,66.94,78.13,10.91,0.1,0.5011670377059559,0.36838828361887305,-3.93,1.0,0.610280540715605,-1.45,3.4,1
3,광진통운(주),-2.51,19.72,8.5,-35.76,38.27,0.7,6.85,6.0,0.52,93.15,3.7,171.49,0.73,1.1,1012.86,88.76,445.02,87.72,741.36,-4.23,8.75,0.9101413553279526,1.2227620748643488,9.14,0.41322863505958624,0.33382212845109643,11.17,5.87,0
4,뉴경기관광주식회사,1.75,-2.41,-1.24,-14.77,-37.9,10.21,75.24,9.22,0.71,24.76,208.76,163.93,0.07,0.13,1014.52,229.49,1781.82,229.26,664.29,22.79,0.16,0.9102752344583855,13.216045646145568,-0.82,0.1933827286167273,0.4039665301076528,-10.85,2.52,0
5,대림철강주식회사,-16.4,-18.82,-9.93,118.35,84.79,0.98,4.78,5.65,1.71,95.22,4.42,6.16,1.75,9.59,198.3,105.5,1454.99,65.62,92.48,3.59,1.66,0.6647721976446894,0.3468840933355951,13.12,0.983861942261433,0.689984197414628,4.55,4.82,1
6,동남석유공업주식회사,7.33,-6.5,-17.0,12.31,-33.92,0.86,16.35,1.09,0.52,83.65,4.25,2.63,0.6,1.32,117.19,87.98,2568.6,41.97,132.53,-5.33,2.3,0.5395780988601432,0.9250162660501893,15.45,0.8210997522107935,0.38978262842294337,14.29,4.24,0
7,(주)동양테크윈,6.69,18.35,-2.66,55.37,261.28,1.01,12.16,4.42,1.49,87.84,7.4,16.13,1.47,4.56,200.68,108.68,2238.85,89.99,110.77,5.04,3.54,0.6674159358890166,0.46811933478397316,-1.13,0.870770533188035,0.6315919886301621,-0.53,4.16,1
8,(주)디에스피,2.84,-2.34,27.46,346.18,29.87,1.98,25.64,4.15,1.08,74.36,1.54,2.38,0.54,1.87,218.41,111.12,535.37,67.44,130.5,5.91,0.49,0.6859381127818102,1.2776558876524238,0.21,0.7742393146107435,0.590145791914139,0.27,5.19,1
9,(주)렉서스와이엠,15.47,2.57,19.11,868.98,92.24,1.78,14.06,11.55,3.1,85.94,78.24,27.7,1.74,2.7,243.62,46.35,269.14,40.01,245.52,-33.04,3.0,0.7089789568690913,0.4374947773981115,14.99,0.8687273346023643,0.28547777898763577,6.56,5.97,1
10,(주)무진오토,-1.64,-6.72,43.42,-41.96,501.54,0.83,9.57,10.66,1.77,90.43,9.35,20.42,2.13,4.12,472.3,57.93,595.87,45.57,346.17,-28.69,7.13,0.8252651017945819,0.38411383751934364,13.39,0.8264805533871317,0.39512799907393237,5.14,5.03,1
11,동아육운주식회사,-3.29,-1.44,9.49,500.99,-4.0,24.88,52.5,7.76,2.89,47.5,69.28,0.22,0.12,8.67,154.53,161.32,296.13,72.46,8.2,36.79,2.8,0.6071141742528278,5.1472441795154635,-6.75,0.9881183166851655,0.9677676086473126,-34.74,3.86,0
12,동원로엑스주식회사,-6.26,-23.93,-14.52,1200.71,-15.63,1.12,5.31,2.06,0.87,94.69,4.1,892.43,0.78,3.36,126.83,48.49,1134.24,48.29,179.4,-22.21,1.05,0.5591414428297491,0.6964203636814633,14.34,0.7712494917125668,0.20909347132773906,9.99,5.23,0
13,동화바이텍스(주),0.8,-5.0,17.0,33.92,2762.26,1.93,17.64,1.91,0.7,82.36,2.9,7.21,0.36,0.49,168.19,58.15,509.13,42.38,208.28,-16.08,0.21,0.6271306970752661,1.7448684199937148,0.86,0.6126016079760852,0.22338587034220786,1.49,3.1,1
14,명남종합건설주식회사,-13.7,-16.12,14.47,435.73,213.84,0.78,8.26,1.51,0.98,91.74,8.29,1.99,1.25,224.18,45.61,313.35,421.63,107.16,12.94,62.04,1.55,0.31322229803345697,0.23287818002505864,-9.02,0.9283100133985108,0.9111257048536512,-2.1,5.91,1
15,민성정밀주식회사,3.34,5.62,39.56,-23.18,-38.92,2.18,34.64,2.63,0.92,65.36,10.31,21.07,0.42,0.6,186.69,489.59,2642.03,463.05,220.71,18.32,163.62,0.6511944881527484,1.5668609166757994,12.47,0.0721915885823092,0.23016143398120054,19.53,3.82,0
16,빅스포주식회사,14.26,62.01,5.01,227.97,2.77,3.81,61.3,8.56,1.73,38.7,52.04,22.72,0.46,0.5,405.16,11.16,142.01,6.19,469.92,-55.53,4.03,0.8020410921258411,1.8798070404649168,7.9,0.7793296975366999,0.06975574904409403,14.85,3.16,1
17,삼해상사주식회사,23.69,1.56,8.54,1.99,423.18,1.83,16.13,5.23,2.13,83.87,10.77,3.3,1.17,2.96,131.23,123.14,521.2,36.01,125.99,8.55,1.28,0.567531014764601,0.5381412423911291,4.43,0.6512893936149369,0.4551475371976941,2.38,5.35,1
18,(주)서원양행,-6.95,-9.92,-6.75,86.94,564.6,2.34,23.82,4.97,2.71,76.18,4.81,3.92,1.16,3.6,73.86,177.7,3147.29,90.47,69.17,26.33,12.23,0.42483791613799166,0.35343084543138,13.71,0.7976660056834406,0.6021727653059303,4.85,3.49,1
