구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,현금비율,현금비율,현금비율,부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018,2013,2014,2015,2016,2017,2018
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)CMG제약,58820,0.73,3.63,-32.2,999999999,999999999,999999999,791250,442322,-2572168,1730753,1558607,2567820,2.53,2.65,0,0,0,0,-1.8,3.87,-2.64,96.11,-1.27,4.39,-18.73,-25.87,-7.15,199.16,3.12,0.18,25.02,11.96,18.85,21.92,25.98,20.05,0,-48.84,0,0,67.4,113.94,0,-45.78,0,0,-9.95,64.75,1.65,0.75,-13.49,5.14,6.83,12.16,38.46,37.07,36.26,40.36,43.43,45.6,0.83,0.35,-7.61,2.29,2.85,6.01,0.59,0.3,-6.36,2.02,2.57,5.42,61.54,62.93,63.74,59.64,56.57,54.4,2.06,1.86,2.1,2.66,3.01,3.08,5.37,4.77,5.22,5.56,5.81,6.05,0.36,0.4,0.47,0.39,0.38,0.45,2.03,1.54,1.48,1.9,2.51,2.98,14.1,18.46,20.74,9.76,11.87,10,695.84,325.47,297.75,862.15,746.28,957.86,113.24,113.28,106.17,186.02,179.9,190.99,611.84,269.08,236.06,792.17,673.66,856.94,36.09,60.67,64.56,31.85,28.94,31.75,58.54,33.8,30.9,62.75,64.2,63.71,394.76,101.3,29.02,23.52,34.9,158.5,6915281,9065682,9725933,9872232,11624134,10398033,55912563,58068326,56532821,110979867,109568153,114379880,20402140,22752584,27041894,32969825,41535588,49864782,-38.65,-17.44,16.16,29.03,22.67,13.63,5500075,8719202,8849994,9136755,10884321,8495060,38209699,28300941,26271614,78772201,81227330,81370415,-13.15,-6.95,5.81,8.69,6.34,2.84,10.84,8.32,10.38,0,0,0
(주)DB하이텍,990,-0.16,0.67,2.49,4.39,6.01,6.76,-9610612,45560248,124968815,172427930,143195168,112993143,63.1,65.71,52.27,41.96,36.37,29.03,-8.67,-4.53,0.37,0.07,-2.86,7.48,-26.7,10.79,35.62,9.01,-4.29,9.06,-15.44,14.98,17.42,15.98,-12.08,-1.54,0,0,0,-30.96,-15.45,27.8,0,0,174.49,38.12,-17.13,-20.7,-14.83,-10.27,19.12,11.38,10.95,14.21,18.08,24.11,34.46,37.51,37.3,32.17,-31.05,-34.99,61.61,27.41,18.46,19.32,-6.66,-5.69,12.7,8.75,7.5,9.38,81.92,75.89,65.54,62.49,62.7,67.83,7.41,8.07,7.7,7.66,6.94,7.25,6.51,8.02,8.73,9.68,8.98,11.35,0.45,0.55,0.66,0.77,0.69,0.66,0.75,0.93,1.19,1.43,1.23,1.16,431.96,636.17,262.19,176.13,121.4,93.66,46.64,65.48,137.97,133.9,243.54,242.42,88.65,61.16,124.76,163.76,198.4,243.78,31.45,47.09,103.5,105.82,191.12,215.06,419.28,555.2,241.89,176.22,142.47,123.6,-24.24,-12.96,9.14,9.16,21.01,21.25,7.28,10.45,43.28,40.74,71.34,75.75,853635085,864173902,730586221,644871257,538152775,508142309,1058391832,984876636,984643712,986788572,993950720,1066533840,493752028,567718224,666594987,773140180,679737744,669279136,5.67,4.38,13.59,30.96,40.04,35.92,476867874,376436760,244044785,274231115,145225195,156796450,222960700,247582371,337757266,368924211,353662841,383378937,9.78,6.68,14.84,25.71,31.58,27.27,8.87,10.25,8.45,8.25,6.09,5.06
(주)ES큐브,50120,9.51,999999999,999999999,11.58,2.76,0.47,-1164611,171090,-4060426,2161041,2248520,-1211129,0,0,0,28.53,27.28,32.7,6.34,-5.46,4.92,121.67,0.37,3.46,108.04,-33.95,5.18,92.07,3.16,-35.09,3.72,-18.84,-0.81,-5.61,6.57,-15.62,0,0,0,383.86,-93.02,0,-66.38,50.09,627.37,-0.47,-8.03,-68.14,-32.19,-6.49,9.79,50.17,3.29,-12.25,25.75,17.79,16.68,18.24,17.81,17.93,-35.29,-5.68,8.39,30.46,1.73,-5.56,-32,-5.22,7.85,23.05,1.16,-3.6,74.25,82.21,83.32,81.76,82.19,82.07,18.07,14.19,14.34,14.63,14.35,11.66,109.46,107.59,111.32,85.07,89.52,64.64,0.99,0.8,0.8,0.46,0.35,0.29,39.66,47.82,59.65,13.21,6.09,3.41,8.69,8.95,5.02,49.59,46.85,63.08,1208.64,703.02,1260.55,949.52,1095.59,77.08,239.57,225.94,245.92,335.56,171.54,159.82,1192.79,694.35,1238.36,940.31,1085.6,75.59,34.29,56.85,54.67,87.45,84.16,119.41,62.78,41.02,44.14,37.16,38.79,-7.97,339.36,174.69,814.29,626.84,529.21,49.78,4765132,6983745,5965820,33468504,33075251,41682289,47137573,56611836,55620280,105164626,105892131,112430896,58597361,44459581,42152967,34289385,35745794,33763508,120.2,100.91,137.71,10.11,11.55,4.89,3630549,6002775,5378364,3406254,3702478,37613190,38357211,46214758,41180599,50885945,51038158,45061626,9.96,10.01,8.4,10.05,10.41,6.56,0,0,0,1.37,2.69,4.63
(주)HJ중공업,97230,-0.72,-0.78,-0.75,0.4,0.89,-0.66,-69574000,-144988000,-79370000,-79319000,-116693000,61676000,50.28,43.96,46.95,53.67,54.47,69.99,-1.66,-6.33,-15.2,-15.45,-15.54,-27.89,-19.43,-4.68,-12.67,5.33,-18.66,-0.54,-2.7,-6.66,13.47,-5.52,-9.91,0.78,0,0,0,0,0,0,0,0,0,0,75.76,0,-11.04,-12.55,-12.74,-17.34,-17.21,-55.03,1.37,0.04,3.38,7.89,11.07,11.41,-11.6,-12.66,-16.57,-29.31,-40.75,0,-3.61,-3.99,-5.15,-7.81,-8.27,-33.8,98.63,99.96,96.62,92.11,88.93,88.59,3.27,5.95,7.33,8.63,8.89,13.93,5.91,3.79,3.46,3.11,2.96,2.98,0.33,0.32,0.4,0.45,0.48,0.61,1.44,1.39,1.64,1.71,2.06,2.72,223.6,210.45,236.72,333.73,487.9,0,78.29,84.34,63.44,106.91,54.92,92.79,520.9,344.49,269.34,170.51,106.25,0,58.64,63.48,35.23,74.48,29.04,57.94,215.56,204.97,218.9,244.65,341.09,0,-9.26,-6.31,-20.17,2.82,-34.46,-4.5,17.91,9.77,3.12,6.19,4.24,15.34,5044381000,4897208000,4546048000,4361281000,3629457000,3441806000,6683379000,6470284000,5914637000,5256464000,4206655000,2733620000,2529341000,2520325000,3115473000,2813271000,2452314000,1697869000,-5.12,-3.87,0.13,3.12,8.14,9.88,3284862000,2843001000,3430218000,2636927000,3329421000,2140149000,2788908000,2647534000,2429499000,2372221000,1894161000,1720906000,-10.73,-7.99,0.21,4.88,12.88,15.73,5.07,5.1,5.68,5.72,5,5.73
(주)MH에탄올,23150,3.44,5.62,12.7,29.42,33.29,8.73,3009741,8744851,11092013,11874476,8116711,1228204,58.43,34.49,23.66,7.61,34.02,32.43,-11.98,-30.42,-7.7,-8.47,49.17,2.07,11.99,8.31,-22.34,-12.88,-3.8,0.82,1.78,5.8,2.86,-2.96,-1.28,-2.75,0,0,67.7,5.04,-27.43,11.02,48.04,-9.36,26.84,7.06,-11.99,-13.63,-25.11,9.43,15.37,16.64,12.23,13.96,28.19,24.24,27.71,30.54,28.37,26.87,-21.97,9.27,14.07,13.47,9.23,9.84,-8.89,4.45,9.45,10.79,6.58,6.04,71.81,75.76,72.29,69.46,71.63,73.13,4.46,4.66,4.7,4.65,4.7,4.5,8.12,7.49,9.52,10.7,8.74,7.87,0.35,0.47,0.61,0.65,0.54,0.43,1.35,1.4,1.38,1.32,1.26,1.17,160.02,62.36,36.69,13.86,66.06,60.15,38.13,88.61,105.94,248.1,117.34,133.8,1069.09,1142.28,1252.4,1376.13,1407.49,1489.56,29.15,66.52,88.4,175.61,81.93,87,205.12,109,98.89,83.89,137.87,133.3,-34.26,-4.22,1.55,15.71,2.51,4.24,0.07,0.01,15.34,17.76,4.9,0.03,83812413,32746158,21111704,8757790,393342742,348592051,129697936,85534839,78996052,72339673,500180086,440177523,62199887,48983781,50386203,48897025,51977132,72795863,5.59,16.44,43.75,145.9,26.89,21.15,75260635,31619269,20538639,7640748,189894170,141080352,43178092,28731429,22500870,19709368,84767703,29576016,9.1,10.99,18.34,26.16,23.81,18.56,3.9,3.08,3.64,3.35,1.49,2.87
(주)SH에너지화학,2360,5.95,25.43,85,209.47,155.23,30.8,6424227,21271907,22950175,24101160,14181936,2100669,25.44,8.77,5.98,2.85,2.84,2.9,7.31,-0.81,4.54,7.81,0.25,-1.92,18.48,-3.96,14.87,24.86,-0.56,-1.96,19.74,-1.22,-5.77,0.23,-13.86,-2.12,348.43,221.57,-18.82,39.04,-49.33,-68.93,150.58,181.47,12.95,3.06,-44.11,-78.68,2.11,6.86,5.91,8.2,4.82,1.53,7.13,13.28,16.27,16.16,12.43,6.47,7.19,20.33,14.52,18.13,8.53,2.64,4.56,14.21,11.33,14.83,7.23,2.27,92.87,86.72,83.73,83.84,87.57,93.53,7.96,7.48,7.25,6.02,5.32,6.84,17.57,17.57,16.9,19.3,12.58,9.17,2.16,2.07,1.92,1.81,1.5,1.48,7.12,7.2,6.71,6.65,5.89,5.94,57.61,30.81,25.69,19.28,16.59,16.17,165.4,271.71,379.52,652.02,943.62,1166.09,125.19,149.63,162.79,184.94,189.66,186.7,131.2,203.65,311.55,563.52,722.3,852.64,74.82,64.28,55.45,42.08,41.74,41.61,20.77,32.14,41.16,54.8,57.4,58.68,13.76,32.85,110.18,201.66,362.72,396.3,40889810,26504210,23874505,20399837,17618682,17043794,110488951,110741407,115520726,124488724,125312154,122434685,231912218,230912587,216441364,218397677,188114822,183598766,9.78,61.73,104.63,90.92,79.44,61.13,35131167,20681148,17080931,12512423,8284440,6658546,59051785,60325646,68213722,84222915,87597479,85758694,1.71,6.99,11.4,8.43,7.55,5.69,4.28,4.25,3.29,2.18,2.43,2.61
(주)SIMPAC,9160,16.68,9.26,23.49,20.91,15.27,3.25,23599349,17341900,21241031,23566192,11697915,10190572,18.96,9.36,11.51,10.92,14.58,16.43,13.82,-5.86,12.15,-0.84,-6.35,83.19,-29.28,10.8,16.97,0.13,-9.73,118.93,-8.63,11.23,-6.3,1.26,-5.88,32.35,-14.75,-46.77,90.33,-15.45,-56.62,774.43,-6.2,-21.08,26.12,-9.41,-34.73,-48.35,9.39,4.49,9.12,7.62,3.51,23.2,19.88,17.21,19.62,18.47,17.06,9.41,10.22,5.09,9.17,7.32,3.15,19.65,5.84,3.01,5.57,4.47,2.01,12.84,80.12,82.79,80.38,81.53,82.94,90.59,3.06,3.36,3.33,3.87,3.51,4.35,8.04,7.91,5.28,4.78,5.36,3.89,0.62,0.67,0.61,0.59,0.57,0.55,3.18,3.37,2.91,2.86,2.79,2.37,76.77,61.51,67.82,59.96,53.28,52.83,79.66,101.68,96.59,105.64,109.29,131.38,1360.85,1402.13,1513.41,1574.42,1538.82,1256.68,60.51,74.21,62.41,73.9,79.26,81.43,122.94,103.62,105.08,99.58,97.51,86.38,-7.77,0.59,-1.32,2.01,3.09,10.39,6.31,15.63,9.27,28.69,18.72,46.5,153154843,162814028,190825603,177448939,140332152,246717950,361985890,381939281,422833445,417865468,381158251,681750819,205751154,263152264,269528038,267074156,230634812,306150809,8.13,16.25,13.25,14.92,7.06,5.22,133795401,136708331,169308019,155344858,130651105,228518804,108635043,144850453,174086524,176778523,150671614,310736335,6.04,8.96,9.28,9.49,4.15,4.21,2.67,4.16,2.74,2.48,2.03,2.9
(주)SNT에너지,100840,50.81,41.09,359.1,999999999,999999999,999999999,,,,,,,1.67,1.82,0,0,0,0,6.45,-2.3,3.84,10.07,-13.73,-6.42,12.29,-5.96,7.96,15.05,-18.34,-10.06,-12.98,20.92,7.15,-2.31,-27.55,-24.21,78.15,-30.42,139.96,-93.86,176.05,-60.16,11.05,-18.01,146.18,-96.48,1506.66,0,8.06,4.64,10.39,0.65,2.49,1.31,19.4,16.12,22.22,19.33,20.66,14.88,8.49,5.55,12.31,0.72,1.98,0.78,5.36,3.66,8.71,0.5,1.41,0.63,80.6,83.88,77.78,80.67,79.34,85.12,4.16,5.39,4.59,4.51,3.71,3.67,11.41,13.66,18.29,29.08,40.44,34.81,0.66,0.79,0.84,0.77,0.57,0.48,1.65,2.02,2.18,2.15,1.57,1.2,57.28,46.6,36.64,51.45,28.42,21.5,197.1,222.54,286.28,207.24,351.97,492.86,5594.23,5863.77,6532.47,6487.29,6600.71,6338.82,177.76,199.37,269.65,200.61,347.24,474.82,65.79,64.52,57.1,59.3,54.46,54.25,28.66,30.83,37.88,31.49,41.23,44.12,71.62,50.89,49.36,57.56,116.39,188.8,,,,,,,,,,,,,,,,,,,20.6,-2.4,-13.31,15.74,22.15,8.91,,,,,,,,,,,,,11.65,-0.96,-4.34,7.32,8,3.17,6.58,6.25,3.42,0,0,0
