구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999,1997,1998,1999
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)DB하이텍,990,0.06,0.51,0.83,3329693,37660083,44443887,56.87,50.6,52.87,139.42,0.34,17.09,109.18,-16.61,-0.4,176.55,15.16,7.12,0,0,176.82,-79.57,1031.04,18.01,-3.8,0.71,1.84,18.33,23.48,27.86,-19.31,2.29,3.92,-3.42,0.52,1.33,81.67,76.52,72.14,4.77,5.21,8.32,4.53,3.7,3.58,0.9,0.73,0.72,2.57,1.68,1.48,719.38,201.01,190.64,71.29,90.31,86.21,355.55,971.08,588.82,44.15,47.25,38.01,402.42,173.65,186.12,-20.48,-4.54,-5.75,11.05,18.04,8.42,625776414,477580268,549260717,712765012,715165215,837379964,453778075,522562259,559780284,1.81,0.4,4.95,508521407,334780396,349308235,362543645,302342678,301139101,2.5,0.37,4.86,18.92,19.43,13.39
(주)MH에탄올,23150,4.61,4.2,4.4,3573002,4812133,4687122,12.97,23.36,26.6,1.86,38.5,-9,80.18,-32.66,57.68,5.17,20.15,8.86,40.83,-43.72,0,20.6,34.68,-2.6,9.94,4.65,-12.47,20.89,20.87,18.91,12.96,6.3,-17.03,9.05,4.23,-11.12,79.11,79.13,81.09,15.35,15.67,21.76,12.49,14.07,19.06,0.91,0.91,0.89,2.97,2.98,2.5,43.31,53.37,52.78,218.14,65.56,122.45,429.25,541.98,495.08,172.46,43.06,108.3,93.17,127.28,107.75,18.95,-8.94,5.41,107.39,16.73,4.34,7993794,12747983,11517295,26451550,36635669,33338002,23861446,28669068,31208015,35.56,31.99,47.1,4242794,9506283,8025077,9255082,6232123,9827081,11.91,14.23,17.38,22.98,19.11,12.22
(주)SH에너지화학,2360,0.96,0.72,0.29,10282737,9314215,3463523,65.89,78.41,79.13,7.63,-2.24,-4.71,6.51,-5.83,-13.06,0.55,5.42,-41.63,55.6,0,0,76.11,-9.42,-62.81,0.8,-4.16,-21.72,19.68,20.47,23.92,3.54,-21.32,-90.76,0.67,-3.61,-11.38,80.32,79.53,76.08,2.64,2.78,1.77,11.66,15.29,11.92,0.84,0.87,0.52,1.91,1.95,1.06,440.04,554.62,935.47,93.74,76.16,120.77,119.35,96.25,57.99,81.65,68.1,110.22,275.2,343.99,589.58,-3.27,-14.77,7.4,12.58,10.1,22.33,94546786,96108258,97656160,116032837,113437001,108095473,94290532,99399705,58015815,0.82,-5.36,-2.36,60633522,70275812,38532007,56836480,53525356,46533392,0.82,-5.18,-3.97,15.31,15.6,13.46
(주)SIMPAC,9160,0.82,-0.88,0.43,5273237,-6193307,2352138,60.37,63.26,34.36,-15.41,-33.08,31.44,-24.1,-52.45,39.17,2.19,-68.87,51.11,0,0,0,5.15,0,0,-5.21,-59.15,-16.07,14.37,-12.21,20.61,-23.75,-185.97,-40.94,-4.14,-19.11,-8.45,85.63,112.21,79.39,3.88,2.1,4.68,2.87,1.28,2.33,0.79,0.32,0.53,2.16,0.72,0.96,499.06,14461.99,179.03,122.82,53.4,71.39,74.7,2.06,70.54,63.96,17.58,34.36,275.19,9024.23,168.21,9.81,-32.73,-15.92,2.21,1.92,5.82,73633913,58741402,49882231,88388468,59147580,77744175,76543673,23831425,36012578,5.55,3.94,4.93,37992557,41546342,43256321,46662311,22187620,30878823,5.34,9.71,6.83,12.16,15.57,17.22
(주)STX,11810,0.55,0.32,1.14,13279553,13143384,39984738,58.48,63.31,51.85,9.18,-8.55,0,16.05,-20.99,0,15.79,-31.21,0,0,0,0,-20.73,-1.03,0,-7.51,-31.28,0.12,8.49,10.37,20.39,-30.2,-110.14,0.61,-6.39,-18.32,0.16,91.51,89.63,79.61,3.9,3.14,5.91,3.56,2.4,6.5,0.85,0.59,1.27,3.11,1.63,3.2,489.31,514.69,287.39,101.4,78.41,105.49,141.89,124.39,114.23,56.02,38.03,63.24,263.29,322.24,198.63,0.76,-13,2.54,10.53,5.11,0,413325450,381159480,322844282,497796215,455215592,435181104,405632043,279044480,276187622,-3.38,-3.54,1.33,268164558,274020829,201009228,271924168,214847369,212044741,-3.45,-4.83,1.55,9.34,14.2,30.99
(주)TCC스틸,2710,1.3,1.41,1.54,5473018,10525597,9412970,30.08,30.06,25.91,6.53,10.7,-2.06,-8.86,34.25,-5.04,-8.25,23.73,10.89,-69.38,58.18,63.47,-49.3,92.32,-10.57,1.69,2.16,3.19,12.26,15.07,12.61,2.99,4.62,7.17,1.26,1.83,2.88,87.74,84.93,87.39,5.07,5.6,4.92,10.37,12.82,12.18,0.74,0.85,0.9,1.76,2.21,2.53,144.24,159.56,139.3,150.11,112.54,92.49,641.43,651.59,692.2,115.95,92.93,70.37,155.92,157.53,154.42,10.07,4.08,-2.88,32.08,33.33,6.07,108274600,124764176,115705964,183339181,202954888,198770070,132249274,163629158,181440732,6.87,9.77,7.22,36844743,65973495,76225872,55308711,74249764,70505078,5.63,7.45,4.6,8.42,12.87,10.86
(주)갤럭시아에스엠,11420,2.26,1.34,-0.97,7236483,5134951,-4121720,47.31,51.41,52.67,13.94,21.05,-20.18,22.13,16.39,-21.25,6.52,1.56,-42.23,0,0,0,75.84,-29.04,0,-1.21,0.88,-14.9,11.96,10.58,0.15,-4.84,3.1,-32.33,-2.01,1.26,-12.53,88.04,89.42,99.85,13.16,9.71,6.38,3.68,3.38,2.07,1.66,1.43,0.84,8.01,6.86,3.62,152.62,139.62,185.65,142.69,193.16,208.79,176.91,225.76,151.16,51.59,83.55,80.04,70.2,72.89,89.99,21.6,33.48,35.69,9.13,24.94,7.38,36453175,42556023,37888821,60337854,73036030,58297209,94066571,95535385,55191484,-0.84,-4.68,0.58,30532081,26249367,19125225,43566119,50704508,39930695,-0.32,-2.08,0.4,11.98,11.56,12.42
(주)경농,2100,1.51,1.35,1.2,17637369,17736389,12748217,57.51,43.21,41.87,10.38,10.54,-14.54,0.13,-7.59,-18.08,13.74,11.08,-1.82,-8.07,22.32,76.38,3.3,0.56,-28.12,1.3,1.43,2.57,36.85,40.93,25.27,3.03,2.63,4.14,0.87,0.97,1.75,63.15,59.07,74.73,2.49,4.23,8.53,3.47,3.51,3.22,0.67,0.68,0.68,2.11,1.81,1.58,215.5,142.69,129.18,188.54,122.23,152.39,562.15,807.83,731.11,128.67,68.48,78.12,133.65,127.22,126.4,26.28,8.51,15.42,26.83,16.8,39.77,115651116,110048426,90165910,169317976,187170373,159963073,108529540,120551044,118360622,7.35,19.9,27.32,50263111,71644668,47078445,94768323,87571195,71741209,7.84,18.17,20.82,13.06,14.69,14.39
