,구분,이자보상배율1999,영업이익1999,차입금의존도1999,총자본증가율1999,유동자산증가율1999,매출액증가율1999,순이익증가율1999,영업이익증가율1999,매출액순이익률1999,매출액총이익률1999,자기자본순이익률1999,총자본순이익률1999,매출원가 대 매출액비율1999,매출채권회전률1999,재고자산회전률1999,총자본회전률1999,유형자산회전율1999,부채비율1999,유동비율1999,자기자본배율1999,당좌비율1999,비유동비율1999,순운전자본비율1999,현금비율1999,부채1999,자산1999,매출액1999,부채/현금흐름1999,유동부채1999,유동자산1999,매출/현금흐름1999,차입금평균이자율1999,정상기업여부
0,(주)광림,-8.42,-17937713,1.41,-26.41,7.89,2.86,0,0,22.12,11.85,46.04,13.47,88.15,4.76,2.79,0.61,1.73,49.46,185.86,116.83,97.51,68.9,24.9,36.62,17578203,53116257,38148293,12.27,15404933,28632024,5.65,283.19,0
1,(주)사조오양,0.81,8095639,52.87,-11.5,-21.73,-12.59,0,0,2.9,16,16.04,3.02,84,6.8,4.41,1.04,3.41,329.07,86.47,175.55,45.35,197.45,-8.25,2.37,82611486,107715825,119374426,5.03,65692824,56803016,3.48,15.09,1
2,(주)서연,0.67,1421817,17.97,87.35,53.25,77.2,0,0,2.18,4.26,12.16,3.24,95.74,6.59,62.54,1.49,3.71,238.33,84.98,614.5,81.06,193.62,-7.56,22.14,98305644,139553208,159367479,3.29,70235199,59687711,2.03,11.27,1
3,(주)쎌마테라퓨틱스,-0.78,-10147802,985.77,-86.47,-85.06,-89.83,0,0,-7042.3,-830.25,0,-62.28,930.25,0.04,0.2,0.01,0.03,0,17.31,0,16.1,0,-222.89,5.45,115216140,9002971,333972,-5.96,24267161,4200111,-2056.59,13.45,0
4,(주)아이에이치큐,-0.13,-85580,112.36,-15.75,-13.8,30.84,0,0,42.32,21.44,0,34.61,78.56,3.29,2.78,0.82,5.43,0,257.21,-47.85,157.37,0,39.86,23.73,39036646,27901323,24955411,-12.46,7074113,18195019,-19.49,1.33,0
5,(주)인디에프,0.03,225144,0,-9.61,1.25,19.01,0,0,71.17,21.77,0,23.04,78.23,1.63,4.9,0.32,1.27,0,581.65,0,505.19,0,31.22,39.15,530082490,297058478,101291029,2.17,19257566,112011078,11.35,9.76,1
6,(주)천일고속,2.55,1613629,18.81,-9.59,-9.3,-3.24,87.93,0,2.79,28.58,9.16,3.22,71.42,816.04,137.83,1.16,1.9,156.82,47.3,279.97,45.13,205.73,-22.17,7.89,21951982,35950329,43732545,26.18,15119608,7150945,13.14,10.49,1
7,경인전자(주),0.29,364497,28.71,1.57,-6.94,16.32,96.39,0,5.25,9.66,4.78,2.76,90.34,10.69,8.56,0.53,5.41,73.98,178.08,374.03,155.63,78.78,23.99,6.31,20777899,48862123,25482343,16.55,15014763,26738133,13.49,8.31,1
8,동양철관(주),0.06,876118,142.72,-21.72,-18.42,-36.05,0,0,-13.8,8.79,0,-15.66,91.21,7.9,7.56,1.13,2.43,0,73.22,0,44.95,0,-14.45,3.78,166745304,90762247,117246269,-15.7,48994840,35875698,-22.34,11.67,1
9,동원수산(주),0.29,1809534,43.36,-3.68,2.66,9.75,265.93,0,3.84,10.37,9.03,2.74,89.63,38.83,3.7,0.71,2.23,177.41,106.44,287.44,64.35,134.02,3.13,2.73,68922232,107772060,78317826,2.88,52337210,55705809,2.54,11.58,1
