,구분,이자보상배율1999,영업이익1999,차입금의존도1999,총자본증가율1999,유동자산증가율1999,매출액증가율1999,순이익증가율1999,영업이익증가율1999,매출액순이익률1999,매출액총이익률1999,자기자본순이익률1999,총자본순이익률1999,매출원가 대 매출액비율1999,매출채권회전률1999,재고자산회전률1999,총자본회전률1999,유형자산회전율1999,부채비율1999,유동비율1999,자기자본배율1999,당좌비율1999,비유동비율1999,순운전자본비율1999,현금비율1999,부채1999,자산1999,매출액1999,부채/현금흐름1999,유동부채1999,유동자산1999,매출/현금흐름1999,차입금평균이자율1999,정상기업여부
0,(주)DB하이텍,0.83,44443887,52.87,17.09,-0.4,7.12,176.82,18.01,1.84,27.86,3.92,1.33,72.14,8.32,3.58,0.72,1.48,190.64,86.21,588.82,38.01,186.12,-5.75,8.42,549260717,837379964,559780284,4.95,349308235,301139101,4.86,13.39,0
1,(주)SH에너지화학,0.29,3463523,79.13,-4.71,-13.06,-41.63,0,-62.81,-21.72,23.92,-90.76,-11.38,76.08,1.77,11.92,0.52,1.06,935.47,120.77,57.99,110.22,589.58,7.4,22.33,97656160,108095473,58015815,-2.36,38532007,46533392,-3.97,13.46,0
2,(주)SIMPAC,0.43,2352138,34.36,31.44,39.17,51.11,0,0,-16.07,20.61,-40.94,-8.45,79.39,4.68,2.33,0.53,0.96,179.03,71.39,70.54,34.36,168.21,-15.92,5.82,49882231,77744175,36012578,4.93,43256321,30878823,6.83,17.22,0
3,(주)STX,1.14,39984738,51.85,0,0,0,0,0,0.12,20.39,0.61,0.16,79.61,5.91,6.5,1.27,3.2,287.39,105.49,114.23,63.24,198.63,2.54,0,322844282,435181104,276187622,1.33,201009228,212044741,1.55,30.99,1
4,(주)광림,-8.42,-17937713,1.41,-26.41,7.89,2.86,0,0,22.12,11.85,46.04,13.47,88.15,4.76,2.79,0.61,1.73,49.46,185.86,116.83,97.51,68.9,24.9,36.62,17578203,53116257,38148293,12.27,15404933,28632024,5.65,283.19,0
5,(주)국보,1.35,1285114,30.62,15.34,19.14,16.31,1804.29,39.83,0.9,12.67,3.85,1.12,87.33,4.02,274.26,1.24,6.75,262.44,77.14,226.38,76.48,211.1,-12.37,13.42,30517472,42145749,48670362,2.6,22811933,17598168,1.63,7.39,1
6,(주)국영지앤엠,1.79,1644143,24.59,-2.38,-15.88,22.25,184.96,360.86,4.31,10.58,16.71,4.4,89.42,4.7,11.77,1.02,2.44,240.46,79.97,632.44,70.12,201.15,-10.25,2.23,18903253,26764491,27615743,12.08,13694177,10951798,8.27,12.78,1
7,(주)까뮤이앤씨,0.48,3322750,39.47,-6.94,-38.03,13.22,51.41,-44.38,0.59,8.45,0.6,0.27,91.55,4.64,1.71,0.45,1.14,116.36,72.09,387.01,29.46,136.96,-14.2,0.39,101666416,189039291,88741629,19.11,96228261,69375600,21.89,8.44,0
8,(주)남선알미늄,0.01,138594,87.88,1.97,13.19,21.01,0,0,-7.11,8.21,0,-5.37,91.79,6.7,6.67,0.75,1.11,0,97.05,0,56.64,0,-0.84,9.81,210566896,202812239,151542988,-1.72,57643256,55944582,-2.39,9.65,0
9,(주)남성,0.94,4083007,20.86,19.7,-10.46,18.67,54.48,-1.68,2.38,9.03,3.5,2.28,90.97,14.73,23.32,0.96,3.54,40.9,173.51,454.66,159.27,99.33,12.5,13.56,33671147,115991607,101897300,-4.63,19723656,34222628,-1.53,14.94,0
10,(주)노루홀딩스,0.96,18261127,35.23,-0.31,-6.51,11.72,299.1,-5.38,4.87,20.99,5.72,2.92,79.01,5.67,7.1,0.6,0.95,80.56,77.99,1528.7,51.99,131.32,-7.7,1.29,144570143,324020423,194418051,5.27,113314181,88371180,3.92,15.01,0
11,(주)녹십자,0.03,765119,67.98,-52.98,-71,21.21,0,0,-203.93,35.74,0,-70.94,64.26,1.81,6.28,0.35,1.22,0,355.04,0,286.98,0,31.58,22.47,91547270,78497456,42694476,-26.42,9719347,34507523,-56.65,37.27,0
12,(주)대호특수강,2.69,2695532,30.87,-16.32,-30.79,28.95,0,196.28,6.15,19.54,17.76,6.9,80.46,4.3,25.99,1.12,2.52,126.24,99.35,225.62,86.17,138.02,-0.26,6.76,11392809,20417744,25142783,9.43,8014009,7961633,4.28,11.55,1
13,(주)동방,1.07,14150005,34.13,-2.28,3.9,8.11,0,41.52,1.03,13.89,2.8,0.74,86.11,5.28,106.83,0.72,1.53,265.94,72.06,392.48,69.68,287.2,-8.34,1.19,194136793,267137537,194385720,5.22,79767051,57482268,5.22,13.97,1
