,구분,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채/자산2015,부채/매출액2015,부채/현금흐름2015,유동부채/부채2015,유동자산/자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
0,(주)STX,-1.2,-8.96,5.48,0.0,0.0,-3.92,0.73,-84.03,-5.02,99.27,7.46,9.33,1.28,24.58,1362.39,97.8,96.62,76.64,545.56,-1.41,6.85,0.9429130130111172,0.7326847053672768,-2.52,0.7253310368722602,0.7118859806948101,-1.82,4.63,0
1,대성산업(주),-44.26,-86.31,-24.24,0.0,0.0,-15.24,13.19,-176.62,-8.55,86.81,18.33,36.14,0.56,1.66,734.4,21.99,57.65,18.09,735.81,-41.91,2.58,0.8916548399702645,1.013294029613637,-3.39,0.595428653275575,0.16014733896009475,-3.81,6.79,1
2,삼보산업(주),-10.48,-20.89,-3.55,0.0,282.74,0.38,5.34,7.6,0.6,94.66,5.27,12.14,1.55,4.6,1055.99,58.28,2481.29,43.21,625.89,-32.82,0.59,0.824748720068477,0.5873881713680246,-1.23,0.7811233328347181,0.4474565820582958,-0.68,3.72,0
3,에이치엠엠(주),-9.61,-26.76,-12.16,0.0,0.0,-12.33,-1.91,-143.32,-11.01,101.91,15.29,39.79,0.89,1.65,1863.84,32.01,25.21,29.07,1626.97,-36.44,3.79,0.9615254587252068,0.9905149984025534,-1.15,0.5621680662444657,0.19372516723177666,-1.16,5.42,0
4,(주)HM금속,-8.94,-30.12,-0.1,0.0,0.0,-40.22,-12.15,0.0,-34.95,112.15,9.09,26.81,0.87,1.08,0.0,12.79,0.0,11.07,0.0,-99.65,0.5,1.3651845859346383,1.4974301447425515,1.18,0.8369509855206974,0.14610277790303025,1.77,12.07,0
6,(주)가람우즈,-22.91,-25.99,1023.51,0.0,0.0,13.9,21.01,0.0,19.37,78.99,18.26,2.26,1.39,428.81,0.0,70.13,0.0,29.74,0.0,-40.16,14.52,1.401061154056755,0.8751784005286235,9.38,0.9594849341774396,0.9427338214757617,8.21,5.18,0
7,(주)가야포징,2.57,108.46,40.13,0.0,0.0,-39.29,-21.21,0.0,-10.57,121.21,9.48,8.63,0.27,0.29,0.0,7.8,0.0,3.5,0.0,-99.72,0.22,1.210768058226648,4.556453320272384,-5.04,0.8933275259940114,0.08438521331439396,-22.96,3.69,0
8,(주)가야호텔,-1.81,-34.75,-3.02,0.0,-6.12,2.56,66.1,2.75,0.51,33.9,30.83,35.39,0.2,0.21,423.93,11.08,121.78,8.21,512.29,-17.82,5.25,0.8091330875778725,4.000373411065808,2.21,0.24762393882631722,0.022207948127652862,8.84,0.88,0
9,(주)가이아로지스,2.1,150.74,193.86,0.0,0.0,16.86,0.0,195.68,1.93,0.0,43.71,0.0,0.11,0.12,5086.1,7.33,42.31,7.33,4917.41,-65.48,5.65,0.98071769465799,8.668764531581568,2.32,0.7205444355722491,0.051809512212661425,20.11,3.57,0
10,(주)강촌레일파크,3.28,12.71,1.46,0.0,17.78,1.08,29.91,2.22,0.44,70.09,130.06,3244.41,0.41,0.47,248.8,89.09,72.83,89.09,305.15,-1.53,84.55,0.7133030149309448,1.7746721687299405,4.37,0.19692511818364608,0.12514607168090217,7.75,5.9,1
11,(주)거금솔라파크,-4.25,1.41,-0.36,59.78,21.71,26.07,61.01,33.36,3.82,38.99,52.65,0.0,0.15,0.17,632.82,166.43,188.46,166.43,616.96,6.31,154.23,0.8635416773041261,5.77048106355468,11.18,0.1100124926549082,0.15811123008732103,64.53,4.76,0
12,(주)거제씨월드,-5.16,34.83,8.17,0.0,0.0,-113.82,85.9,0.0,-24.88,14.1,98.09,44.63,0.22,0.81,0.0,15.97,0.0,14.5,0.0,-22.8,10.6,1.5126973242371795,6.7373218612320205,-1.24,0.17935774841847055,0.04333925867443228,-8.37,5.86,0
14,(주)건아엔터프라이즈,-28.08,0.54,-1.06,-40.06,-71.22,1.27,10.37,7.58,2.0,89.63,9.77,6.57,1.58,7.36,205.44,116.05,2268.67,71.4,78.21,10.29,7.08,0.6726015367886183,0.35652644896110475,-12.8,0.9530745819042786,0.7439455305196637,-4.56,4.44,1
15,(주)건영산업,1.03,18.01,9.56,178.54,10.47,22.14,0.0,21.03,2.42,0.0,4.71,0.0,0.11,0.13,689.66,24.4,2368.27,24.4,657.61,-51.81,7.64,0.8733639531690518,8.025543405940658,2.8,0.784660621211866,0.16722975821860298,22.46,3.48,0
16,(주)건우해양,-1.54,8.69,-8.6,10.05,29.65,11.25,73.53,15.28,1.08,26.47,7.38,0.0,0.1,0.1,1202.21,12.38,91.42,12.38,1213.13,-48.4,0.05,0.9232074481795958,9.526097077761268,3.85,0.598316763885762,0.0684044216366238,36.71,4.56,0
18,(주)검단아스콘,-3.26,-7.38,-1.01,57.72,53.33,8.83,22.61,241.42,4.62,77.39,45.67,14.92,0.52,0.57,2226.91,60.98,414.28,53.28,2164.51,-4.47,37.42,0.9570246198678871,1.7968537338781616,4.95,0.11959071103654612,0.06979505469848457,8.9,1.74,0
19,(주)경기라이프,-6.28,-9.02,-1.59,0.0,-37.89,-34.66,19.51,0.0,-5.25,80.49,144.84,0.0,0.15,0.0,0.0,69.32,0.0,69.32,0.0,-3.68,0.0,1.1679904021866656,7.4579687754460435,1.68,0.10256137130105393,0.08303656814998203,12.56,7.73,0
20,(주)경덕디벨로퍼스,-1.09,-59.47,0.0,24.89,-1.95,42.31,0.0,29.89,2.59,0.0,0.0,0.0,0.06,0.06,897.85,0.71,406.12,0.71,993.69,-58.64,0.68,0.8997847126114229,14.60868108974359,3.28,0.6563800041181169,0.004170422014016432,47.86,2.22,0
