,구분,총자본증가율2018,유동자산증가율2018,매출액증가율2018,순이익증가율2018,영업이익증가율2018,매출액순이익률2018,매출액총이익률2018,자기자본순이익률2018,총자본순이익률2018,매출원가 대 매출액비율2018,매출채권회전률2018,재고자산회전률2018,총자본회전률2018,유형자산회전율2018,부채비율2018,유동비율2018,자기자본배율2018,당좌비율2018,비유동비율2018,순운전자본비율2018,현금비율2018,부채/자산2018,부채/매출액2018,부채/현금흐름2018,유동부채/부채2018,유동자산/자산2018,매출/현금흐름2018,차입금평균이자율2018,정상기업여부
0,(주)HJ중공업,-27.89,-0.54,0.78,0.0,0.0,-55.03,11.41,0.0,-33.8,88.59,13.93,2.98,0.61,2.72,0.0,92.79,0.0,57.94,0.0,-4.5,15.34,1.2590652687644954,2.0271328353365305,9.88,0.6218098870186175,0.6295337318281253,15.73,5.73,0
1,(주)강원에너지,2.09,5.32,3.36,0.0,0.0,2.3,6.86,4.1,2.23,93.14,1.97,189.82,0.97,9.49,81.83,173.94,641.46,172.59,39.61,33.25,47.85,0.46503917243792076,0.5080226246637797,-18.17,0.9992295242900803,0.7518386375506928,-8.53,15.17,0
2,(주)갤럭시아에스엠,-31.91,-43.9,-40.33,0.0,0.0,-71.17,-9.45,-46.6,-38.1,109.45,4.09,0.0,0.54,73.41,24.41,222.68,194.54,222.68,70.98,23.66,120.97,0.20392447300993696,0.3073907999818498,-76.62,0.9836458851926394,0.42856602846794506,-22.75,0.0,0
3,(주)골프존뉴딘홀딩스,5.06,26.58,-31.49,0.0,0.0,-47.54,96.09,-1.59,-1.39,3.91,8.1,0.0,0.03,0.18,16.29,110.93,2261.98,110.93,104.02,1.04,9.06,0.37273436693593825,1.2947346209471504,-3.53,0.7247124067506091,0.12903488157643908,-17.28,2.86,0
4,(주)국보,-34.69,-34.84,-10.36,0.0,0.0,-6.03,4.22,-29.24,-7.0,95.78,5.78,176.11,1.16,2.39,293.84,41.57,137.65,40.3,293.7,-35.74,0.93,0.7216698234272008,0.4860376044509848,-12.82,0.8087995231871307,0.24402339639238416,-6.52,6.45,0
5,(주)기산텔레콤,-23.2,-21.09,-15.91,0.0,0.0,-23.29,15.43,-17.91,-14.7,84.57,23.04,4.18,0.63,85.27,17.01,573.32,401.25,474.93,38.04,55.72,148.61,0.43679739288857405,0.4347449857842179,3.73,0.8169104315606859,0.8283437038668815,0.75,4.22,0
6,(주)나무가,5.63,10.18,17.89,0.0,0.0,5.18,5.48,31.04,13.62,94.52,5.49,808.05,2.63,46.42,102.54,155.71,2013.42,155.16,48.44,27.22,23.88,0.7017501253981924,0.26642771445438557,-29.11,0.8817429736013298,0.5623049358528666,-5.76,3.92,1
7,(주)내츄럴엔도텍,-23.19,-35.89,-3.75,0.0,0.0,-185.62,-12.7,-41.25,-24.57,112.7,8.68,1.24,0.13,0.3,70.39,102.62,331.58,80.93,101.51,1.03,30.79,0.40347052482536655,2.7640752021479416,-26.65,0.9554308126242166,0.3963036960178753,-72.28,9.36,0
8,(주)넵튠,17.21,105.36,-7.48,0.0,0.0,-485.3,0.0,-36.65,-27.86,0.0,6.21,0.0,0.06,19.09,50.67,65.42,768.3,65.42,125.69,-8.76,5.29,0.4691171800050949,3.3454633021028717,-5.47,0.7329281136807964,0.1091942688619979,-34.6,0.44,0
9,(주)노블엠앤비,-8.93,0.32,5.88,0.0,0.0,-71.93,-6.81,-102.78,-45.18,106.81,6.76,8.97,0.63,2.68,205.69,52.87,115.5,41.67,216.06,-26.14,3.19,0.6634422885018461,1.1363324438650269,-6.97,0.8320862592630013,0.21252461983773213,-7.11,12.94,0
10,(주)녹원씨엔아이,43.49,388.48,629.04,0.0,0.0,10.65,55.37,5.95,3.71,44.63,5.09,16.37,0.35,5.34,48.56,128.2,970.01,117.53,86.02,9.26,19.44,0.38659016948344643,0.6332729858718786,1.03,0.9869132601660217,0.5230696908442805,1.14,15.96,1
11,(주)뉴인텍,-3.95,-17.16,2.53,0.0,0.0,-8.69,5.3,-27.05,-9.43,94.7,6.7,7.48,1.09,2.47,185.11,71.29,52.55,43.14,185.18,-14.12,3.53,0.6629828627063814,0.5622395363396359,6.69,0.7730208021238132,0.47015058373202856,3.92,5.7,0
12,(주)다산네트웍스,-10.76,-29.89,24.02,0.0,146.16,-80.0,32.74,-19.5,-11.81,67.26,3.54,7.17,0.15,1.52,58.48,77.32,939.98,69.33,124.41,-6.3,7.4,0.542242541582103,0.5560112200459526,13.2,0.868460297436162,0.6781672845642157,31.13,4.0,0
13,(주)대구백화점,0.0,0.0,0.0,0.0,0.0,-18.46,62.48,-6.05,-4.29,37.52,13.01,11.81,0.23,0.4,41.05,62.92,598.73,54.53,120.25,-8.69,0.9,0.5574467532439414,3.2538970078018976,-8.94,0.4162585210283703,0.1923103276996316,-11.2,2.45,0
14,(주)대창솔루션,13.17,98.94,4.07,0.0,0.0,-33.96,-13.02,-22.27,-9.16,113.02,5.22,3.09,0.27,0.37,173.47,83.42,427.1,58.96,195.14,-5.69,8.54,0.6662987707710443,1.9511317076624302,-8.31,0.6229781330686851,0.27659965448259477,-20.74,4.82,0
15,(주)더블유아이,87.86,140.64,-59.45,0.0,0.0,-366.6,-2.58,-51.03,-38.69,102.58,4.55,0.0,0.11,0.79,43.08,177.48,508.67,177.48,74.91,20.8,131.44,0.4684734638393674,2.2644996087236318,-23.32,0.8086624416783336,0.7091407436780958,-86.86,13.63,0
16,(주)드림어스컴퍼니,51.47,94.04,76.45,0.0,0.0,-20.44,23.93,-15.53,-13.25,76.07,7.29,7.6,0.65,77.38,20.81,390.71,596.13,345.73,40.97,49.17,243.73,0.2182122139947784,0.3236848061425937,10.73,0.9403070539833842,0.7336381617625346,3.43,8.58,1
17,(주)레고켐바이오사이언스,43.01,104.3,9.62,0.0,0.0,-108.8,32.93,-31.36,-24.08,67.07,1.44,25.45,0.22,7.22,15.18,911.38,1761.26,904.19,30.6,65.37,100.28,0.1347033902358297,0.6494199237394228,-56.01,0.6067568330155376,0.7673736754094652,-39.26,1.4,0
18,(주)마니커,-13.74,-7.49,13.54,0.0,384.93,-4.36,8.44,-12.14,-5.7,91.56,13.01,70.57,1.31,2.3,86.06,48.14,129.78,42.57,148.97,-21.48,2.89,0.46501998029637714,0.3340793262454009,8.47,0.8808326076883697,0.19152222633887003,2.78,5.87,0
19,(주)매직마이크로,68.11,95.89,3.26,0.0,0.0,-14.4,8.18,-16.04,-8.6,91.82,3.28,8.85,0.6,2.9,87.96,100.79,1253.72,86.86,102.7,0.36,1.41,0.4786862588706569,0.8348772877977295,-9.97,0.9221853136824206,0.2632455236891719,-9.8,9.12,0
20,(주)메지온,0.51,0.07,241.71,0.0,0.0,-87.62,16.96,-29.7,-24.1,83.04,11.07,7.75,0.28,21.58,16.98,643.23,1376.37,619.76,7.75,78.86,248.13,0.23635057520076255,0.929422030124427,-59.95,1.0,0.9328423624768342,-31.72,13.03,0
21,(주)메타랩스,102.94,6.79,-31.92,0.0,0.0,-62.79,20.14,-23.3,-16.52,79.86,8.16,3.9,0.26,2.48,36.21,108.81,310.98,102.87,97.55,2.3,56.95,0.3161279548935084,0.7147123636631825,-39.79,0.8614813573960751,0.38965402750910105,-53.87,13.46,0
22,(주)멕아이씨에스,-5.29,-13.24,-9.44,0.0,0.0,-36.43,35.75,-37.04,-12.19,64.25,3.64,3.11,0.33,0.66,262.51,131.89,230.69,85.43,250.41,7.48,18.83,0.7757102250930957,2.172087766510531,-1.91,0.4093447267658256,0.3370808953311683,-4.01,6.74,0
23,(주)미래아이앤지,-16.19,-12.47,-19.66,0.0,0.0,-166.25,23.82,-17.76,-16.98,76.18,7.28,36.55,0.1,1.03,4.41,1565.59,106.58,1564.04,63.42,36.75,1259.5,0.04232840856966928,0.37807953807433126,-83.18,0.5933350322402468,0.4032784206270927,-31.4,0.0,0
24,(주)바이넥스,13.82,16.0,33.31,0.0,0.0,6.07,46.37,4.51,3.58,53.63,6.53,8.99,0.59,1.16,25.51,143.74,942.58,110.14,89.66,8.69,35.14,0.20036673767551072,0.3667168583289224,29.82,0.9776538147500574,0.31121517360222684,10.93,8.15,1
25,(주)바이오니아,18.1,10.7,-2.8,0.0,0.0,-44.54,51.3,-29.42,-15.42,48.7,3.21,2.75,0.35,0.92,77.2,134.43,344.26,100.47,99.2,11.27,13.26,0.4486864300846138,1.3194793001660532,-20.52,0.763071159183704,0.44019485442127443,-27.98,3.99,0
26,(주)비덴트,73.31,72.64,25.47,-4.49,0.0,328.72,39.44,34.16,29.34,60.56,4.58,1.82,0.09,2.4,16.14,711.69,1917.02,594.36,91.5,18.23,205.66,0.14033684304703437,1.842364854814055,-8.83,0.20850203713545956,0.21604400462148637,-17.44,9.48,1
27,(주)비엔지티,65.44,121.21,-32.04,0.0,0.0,-39.21,11.95,-18.33,-10.01,88.05,1.61,19.87,0.26,0.82,142.07,95.66,262.11,94.01,112.02,-2.43,60.46,0.6470016163699475,0.6790496866376409,-15.13,0.954971038181226,0.5972455177411766,-43.35,7.96,0
28,(주)비엘팜텍,69.09,225.13,7.96,0.0,0.0,2.64,63.34,2.77,2.06,36.66,17.15,9.31,0.78,8.34,19.06,320.09,201.69,261.61,59.15,34.6,198.58,0.31063020220211857,0.36800611662136523,-28.53,0.9350874695889421,0.5514777293502893,-7.35,5.77,1
29,(주)삼보판지,6.17,16.45,11.98,191.63,0.0,16.79,14.37,10.56,7.32,85.63,5.66,17.51,0.44,1.04,41.41,107.77,2874.47,95.25,114.35,1.38,25.77,0.3321289773012428,0.4808982912179057,1.81,0.6716866701138647,0.29486831870834407,1.25,2.18,1
30,(주)삼진엘앤디,0.07,12.94,-14.22,0.0,0.0,1.43,20.02,1.21,0.77,79.98,2.83,23.06,0.54,3.75,54.14,179.18,703.65,169.91,74.87,22.73,45.13,0.46129021757538335,0.36662584811982274,4.35,0.7070273400027791,0.5445804995057156,2.82,3.09,1
31,(주)상보,-27.31,-32.51,-3.48,0.0,0.0,-42.88,17.71,-65.78,-22.13,82.29,3.03,4.45,0.52,1.74,258.82,67.64,208.16,55.42,196.31,-21.67,17.65,0.8320054585912143,0.7713320983968266,-4.7,0.9399609677679702,0.6497609327936341,-5.53,8.24,0
32,(주)상지카일룸,207.13,369.48,274.43,0.0,0.0,32.39,24.07,27.92,12.17,75.93,3.25,1.7,0.38,115.81,176.6,125.73,244.51,77.82,63.82,15.74,9.83,0.6511196467258056,2.6789585496727564,-32.54,0.9599735933252971,0.7942730295009645,-83.43,10.3,0
33,(주)서진오토모티브,9.23,5.36,8.08,0.0,0.0,-5.54,2.28,-8.25,-3.17,97.72,4.13,7.2,0.57,1.25,180.51,59.65,827.65,40.37,211.22,-16.71,0.18,0.8063170993736887,0.5432302972379587,0.97,0.7907224199470608,0.33000868502986935,1.14,5.09,0
34,(주)성안,3.07,23.74,42.41,0.0,0.0,-8.06,4.31,-5.44,-3.14,95.69,3.25,3.16,0.39,1.29,80.99,112.98,316.01,72.76,124.49,3.59,1.79,0.6905368195573052,0.9612521210328084,-14.7,0.7329917743635793,0.5254992576122821,-17.14,3.17,0
35,(주)세동,6.87,18.62,20.13,0.0,0.0,-5.05,7.4,-40.89,-6.35,92.6,10.43,21.95,1.26,2.17,607.02,41.0,142.91,33.48,500.22,-42.09,1.52,0.825393221052564,0.7297431125516083,5.07,0.8122746043835367,0.3113272024026649,3.57,4.92,0
36,(주)센트럴인사이트,9.61,107.26,-3.75,0.0,0.0,5.38,9.02,7.29,3.07,90.98,27.38,4.86,0.57,2.54,145.98,60.79,55.65,40.57,161.11,-22.25,1.02,0.6644053370864658,1.3370521615786317,-12.35,0.8721320924087389,0.5211052393481829,-13.44,11.39,0
37,(주)셀루메드,-26.7,-23.31,-46.01,0.0,0.0,-128.11,1.71,-39.28,-22.19,98.29,0.91,1.34,0.17,1.53,91.32,111.94,248.03,82.84,104.95,4.81,40.86,0.5357646403471046,2.44977378795609,-9.94,0.8394539623609955,0.4605369036089364,-23.16,11.18,0
38,(주)소리바다,15.56,-17.28,-9.58,0.0,0.0,-23.05,0.0,-15.9,-9.49,0.0,5.68,37.44,0.41,28.65,83.91,47.26,119.05,43.66,145.0,-23.62,7.46,0.562237831281364,0.7581025918389412,-27.28,0.9600432631948674,0.404364311983521,-32.43,7.59,0
39,(주)솔고바이오메디칼,16.88,13.41,-5.59,0.0,0.0,-81.59,8.31,-31.86,-23.02,91.69,4.74,1.84,0.28,1.14,41.5,258.62,61.76,193.58,80.07,26.63,68.39,0.3089468806861125,1.0292741825038734,-32.11,0.5901392855558847,0.47404052314888,-35.98,3.79,0
40,(주)솔루에타,-5.77,-20.49,27.25,0.0,57.13,-23.66,23.86,-18.55,-12.15,76.14,5.55,11.52,0.51,3.01,55.76,120.45,1068.54,93.67,116.66,4.26,28.85,0.6636199976410774,0.619117372321184,5.35,0.8797287328452412,0.5455039890206302,3.62,7.89,1
41,(주)스킨앤스킨,12.77,34.37,25.85,0.0,0.0,-69.57,10.34,-44.55,-30.29,89.66,7.3,9.64,0.44,1.39,36.09,189.72,320.26,171.92,71.45,22.46,146.81,0.33708680440593974,0.6119216911353446,-28.28,0.8932419743810467,0.5262188897829784,-18.26,12.92,0
42,(주)스튜디오산타클로스엔터테인먼트,1.52,-52.62,-58.46,0.0,0.0,1.12,25.08,0.39,0.33,74.92,2.06,10.74,0.29,2.39,20.22,181.8,1560.62,165.92,84.6,13.33,39.65,0.2065209947120612,0.4449644774312909,-29.33,0.9442368230837795,0.4789613070362884,-16.94,10.63,0
43,(주)시너지이노베이션,-5.53,55.64,89.44,0.0,0.0,89.95,32.56,27.16,11.64,67.44,5.7,7.62,0.13,1.52,88.78,28.6,162.48,24.03,165.47,-30.82,3.06,0.42138880564099734,1.156722589256427,2.28,0.9084533873496983,0.4136253181957356,8.05,14.38,0
44,(주)시티랩스,9.06,-51.42,-27.54,0.0,0.0,-33.01,15.65,-24.0,-16.15,84.35,7.48,0.0,0.49,7.78,56.34,107.84,195.31,107.84,111.33,2.09,14.49,0.45721684759072856,0.6664424828161629,-1.83,0.8074938807830387,0.31442466019295345,-1.41,3.1,1
45,(주)신성이엔지,-46.75,-70.12,-63.91,0.0,0.0,-2.11,8.22,-7.42,-1.36,91.78,3.11,23.61,0.65,1.83,248.39,44.2,114.14,39.26,249.92,-35.69,3.0,0.7238654887202232,0.7042470104619701,-15.01,0.9095464447963891,0.386908830304193,-11.49,5.31,0
46,(주)쌍방울,-38.12,-82.66,-1.91,0.0,0.0,-94.11,33.5,-34.09,-17.89,66.5,3.55,3.14,0.19,9.27,76.79,69.61,335.95,47.21,133.46,-10.7,4.14,0.46326217007808385,1.7323899416140083,1.56,0.8208284447451065,0.24054566814629127,2.73,4.45,0
47,(주)썸에이지,40.9,47.23,6.2,0.0,0.0,-757.7,0.0,-141.42,-74.65,0.0,6.36,0.0,0.1,12.37,373.91,109.99,110.56,109.99,64.32,7.85,19.81,0.7788923826742608,9.010069325075017,-38.72,0.9946005244230662,0.8950286668449972,-362.69,1.13,0
48,(주)쎌마테라퓨틱스,16.41,45.36,-30.47,0.0,0.0,-91.14,1.49,-192.41,-57.84,98.51,10.33,4.79,0.63,11.42,453.59,70.15,128.13,43.72,246.32,-23.62,7.51,0.8156638360747899,0.422058519212871,-45.01,0.965549377018732,0.5544800823984349,-62.51,6.82,0
49,(주)씨씨에스충북방송,-15.95,-0.56,-1.16,0.0,0.0,-35.85,11.65,-26.92,-19.28,88.35,9.94,0.0,0.54,0.85,44.98,82.19,57.54,82.19,108.17,-5.5,16.91,0.3165718213027609,0.537721603301037,43.83,0.9769500591252194,0.2539543246095771,23.09,7.15,0
50,(주)씨아이테크,-7.22,-2.12,40.13,0.0,0.0,-39.83,23.98,-23.22,-16.04,76.02,4.8,13.18,0.4,1.63,38.04,113.31,77.68,95.5,101.98,3.07,40.36,0.4359786166889391,0.5805726225822108,-8.35,0.7181520614490622,0.46878650247049986,-5.5,6.87,0
51,(주)씨엔플러스,-12.2,-37.12,-11.08,0.0,0.0,-25.33,13.16,-45.36,-15.21,86.84,1.89,8.21,0.6,1.38,143.39,65.87,357.93,51.39,159.35,-17.89,1.37,0.6145940009059735,0.9596287608009708,-8.34,0.9008869058423431,0.3114144796598252,-7.65,7.31,0
52,(주)씨유메디칼시스템,32.5,5.83,24.8,0.0,0.0,0.63,15.17,0.97,0.6,84.83,5.22,6.11,0.95,9.65,75.29,104.83,589.4,69.44,103.95,1.88,5.95,0.5378788640205646,0.739231510939404,14.84,0.6437222427183312,0.38270942013041404,7.61,5.8,0
53,(주)씨티씨바이오,-0.55,13.0,11.12,0.0,0.0,-8.22,31.36,-10.68,-4.56,68.64,3.85,4.14,0.55,1.13,114.31,109.89,882.33,67.56,138.77,3.17,1.91,0.5463151516691903,0.7566587309041537,0.2,0.6275605208640168,0.41005644905295285,0.19,5.76,0
