,구분,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,유동자산/자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
0,(주)경방,-3.19,1.82,7.26,0.0,154.07,1.84,11.58,0.91,0.65,88.42,5.34,5.48,0.35,0.44,35.75,74.26,3767.99,41.61,115.7,-5.12,1.53,0.26337532381652173,0.7323260038525091,6.29,0.7552513301572108,0.1477159316867773,4.61,5.61,1
1,(주)골드앤에스,-19.65,5.93,3.82,0.0,0.0,-41.0,12.49,-51.8,-35.19,87.51,34.31,61.2,0.86,16.56,25.29,388.4,104.87,365.06,90.55,20.59,223.14,0.20184546585473556,0.20959298916543267,123.57,0.353720026830656,0.2773031769406479,25.9,7.68,0
2,(주)국보,8.28,16.64,16.43,688.22,57.34,0.7,9.61,2.62,0.95,90.39,4.88,291.37,1.35,4.35,183.96,66.51,412.82,65.67,180.3,-18.38,3.74,0.6478330393495009,0.4973220635465022,-0.33,0.8472617248395662,0.36504743681180035,-0.16,8.72,1
3,(주)그래디언트,-7.95,2.26,38.87,0.0,0.0,-9.56,12.71,-34.72,-20.29,87.29,25.26,132.34,2.12,24.11,101.78,148.58,168.41,142.05,105.84,15.55,68.54,0.5044097451651377,0.22787111786608402,7.85,0.6344477549688691,0.4754863012739628,1.79,8.57,0
4,(주)금양,-46.86,-44.95,-11.09,0.0,0.0,-68.11,15.94,-208.86,-43.55,84.06,6.26,7.19,0.64,3.0,1762.65,50.14,17.06,34.51,1143.83,-38.37,2.72,0.9463131724018538,1.027142572552391,-13.06,0.8132951797624819,0.38591301794144356,-13.42,11.19,0
5,(주)남선알미늄,-36.77,-20.09,-11.33,0.0,-13.01,2.23,13.01,11.72,2.64,86.99,5.87,8.57,1.18,2.02,237.57,193.64,36.9,143.67,189.71,21.18,17.56,0.7037672722200268,0.4605285673159583,9.99,0.321415049886398,0.43801630628017324,4.6,13.54,0
6,(주)녹십자,-43.55,-45.45,-17.49,-84.09,0.0,10.45,33.6,12.42,4.69,66.4,3.08,6.9,0.45,1.65,119.74,312.88,140.65,264.12,89.8,40.23,22.0,0.5449185755113752,0.8766348490362929,-33.37,0.34683420411943094,0.5913298249888622,-29.26,4.37,0
7,(주)다우기술,-3.33,90.11,21.3,0.0,0.0,8.57,7.21,2.39,2.17,92.79,3.84,17.46,0.25,18.93,9.63,393.09,804.02,375.47,74.22,24.08,131.68,0.0878760544304847,0.34183680696817853,0.25,0.9350790602875196,0.32300436003344685,0.09,6.47,0
8,(주)대명소노시즌,-34.05,-45.05,-19.98,0.0,0.0,21.85,-21.51,0.0,12.43,121.51,2.35,3.19,0.57,4.19,139.56,162.06,140.51,159.16,98.09,22.62,23.72,0.5825707631687786,0.8143919219722714,-16.89,0.6255086659462145,0.5905629052321372,-13.76,6.22,0
9,(주)대유에이텍,-47.58,-79.74,-47.67,0.0,0.0,-173.82,-33.74,-579.42,-98.94,133.74,5.54,3.63,0.57,2.46,40990.72,52.75,0.56,18.76,26954.96,-30.81,1.56,0.9975663602872621,1.205447797547861,-82.44,0.6536926367253391,0.3440133985280698,-99.38,10.37,0
10,(주)대유플러스,-41.2,-37.79,-15.22,0.0,0.0,40.31,-5.33,0.0,45.84,105.33,7.6,13.03,1.14,1.69,80.51,198.46,408.48,150.45,121.21,16.3,28.86,0.4460286684805846,0.2904688432948083,15.01,0.37116335114477444,0.328556406764674,4.36,2.24,0
11,(주)대한항공,-3.92,-0.52,10.21,0.0,0.0,1.79,22.22,3.24,1.04,77.78,13.56,14.9,0.58,0.94,198.59,67.96,967.63,51.97,249.96,-7.68,4.31,0.6650912843950334,1.1171799002657867,9.2,0.3603463906088475,0.162863384687117,10.27,9.94,1
12,(주)더존비즈온,-10.35,0.62,-6.44,0.0,0.0,-3.15,14.97,-4.63,-2.39,85.03,39.45,5.15,0.76,3.34,106.34,105.63,211.87,71.86,111.16,2.46,6.74,0.5153742548016301,0.6408748143391696,11.46,0.847328399280662,0.4612874017308627,7.35,9.94,0
13,(주)동양,-45.4,-21.66,-58.97,0.0,-90.24,-5.83,11.17,-17.23,-2.15,88.83,4.19,13.94,0.37,1.04,821.94,52.56,66.84,50.03,643.95,-27.21,0.25,0.8915331343672653,1.7091386119056022,0.76,0.6434661943768336,0.3015287103906224,1.29,9.29,0
14,(주)두산,-10.45,-35.43,15.48,0.0,0.0,-11.95,35.17,-29.98,-7.75,64.83,6.48,7.75,0.65,1.44,311.35,54.14,542.19,31.58,333.07,-16.12,0.5,0.7568970992513654,1.1016707199855962,3.1,0.4643960360257653,0.19029008277520612,3.42,8.28,0
15,(주)드래곤플라이,2.3,83.65,13.73,0.0,0.0,-41.59,-14.16,-27.33,-20.99,114.16,4.33,5.58,0.5,0.81,51.29,245.64,101.13,172.11,92.85,22.9,33.98,0.3390022363113731,0.6795239535778121,-80.73,0.4638743346958928,0.3862806318525335,-54.86,9.54,0
16,(주)디모아,-4.61,-10.25,-4.81,0.0,0.0,-3.11,27.5,-8.98,-4.08,72.5,3.62,7.04,1.31,6.53,122.94,142.17,219.46,102.9,83.68,18.53,17.42,0.5514496681497324,0.41101765986356004,4.41,0.7967664996914386,0.6246637757513028,1.81,7.95,0
17,(주)디지틀조선일보,-11.13,0.46,-12.69,0.0,-50.08,-8.84,14.07,-8.08,-3.34,85.93,1.28,599.62,0.38,1.36,136.87,111.97,230.78,111.68,135.98,4.55,12.57,0.5778235427093616,1.4387041993814886,10.37,0.658312371003416,0.425905164534121,14.92,10.41,0
18,(주)리드코프,-9.18,-13.87,-6.19,0.0,0.0,-4.15,8.54,-10.74,-5.76,91.46,286.58,13.81,1.39,3.81,87.36,113.33,76.18,84.98,110.71,4.81,44.18,0.46627509323756017,0.3196512588078345,-1.51,0.7742228662202534,0.4091111446460382,-0.48,8.55,0
19,(주)모나리자,-27.27,-46.45,-9.97,-79.76,588.81,9.26,28.73,17.28,10.82,71.27,7.99,11.6,1.17,2.6,29.43,221.41,160.05,165.66,73.77,23.58,68.93,0.22739948293708748,0.16379933472692146,55.25,0.8541079189100268,0.43003138448778544,9.05,0.64,1
20,(주)모베이스전자,13.01,31.82,33.46,248.2,184.75,2.27,9.0,11.41,3.65,91.0,11.81,17.26,1.61,3.2,223.91,58.34,419.5,42.39,218.8,-23.17,2.04,0.6912691673565682,0.4559459406272934,5.82,0.8046231264032803,0.32449496418374074,2.65,6.34,1
21,(주)모헨즈,-12.32,-15.89,2.87,0.0,0.0,1.32,4.35,7.97,1.74,95.65,5.11,39.6,1.31,5.27,312.74,53.98,139.95,48.25,262.72,-30.99,2.55,0.7577183635539634,0.5388814900918869,-3.6,0.8887088656512399,0.3634882605624848,-1.94,10.2,0
22,(주)바른손,-30.91,-33.55,1.63,0.0,0.0,-136.44,14.77,-114.27,-74.88,85.23,3.89,4.09,0.55,3.29,48.33,296.25,132.13,206.27,101.51,20.91,46.65,0.3258423785582707,0.4851821342025625,-26.39,0.3269944941804111,0.31564535965672647,-12.8,9.39,0
23,(주)바른손이앤에이,-35.25,-46.56,20.17,0.0,0.0,-205.06,24.83,-224.48,-47.16,75.17,3.72,17.4,0.23,10.93,251.72,113.59,52.7,102.66,261.98,3.05,3.26,0.7156799461766423,2.4459204886497172,-31.7,0.31382599848067766,0.2551320593259405,-77.53,6.96,0
24,(주)백산,9.37,15.09,5.81,0.0,2308.9,-0.32,13.75,-0.4,-0.23,86.25,2.04,9.11,0.72,4.55,84.09,160.84,456.89,143.53,55.51,26.42,5.21,0.45678069576682223,0.661161701463508,-9.56,0.9506728958565946,0.6984370840680204,-6.32,5.65,1
25,(주)보락,-12.18,-9.98,-1.28,0.0,0.0,-24.28,10.32,-24.77,-13.82,89.68,5.7,2.52,0.57,1.08,91.21,120.57,220.51,39.53,119.76,6.38,2.51,0.47701849690967135,0.7834595988099838,-2.09,0.6497175632817972,0.373681521934585,-1.64,6.19,0
26,(주)사조대림,1.68,3.91,7.46,0.0,507.02,0.55,16.09,3.45,0.74,83.91,4.74,9.79,1.34,6.44,357.55,98.86,640.2,79.58,150.68,-0.77,2.2,0.7814441581566709,0.5864841611025662,2.18,0.8681422870074484,0.670670510035227,1.28,13.29,1
27,(주)사조오양,-4.59,0.29,18.23,0.0,0.0,1.15,13.16,3.13,1.17,86.84,7.07,4.77,1.02,2.31,157.41,79.75,337.03,39.09,149.71,-10.62,0.37,0.6115127349833366,0.586411452724816,1.56,0.8579444708281215,0.41839735975061587,0.91,4.61,1
28,(주)삼보판지,1.01,-4.14,3.6,0.0,0.0,5.55,18.38,6.09,3.53,81.62,3.85,13.3,0.64,1.05,68.12,99.98,944.42,87.07,106.15,-0.01,42.47,0.40520428951906323,0.6402009359359095,15.21,0.9099237095809646,0.36862921629106443,9.74,4.29,1
29,(주)삼익악기,-21.92,-17.71,15.67,0.0,0.0,53.77,4.81,0.0,35.91,95.19,6.15,3.79,0.67,1.35,107.19,196.03,340.5,110.68,121.07,20.36,21.34,0.517353336304785,0.6792505790012889,3.13,0.4098347389639928,0.4156372748043644,2.13,10.21,0
30,(주)삼진,-5.44,10.63,25.97,0.0,157.11,0.96,9.85,3.6,1.23,90.15,9.21,13.34,1.29,3.03,186.97,58.05,513.38,42.83,195.55,-23.02,0.27,0.6515359436368761,0.49208886597668955,8.34,0.8422555880787191,0.31856302650601015,4.1,6.41,1
31,(주)상지카일룸,18.27,43.14,12.68,0.0,0.0,-45.86,-4.6,-173.33,-30.2,104.6,5.12,14.42,0.66,3.28,228.38,95.0,72.53,86.26,185.16,-2.3,2.04,0.6954718091675913,1.1446670885352235,-15.38,0.6601348258567709,0.4361393175841749,-17.61,9.89,0
32,(주)서부티엔디,-18.52,-85.61,9.11,0.0,171.6,-9.79,45.61,-2.26,-1.26,54.39,85.51,104.71,0.13,0.19,63.7,18.64,1102.34,17.81,158.25,-14.54,13.16,0.3891379831245842,2.7180459285047003,19.68,0.4592532817770517,0.03331000478227165,53.49,10.74,0
