,구분,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,유동자산/자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)CMG제약,-33.92,-41.24,-6.12,0.0,0.0,-179.14,24.33,-106.4,-63.34,75.67,1.75,4.9,0.35,0.95,142.62,108.59,113.51,81.75,138.21,3.4,11.75,0.5878317023479568,1.3229302413178983,-44.57,0.6741990320138378,0.43035619165162736,-58.97,22.83,0
1,(주)DB하이텍,-26.58,-17.64,-14.45,0.0,0.0,-15.3,12.78,-23.66,-6.1,87.22,7.61,3.89,0.4,0.58,288.09,101.58,332.97,49.91,303.43,0.34,11.83,0.7423273735141077,1.57627669594213,2.46,0.28927197424830337,0.2181379452984876,3.88,10.15,0
2,(주)ES큐브,16.14,30.21,117.58,0.0,0.0,13.26,21.06,9.58,8.53,78.94,14.86,83.65,0.64,22.41,15.98,727.53,383.65,718.68,48.09,50.49,78.9,0.13777702970261796,0.23017471781704435,9.91,0.5840126833876157,0.5853939092324897,2.28,4.1,1
3,(주)골드퍼시픽,-2.83,19.55,-18.41,0.0,0.0,1.87,26.77,0.76,0.69,73.23,5.8,5.26,0.37,16.0,7.37,1666.53,184.01,1551.14,25.82,71.4,851.91,0.0686714854767801,0.18309039569235144,27.7,0.6637055812459901,0.7595648762083816,5.07,0.0,0
4,(주)국동,-48.49,-48.08,-25.54,0.0,0.0,-20.25,18.96,-93.12,-26.56,81.04,5.47,9.56,1.31,24.6,344.77,100.26,58.79,79.95,100.15,0.2,1.7,0.7751651598839701,0.4018024433124459,8.94,0.9969525063256446,0.7748282162732532,3.59,4.74,1
5,(주)기산텔레콤,14.74,24.77,-18.04,0.0,0.0,-14.67,23.7,-15.09,-9.44,76.3,4.04,2.64,0.64,36.63,74.75,164.9,530.91,96.74,64.0,24.94,22.38,0.427758763965031,0.710110863238554,-12.61,0.8985042310319732,0.633787290733435,-8.96,6.89,0
6,(주)나노엔텍,62.14,48.57,105.94,0.0,0.0,107.59,37.08,51.29,39.39,62.92,5.38,6.27,0.37,1.6,28.04,283.31,396.86,253.2,68.07,30.3,39.7,0.21896585181170308,0.7398657834038874,8.01,0.7549939342001012,0.4683584701696926,5.92,5.69,1
7,(주)네오위즈홀딩스,22.66,-46.32,177.38,0.0,0.0,37.68,53.83,4.32,3.36,46.17,15.81,0.0,0.09,0.7,30.05,154.43,3905.49,154.43,113.63,4.45,23.39,0.23107158352537976,2.857502088885454,2.72,0.3539246448542674,0.1262938538472808,7.79,4.5,1
8,(주)녹원씨엔아이,9.65,8.57,-12.11,0.0,0.0,3.25,9.9,13.32,5.8,90.1,6.08,52.25,1.78,4.25,125.16,122.54,373.74,112.99,117.52,8.79,40.8,0.5558753408950409,0.3260026797043296,2.03,0.7018222346648137,0.47806154121093464,0.66,7.66,1
9,(주)대명소노시즌,-8.21,-17.03,113.06,0.0,0.0,-5.92,35.07,-0.81,-0.59,64.93,38.65,8.83,0.1,0.93,27.19,174.78,265.48,163.07,104.54,7.62,13.42,0.2137786822543113,2.0548226101902,-16.43,0.4766733335877877,0.17810251340006347,-33.77,9.51,0
10,(주)동양,6.21,2.97,19.28,0.0,0.0,-12.3,11.16,-32.69,-5.92,88.84,3.75,19.41,0.48,2.12,501.22,33.87,56.63,30.12,444.17,-51.01,9.35,0.8336706044948887,1.7852063213923077,-9.56,0.9251853234907786,0.2612146988059599,-17.07,10.65,0
11,(주)드래곤플라이,131.82,-22.38,292.75,0.0,0.0,-16.09,98.55,-11.53,-9.06,1.45,9.74,161.33,0.56,2.75,33.66,105.3,907.4,105.3,98.23,1.33,28.99,0.25185173741603006,0.6249885445526001,26.9,0.9995585215639172,0.2650817621150761,16.81,9.86,1
12,(주)디모아,-37.71,-69.45,-96.94,0.0,0.0,-425.31,0.0,-46.04,-23.72,0.0,0.21,0.49,0.06,1.68,46.58,122.59,149.33,120.24,97.26,6.2,4.38,0.3177828585981294,4.374688685465206,-154.22,0.8636351033105344,0.3364512731074213,-674.65,0.0,0
13,(주)디지털대성,2.92,-6.72,7.06,0.0,0.0,0.58,27.96,0.82,0.72,72.04,9.29,71.4,1.25,16.25,13.91,360.04,481.46,346.56,65.07,30.96,26.01,0.12209209893109955,0.0989578268581959,63.34,0.9752961105434989,0.4287250721522202,6.27,0.0,1
14,(주)레드로버,21.74,47.08,-0.9,0.0,0.0,-3.58,0.0,-11.97,-5.18,0.0,8.95,2937.58,1.45,37.32,169.73,244.9,120.46,244.9,46.45,48.98,62.26,0.6292548617849463,0.4769749354655214,-0.12,0.5371742338047031,0.8277952731647111,-0.06,4.49,0
15,(주)마크로젠,14.36,-2.01,36.02,1763.94,0.0,14.53,48.1,9.68,8.63,51.9,3.59,30.71,0.59,1.55,13.98,652.1,1416.96,622.14,67.87,34.25,80.84,0.12265088514202038,0.22020662742692407,88.15,0.5057839283974287,0.404529220941031,19.41,0.0,1
16,(주)메디프론디비티,3.17,81.87,21.53,0.0,0.0,-11.62,16.21,-4.4,-3.84,83.79,9.23,17.59,0.33,718.75,15.1,128.37,276.61,109.06,96.19,3.63,55.08,0.1312010877785221,0.4032225471416094,-1.98,0.9757517103256452,0.16433769799232528,-0.8,12.47,1
17,(주)미래아이앤지,-7.45,10.95,-2.16,0.0,0.0,-10.06,10.11,-13.2,-6.83,89.89,6.51,3.37,0.68,1.73,84.69,128.19,148.02,79.6,87.86,11.53,43.38,0.45855643725565626,0.6496493461247692,-15.54,0.8919268361109063,0.524295010690738,-10.09,10.01,0
18,(주)바른손,-9.52,-15.51,-24.16,0.0,0.0,-28.92,11.51,-26.42,-16.34,88.49,6.17,4.18,0.57,3.29,59.95,200.15,60.42,131.36,91.5,21.41,37.88,0.37481029274063354,0.6301271032785026,-5.87,0.5704734624557125,0.4279519815479384,-3.7,7.48,0
19,(주)바른손이앤에이,-9.31,20.65,43.93,0.0,0.0,-61.82,78.46,-63.11,-21.91,21.54,12.05,19.46,0.35,21.99,90.88,61.3,101.98,59.71,138.83,-17.22,2.98,0.47611157443229335,1.277771227623605,-13.93,0.9344498372594726,0.2727093568040061,-17.79,11.27,0
20,(주)바이오니아,18.44,71.09,89.99,0.0,0.0,19.49,69.51,14.47,8.42,30.49,2.13,4.49,0.43,1.07,70.76,133.63,735.76,99.93,94.72,11.21,10.39,0.4143962118017917,1.040797155346521,5.42,0.804168752476785,0.4453224309368585,5.64,8.18,1
21,(주)버킷스튜디오,42.65,-20.25,43.14,0.0,0.0,-33.35,11.72,-48.31,-30.36,88.28,10.21,9.18,0.91,541.07,69.04,114.82,295.58,76.28,109.24,4.57,1.6,0.40843662377371703,0.5274840688511047,-20.85,0.7544169188750844,0.35379705738264966,-11.0,34.2,0
22,(주)블루베리엔에프티,-1.62,2.93,15.32,0.0,0.0,6.48,20.22,5.66,5.2,79.78,6.77,3.76,0.8,3.85,5.73,1197.26,628.18,773.34,45.29,52.39,312.83,0.05419562410279247,0.06699849411091272,120.39,0.8809753475423456,0.5716325169612884,8.07,0.0,1
23,(주)비보존헬스케어,31.65,50.56,-48.35,0.0,0.0,-60.52,-9.94,-48.22,-26.58,109.94,3.07,2.38,0.44,1.81,21.98,468.33,270.9,360.43,54.12,43.75,230.99,0.1801760438221686,0.46634559407654663,-56.75,0.6592677983361397,0.5563060922135711,-26.46,6.58,0
24,(주)비엔지티,23.94,20.22,-48.72,0.0,0.0,-12.06,8.3,-28.92,-14.13,91.7,3.4,15.63,1.17,5.94,160.1,127.59,175.18,114.11,97.81,13.49,7.09,0.6155362349775007,0.5815407364759628,5.04,0.7944385721639029,0.6239397512904454,2.93,10.37,1
25,(주)비케이홀딩스,-14.22,-31.69,9.06,0.0,0.0,0.27,19.87,0.4,0.1,80.13,9.1,11.33,0.36,0.54,143.95,39.84,175.98,30.83,208.6,-21.88,3.83,0.5900772978363408,1.5325401650844077,10.18,0.6163029508872222,0.14488321881886004,15.61,5.97,1
26,(주)사조오양,28.89,9.98,1.21,0.0,0.0,2.51,10.81,11.82,3.02,89.19,23.45,5.68,1.2,2.77,221.25,97.59,132.93,53.42,156.44,-1.27,19.03,0.6887178396552401,0.6452045487510021,-20.41,0.7633350779385591,0.5130299638465715,-13.17,5.52,1
27,(주)삼표시멘트,6.42,-35.03,15.21,0.0,0.0,-155.62,18.66,-4.01,-2.32,81.34,5.59,30.35,0.01,1.51,78.02,2127.69,829.85,2118.21,161.83,8.67,854.59,0.4382680485923207,30.360436120003445,-1.06,0.009753797712385577,0.09095408273563885,-32.23,11.57,0
