,구분,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채/자산2009,부채/매출액2009,부채/현금흐름2009,유동부채/부채2009,유동자산/자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)대호에이엘,9.92,1.39,-2.69,0.0,22.94,4.57,8.02,26.13,5.25,91.98,8.08,3.56,1.15,3.06,301.77,83.79,212.42,38.63,189.49,-10.22,2.74,0.751098708971025,0.6846200258028515,-0.96,0.8394821760732246,0.5283506567821902,-0.65,6.71,1
1,(주)비케이홀딩스,-14.22,-31.69,9.06,0.0,0.0,0.27,19.87,0.4,0.1,80.13,9.1,11.33,0.36,0.54,143.95,39.84,175.98,30.83,208.6,-21.88,3.83,0.5900772978363408,1.5325401650844077,10.18,0.6163029508872222,0.14488321881886004,15.61,5.97,1
2,(주)아센디오,2.74,110.4,96.32,0.0,0.0,-154.21,2.82,0.0,-84.22,97.18,2.85,116.26,0.55,38.99,0.0,39.44,0.0,38.59,0.0,-64.23,0.24,1.069924031449592,1.985449365813007,-48.34,0.9911763782242182,0.41822403998373875,-95.98,5.95,1
3,(주)와이오엠,84.66,1429.13,9.72,0.0,0.0,-79.52,3.16,-46.4,-25.94,96.84,7.85,93.63,0.33,20.7,31.93,201.85,163.45,199.34,74.87,21.82,154.77,0.24199999087329616,0.9624262942601135,-203.16,0.8854450353203865,0.4325206837051392,-195.53,12.4,1
4,(주)한창제지,-1.87,3.5,-2.48,0.0,2601.48,5.33,16.3,29.41,5.58,83.7,6.99,6.49,1.05,1.66,217.56,167.28,207.41,87.41,201.35,14.72,6.32,0.6850957261050453,0.6490417862354816,2.46,0.3193120524541919,0.36594777257208366,1.6,5.18,1
5,도이치모터스(주),-14.4,-12.76,31.71,0.0,0.0,0.56,10.88,8.38,1.71,89.12,96.71,20.67,3.03,7.07,205.87,91.27,186.66,56.3,192.27,-3.55,18.0,0.6730658088446523,0.20502213507238856,13.94,0.6046107900811042,0.3714168510390584,2.86,5.42,1
6,삼보산업(주),0.8,2.48,-33.75,0.0,0.0,2.7,6.98,45.39,5.57,93.02,7.66,10.62,2.06,5.27,565.14,64.94,1888.27,39.23,307.52,-29.02,1.09,0.8496548060963525,0.41354852414792737,-1.88,0.9743785836372717,0.537660160785352,-0.78,7.64,1
7,(주)GMT,-4.36,20.44,-33.05,0.0,0.0,-19.23,14.56,-27.92,-4.08,85.44,0.0,349.37,0.21,0.22,677.22,1.61,373.33,1.44,770.01,-56.56,0.06,0.8713369676174669,4.012231015001799,6.91,0.6597869287880813,0.00928307094022455,27.73,6.54,0
8,(주)KH엘텍,-42.39,92.71,3.92,0.0,0.0,-33.35,-28.88,0.0,-25.39,128.88,10.42,27.18,0.76,0.9,0.0,19.33,0.0,15.85,0.0,-87.53,0.82,1.4583485471418987,1.4002203532888582,-14.72,0.7440216854924916,0.20978707186792497,-20.61,5.21,0
12,(주)강호에이엠씨,-80.64,-80.57,123.39,0.0,0.0,150.52,20.31,0.0,23.41,79.69,432.44,0.19,0.16,825.56,0.0,87.41,-34505.67,23.06,0.0,-14.38,18.66,2.160467565335273,4.504980324533433,58.84,0.5286428053793438,0.9982940399134561,265.09,2.99,0
13,(주)거성산업건설,-5.77,-7.43,-72.69,-94.24,-63.62,2.35,41.0,4.68,0.9,59.0,1.11,1.02,0.38,113.24,381.35,233.4,501.66,114.68,67.21,49.17,0.05,0.7922495875325501,2.0003806118816994,-23.28,0.4652808966680634,0.8603615467695019,-46.56,9.16,1
14,(주)거홍건영,-6.74,-3.82,71.54,0.0,0.0,-153.85,51.68,0.0,-7.67,48.32,15.59,3.2,0.05,6.1,0.0,1177.9,-983.58,1162.55,0.0,90.95,14.21,1.3439056421330362,26.01540542068024,-11.64,0.06278353340479835,0.9938579590084218,-302.73,5.02,0
15,(주)건곤하우징,-18.52,-99.08,304.6,0.0,362.1,7.07,24.87,0.0,7.32,75.13,8.99,2.62,1.04,10907.79,0.0,1.04,-1680.24,0.42,0.0,-107.24,0.0,1.0836399875593694,0.9395574134942674,76.05,1.0,0.011223519072571122,71.45,15.33,1
17,(주)건민,-1.89,37.64,10.81,0.0,0.0,-9.29,0.0,0.0,-3.76,0.0,30.86,0.0,0.41,0.41,0.0,2.19,0.0,2.19,0.0,-97.26,0.67,1.6372681994565192,4.002268196253501,-1.06,0.6073451306719013,0.02174479420109806,-4.26,5.35,0
18,(주)건양,-22.15,-57.78,5.09,219.78,-40.99,13.74,43.37,57.71,2.58,56.63,58.39,0.85,0.19,0.27,1417.45,33.08,17.45,5.86,1265.16,-33.63,0.54,0.9340999129291129,4.34955311627147,12.76,0.5379670939808044,0.166255559511477,55.5,5.64,1
