,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
0,(주)DB하이텍,2.49,124968815,52.27,0.37,35.62,17.42,0,174.49,19.12,34.46,61.61,12.7,65.54,7.7,8.73,0.66,1.19,262.19,137.97,124.76,103.5,241.89,9.14,43.28,730586221.0,984643712.0,666594987.0,13.59,244044785.0,337757266.0,14.84,8.45,1
1,(주)HJ중공업,-0.75,-79370000,46.95,-15.2,-12.67,13.47,0,0,-12.74,3.38,-16.57,-5.15,96.62,7.33,3.46,0.4,1.64,236.72,63.44,269.34,35.23,218.9,-20.17,3.12,4546048000.0,5914637000.0,3115473000.0,0.13,3430218000.0,2429499000.0,0.21,5.68,0
2,(주)STX,-0.42,-34170000,77.87,-1.2,-8.96,5.48,0,0,-3.92,0.73,-84.03,-5.02,99.27,7.46,9.33,1.28,24.58,1362.39,97.8,96.62,76.64,545.56,-1.41,6.85,1194882000.0,1267224000.0,1630827000.0,-2.52,866685000.0,902119000.0,-1.82,4.63,0
3,(주)골드앤에스,1.89,1143768,9.47,-18.3,-4.18,-24.57,0,0,-42.33,29.98,-78.06,-35.81,70.02,4.35,8.42,0.85,55.33,57.4,198.8,152.17,168.17,56.53,31.85,6.82,8941840.0,24102094.0,22197935.0,9.91,7942854.0,15364121.0,3.84,7.93,1
4,(주)골드퍼시픽,-13.68,-8243124,11.54,-13.9,-9.24,26.08,0,0,-204.62,-36.85,-67.67,-42.15,136.85,1.1,2.3,0.21,1.49,36.69,349.83,75.86,308.07,65.58,37.15,72.2,7380179.0,28573328.0,18635305.0,-85.09,4089090.0,14304863.0,-102.59,8.9,0
5,(주)국보,-1.41,-2462368,36.93,-8.49,-14.98,-5.11,0,0,-4.32,5.72,-19.32,-4.39,94.28,4.64,158.13,1.02,2.09,368.4,50.18,333.17,49.38,317.88,-31.9,0.4,64675995.0,83085438.0,91618545.0,-0.51,52453525.0,26759792.0,-0.37,5.05,0
6,(주)그래디언트,34.27,65149099,3.44,4.37,-74.63,66,1995.32,3527.73,101.88,0,3.08,2.81,0,36.9,0,0.03,30.87,10.27,3.21,1418.36,3.21,110.05,-6.02,0.01,1202893253.0,2106702049.0,3536848758.0,3.6,1068144809.0,1337838696.0,12.38,1.43,1
7,(주)녹원씨엔아이,1.94,455438,19.73,16.91,5.42,130.33,0,0,-178.94,46.51,-108,-78.22,53.49,4.12,18.08,0.44,15.57,46.11,402.73,105.29,378.8,76.82,35.65,40.37,6541920.0,24796543.0,7329185.0,-116.12,2888372.0,9969610.0,-90.37,12.87,1
8,(주)뉴인텍,0.6,-804024,42.46,-3.94,-7.96,-11.02,0,0,-0.52,10.73,-1.18,-0.45,89.27,4.43,7.5,0.87,2.58,157.67,68.25,107.23,47.05,164.28,-16.86,1.7,34278251.0,51501516.0,50090372.0,1.78,30018369.0,27625927.0,1.23,5.11,0
9,(주)대유플러스,1.53,1460003,14.55,9.35,-5.71,-45.93,0,0,0.25,5.7,0.43,0.26,94.3,8.96,22.49,1.07,5.33,68.08,54.9,239.51,38.07,139.2,-14.11,0.04,677878811.0,784472056.0,495781661.0,5.64,162895923.0,195828780.0,2.23,5.28,1
