,구분,이자보상배율2015,영업이익2015,차입금의존도2015,총자본증가율2015,유동자산증가율2015,매출액증가율2015,순이익증가율2015,영업이익증가율2015,매출액순이익률2015,매출액총이익률2015,자기자본순이익률2015,총자본순이익률2015,매출원가 대 매출액비율2015,매출채권회전률2015,재고자산회전률2015,총자본회전률2015,유형자산회전율2015,부채비율2015,유동비율2015,자기자본배율2015,당좌비율2015,비유동비율2015,순운전자본비율2015,현금비율2015,부채2015,자산2015,매출액2015,부채/현금흐름2015,유동부채2015,유동자산2015,매출/현금흐름2015,차입금평균이자율2015,정상기업여부
0,(주)DCFTREK,3.29,1022889,15.24,-20.65,-41.17,-5.18,0,0,-5.73,5.21,-9.45,-6.61,94.79,16.51,12.99,1.15,2.57,32.87,79.65,2568.54,36.38,112.23,-3.97,4.41,10552111.0,42658852.0,55573955.0,4.09,8320515.0,6627038.0,0.78,3.26,1
1,(주)G1네트웍스,999999999,-193922,15.29,-5.28,-15.77,-21.27,0,0,-1.06,22.85,-3.22,-0.83,77.15,6.08,122.06,0.78,1.54,284.75,122.16,1527.91,117.1,278.2,5.02,13.32,13052320.0,17636049.0,14124865.0,1.98,3998042.0,4884138.0,1.83,0.0,0
2,(주)S-Tech,-8544.12,-2383809,0,-13.14,-48.27,69.96,0,0,-228.9,-0.37,-13.42,-12.72,100.37,8.65,0,0.06,0.07,5.13,256.05,1465.34,256.05,96.04,5.27,81.23,751814.0,15405238.0,921167.0,-468.04,520283.0,1332175.0,-382.0,0.0,0
3,(주)가겐투안,-5.11,-268306,9.18,-0.21,-0.56,25.41,0,0,-1.29,4.6,-1.51,-1.14,95.4,13.73,0,0.89,346.29,32.68,50.12,2396.5,50.12,119.18,-10.13,15.03,3915679.0,15898186.0,14125593.0,-3.47,3227864.0,1617659.0,-0.96,3.64,0
4,(주)가경디앤씨,999999999,-112825,141.91,-0.08,-0.08,0,0,0,0,0,0,-0.15,0,0,0,0,0.0,0.0,212.82,0.0,196.06,0.0,50.75,0.19,81841235.0,54443386.0,0.0,0.05,24490343.0,52119617.0,0.0,0.0,0
5,(주)가람우즈,3.89,20858661,130.72,-22.91,-25.99,1023.51,0,0,13.9,21.01,0,19.37,78.99,18.26,2.26,1.39,428.81,0.0,70.13,0.0,29.74,0.0,-40.16,14.52,98879168.0,70574484.0,112981728.0,9.38,94873072.0,66532953.0,8.21,5.18,1
6,(주)가야포징,-1.82,-1958394,113.46,2.57,108.46,40.13,0,0,-39.29,-21.21,0,-10.57,121.21,9.48,8.63,0.27,0.29,0.0,7.8,0.0,3.5,0.0,-99.72,0.22,31723076.0,26200787.0,6962230.0,-5.04,28339097.0,2210959.0,-22.96,3.69,0
7,(주)가이아로지스,1.55,570520,93.88,2.1,150.74,193.86,0,0,16.86,0,195.68,1.93,0,43.71,0,0.11,0.12,5086.1,7.33,42.31,7.33,4917.41,-65.48,5.65,10760208.0,10971769.0,1241262.0,2.32,7753208.0,568442.0,20.11,3.57,1
8,(주)갑우문화사,4.48,355227,9.33,0.75,-4.52,1.34,165.51,0,1.62,14.55,2.13,1.48,85.45,5.78,40.05,0.91,1.42,43.59,132.32,37339.09,120.33,108.27,6.01,27.45,8138678.0,26808222.0,24400136.0,9.47,4983678.0,6594517.0,3.16,3.08,1
9,(주)강앤파트너스,-36.68,-361910,0.04,-1.59,2.99,-23.41,0,0,-75.63,0,-1.64,-1.61,0,6.59,0,0.02,0.03,1.71,19271.13,2685.69,19271.13,67.26,33.69,18566.03,229002.0,13657447.0,293621.0,28.54,24002.0,4625456.0,22.26,346.21,0
10,(주)강원심층수,-2.96,-2808159,78.46,-5.23,53.31,8.98,0,0,-54.78,28.43,-57.63,-12.93,71.57,9.18,15.36,0.24,0.25,509.25,8.44,16.55,6.64,566.49,-76.19,0.81,23596227.0,28229727.0,6847437.0,-6.51,23490727.0,1981635.0,-22.43,4.46,0
11,(주)거제씨월드,-1.03,-1002832,130.35,-5.16,34.83,8.17,0,0,-113.82,85.9,0,-24.88,14.1,98.09,44.63,0.22,0.81,0.0,15.97,0.0,14.5,0.0,-22.8,10.6,20332375.0,13441139.0,3017872.0,-1.24,3646769.0,582529.0,-8.37,5.86,0
12,(주)건동주택,999999999,-104528,91.33,-0.06,-0.06,0,0,0,0,0,0,-0.31,0,0,0,0,0.0,0.0,90.0,0.0,8.53,0.0,-11.11,0.09,37630302.0,33823578.0,0.0,1.11,37560929.0,33804015.0,0.0,0.0,0
13,(주)건영,-28.69,-13317130,12.39,-9.58,3.99,-2.18,0,0,-75.7,6.24,-105.98,-27.57,93.76,2.37,1.31,0.36,5.11,54.72,311.69,1441.88,209.06,20.31,59.0,30.56,83638630.0,236477469.0,90673098.0,-24.16,65910217.0,205434070.0,-22.29,1.24,0
14,(주)건우피엠,999999999,-380799,0,-3,-4.13,180.99,0,0,-166.98,0,-2.88,-2.73,0,0,0.13,0.02,0.06,6.14,62628.29,2319.56,50947.69,34.75,67.15,1346.65,712280.0,12310065.0,204271.0,-42.18,13220.0,8279460.0,-147.07,0.0,0
15,(주)건황로지스틱스,-0.18,-189410,182.03,-0.49,-0.49,0,0,0,0,0,0,-2.06,0,0,0,0,0.0,0.0,52.39,0.0,3.15,0.0,-90.86,0.02,112950295.0,59112631.0,0.0,-1.88,112822652.0,59111345.0,0.0,1.0,0
16,(주)경동바이오테크,4.09,45266,3.08,3.69,10.56,109.6,0,0,0.77,7.52,0.41,0.41,92.48,0,52.71,0.52,0.54,3.37,77.88,96.71,50.24,100.78,-0.71,34.91,423394.0,12995486.0,6692063.0,-26.29,418243.0,325710.0,-1.66,5.54,1
17,(주)경우라이프,999999999,-732281,0,42.16,86.6,14.58,0,0,-32.14,0,0,-3.41,0,0,0,0.11,37.66,0.0,4740.7,0.0,4740.7,0.0,46.09,389.68,29406904.0,24529718.0,2220110.0,17.95,243605.0,11548579.0,237.81,0.0,0
18,(주)골프존카운티자산관리,-2.43,-3365817,5.27,42.41,-3.03,34.62,0,0,-6.73,12.07,-5.95,-3.98,87.93,14.35,0,0.59,20.21,10.49,111.1,142.71,111.1,99.42,1.0,53.91,9369734.0,98721441.0,49625119.0,-69.79,8900100.0,9888348.0,-13.18,6.36,0
19,(주)관악상사,-3.84,-39769,5.53,-18.5,286.77,0,-24.11,0,284.03,0,2.17,2.09,0,0,0,0.01,0.14,7.15,119.8,275.82,119.8,99.85,1.13,3.22,1205388.0,18072007.0,148320.0,31.48,1026887.0,1230234.0,255.81,2.07,0
20,(주)광산에스에이치아이,-10503.59,-7121437,0,-61.44,-86.67,-91.34,0,0,-579.58,-102.22,-379.98,-38.24,202.22,0.47,0,0.07,0.08,8.46,128.96,473.72,128.96,100.37,1.68,86.67,2142296.0,27475069.0,3256781.0,-42.78,1589454.0,2049755.0,-28.14,0.0,0
21,(주)광진철구산업,-32.37,-676934,38.11,-6.67,-10.05,-67.34,0,0,-2.25,1.17,-1.74,-0.37,98.83,2.15,30.74,0.16,0.33,148.17,117.23,2664.17,117.23,128.93,7.06,0.03,7895224.0,13223572.0,2224056.0,13.92,5419778.0,6353588.0,49.4,0.34,0
22,(주)교원스타트원,-1.25,-109238,54.23,-4.22,-1.92,-17.04,0,0,2.74,49.64,0,4.37,50.36,182.98,12.58,1.59,52.0,0.0,45.98,0.0,37.17,0.0,-93.16,4.74,12553045.0,6822447.0,11103491.0,-4.35,11765383.0,5409329.0,-4.92,2.73,0
23,(주)구리자동차운전학원,1.43,2920330,94.97,3.77,3.47,2013.68,0,0,2.86,21.3,0,3.05,78.7,12.21,1.54,1.06,671.43,0.0,799.76,0.0,373.33,0.0,87.06,160.16,35279546.0,33326687.0,34833611.0,-20.63,4146263.0,33160092.0,-20.89,6.43,1
24,(주)구평골프클럽,-0.87,-122664,57.24,-3.88,27.17,3.58,0,0,-21.7,0,0,-3.78,0,0,0,0.17,0.19,0.0,9.26,0.0,9.26,0.0,-53.69,2.09,8213098.0,6987514.0,1240316.0,0.68,4134744.0,383046.0,4.5,3.52,0
25,(주)국민상조,-55.23,-6880427,0.07,-2.15,7.38,0.88,0,0,-110.97,26.68,0,-11.63,73.32,1033.78,10.88,0.1,1.12,0.0,121.95,0.0,117.9,0.0,5.2,74.33,105588459.0,43662698.0,4627717.0,-2.01,10344566.0,12615035.0,-45.82,8.22,0
26,(주)국제스카이웨이호텔,-2.3,-129264,12.55,-0.77,-26.08,-3.75,0,0,-425.54,0,-1.6,-1.39,0,0,0,0,0.0,15.75,23.6,11570.49,23.6,114.13,-4.52,0.0,1822544.0,13393037.0,43831.0,-10.9,793129.0,187144.0,-453.14,3.42,0
27,(주)귀뚜라미홈시스,999999999,-1498317,0,0.19,0.56,-25.14,-51.06,0,109.93,43.63,1.42,1.3,56.37,2.28,2.89,0.01,0.08,8.08,15079.03,8553.81,14967.83,76.61,28.92,481.85,22761846.0,304417539.0,3601351.0,8.32,587829.0,88638887.0,52.56,0.0,0
