,구분,이자보상배율2016,영업이익2016,차입금의존도2016,총자본증가율2016,유동자산증가율2016,매출액증가율2016,순이익증가율2016,영업이익증가율2016,매출액순이익률2016,매출액총이익률2016,자기자본순이익률2016,총자본순이익률2016,매출원가 대 매출액비율2016,매출채권회전률2016,재고자산회전률2016,총자본회전률2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,비유동비율2016,순운전자본비율2016,현금비율2016,부채2016,자산2016,매출액2016,부채/현금흐름2016,유동부채2016,유동자산2016,매출/현금흐름2016,차입금평균이자율2016,정상기업여부
0,(주)HJ중공업,0.4,-79319000,53.67,-15.45,5.33,-5.52,0,0,-17.34,7.89,-29.31,-7.81,92.11,8.63,3.11,0.45,1.71,333.73,106.91,170.51,74.48,244.65,2.82,6.19,4361281000.0,5256464000.0,2813271000.0,3.12,2636927000.0,2372221000.0,4.88,5.72,0
1,(주)국보,-0.35,204105,36.75,-3.33,-4.46,-8.79,0,0,-6.47,6.86,-33.21,-6.39,93.14,4.62,196.92,0.99,1.94,487.0,45.86,257.0,45.15,400.57,-37.5,0.25,66033326.0,81308887.0,87333326.0,-0.4,54893083.0,26046898.0,-0.33,4.92,1
2,(주)나노엔텍,-37.54,-9685305,25.71,-18.37,-10.27,6.84,0,0,-87.01,14.2,-45.21,-32.61,85.8,1.6,4.55,0.37,1.41,72.73,391.0,226.45,303.26,85.95,37.39,124.93,20131098.0,45707894.0,22205895.0,-8.08,6148991.0,21923466.0,-8.16,3.01,0
3,(주)뉴인텍,-3.08,-9271971,35.3,-17.64,-3.93,-6.39,0,0,-22.16,3.92,-48.85,-20.1,96.08,4.55,7.15,0.91,2.51,127.29,96.2,77.71,63.4,131.2,-1.67,6.85,25479844.0,44566833.0,47895458.0,4.86,20250203.0,21589024.0,2.71,5.44,0
4,(주)대창솔루션,-3.55,-6047049,45.74,-2.65,-14.8,-16.42,0,0,-30.93,-5.81,-19.6,-9.22,105.81,4.32,3.54,0.3,0.41,124.02,51.41,963.21,30.17,179.73,-18.69,1.5,88233105.0,146530880.0,49327918.0,-3.58,65488300.0,29894089.0,-6.56,3.72,0
5,(주)듀오백,999999999,-5073348,0,-13.34,-28.47,-6.28,0,0,-19.49,24.14,-17.69,-15.27,75.86,9.5,7.4,0.78,3.43,17.1,279.1,541.04,181.39,70.54,25.51,36.34,6161789.0,38094678.0,32483515.0,-50.93,5574649.0,14009344.0,-8.81,0.0,0
6,(주)디에스앤엘,-0.87,-2007260,50.51,-13.94,-21.96,173.35,0,0,-45.91,10.8,-243.48,-74.6,89.2,6.58,31.68,1.62,6.14,351.46,238.66,53.88,236.08,219.81,29.81,0.7,22666296.0,28784785.0,50063640.0,-19.93,19439355.0,14296567.0,-8.83,13.05,0
7,(주)룽투코리아,1.34,6785571,33.99,12.1,55.39,272.05,0,0,-0.76,80.56,-1,-0.56,19.44,21.91,0,0.74,27.75,94.07,213.19,428.73,213.19,140.7,14.6,26.07,55251174.0,125601280.0,71454495.0,-0.85,21248938.0,30528942.0,-0.59,12.17,1
8,(주)마니커,-1.08,-3494772,35.03,-8.7,-40.16,-21.91,0,0,0.86,6.78,2.23,1,93.22,10.02,52.96,1.16,3.1,94.3,57.04,156.69,52.86,148.68,-17.68,2.37,114701593.0,211971928.0,229830938.0,7.27,88621021.0,47164890.0,2.9,5.82,0
9,(주)미래아이앤지,-132.13,-1644589,0,8.68,-65.61,9.84,0,0,-25.72,30.29,-5.37,-5.04,69.71,7.84,17.65,0.2,2.39,6.54,544.8,154.83,510.51,80.94,19.62,286.68,2877965.0,52119332.0,9828639.0,-44.27,1970098.0,13189476.0,-14.45,0.0,0
10,(주)바른손,1.58,-1791807,8.56,9.03,-64.19,-59.05,0,0,74.62,47.13,59.6,33.21,52.87,42.82,8.53,0.45,8.5,34.78,48.24,180.24,45.29,120.66,-11.24,11.89,10275008.0,29041271.0,16560068.0,-35.12,8571017.0,2881056.0,-21.24,7.17,0
11,(주)바이오니아,-6.74,-12049065,39.19,-11.35,-26.54,3.42,0,0,-68.99,51.99,-46.62,-21.41,48.01,1.84,2.8,0.31,1.1,135.87,93.82,333.98,65.29,148.5,-2.44,11.03,37594722.0,63709625.0,21703615.0,1.51,26085667.0,23071555.0,2.63,7.26,0
12,(주)바이오톡스텍,3.35,2202347,27.62,5.31,21.24,36.83,0,0,4.09,26.48,3.34,1.78,73.52,5.97,34.9,0.43,1.03,86.79,71.08,355.6,67.67,131.3,-12.09,44.29,22444931.0,48007296.0,22256692.0,8.08,19887225.0,16333571.0,8.86,3.58,1
13,(주)블루베리엔에프티,999999999,-1058903,0,-4.55,-14.28,-10.09,0,0,-8.28,12.21,-4.59,-4.35,87.79,3.93,3.13,0.52,3.34,6.13,1148.12,523.07,841.29,45.76,51.93,374.02,2437542.0,24929728.0,15334875.0,106.58,2241468.0,14897228.0,11.45,0.0,0
14,(주)비비안,336.61,-1968859,0,-7.69,-21.35,3.21,0,0,-0.98,60.58,-1.22,-1.08,39.42,7.43,4.5,1.1,4.82,14.08,433.43,1973.87,161.98,65.09,33.03,22.77,34257066.0,164439473.0,207495269.0,-19.43,29997887.0,89647835.0,-2.09,0.0,0
