,구분,이자보상배율2016,영업이익2016,차입금의존도2016,총자본증가율2016,유동자산증가율2016,매출액증가율2016,순이익증가율2016,영업이익증가율2016,매출액순이익률2016,매출액총이익률2016,자기자본순이익률2016,총자본순이익률2016,매출원가 대 매출액비율2016,매출채권회전률2016,재고자산회전률2016,총자본회전률2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,비유동비율2016,순운전자본비율2016,현금비율2016,부채2016,자산2016,매출액2016,부채/현금흐름2016,유동부채2016,유동자산2016,매출/현금흐름2016,차입금평균이자율2016,정상기업여부
0,(주)A.M.C,-4.04,-1349020,53.76,-9.61,-22.53,-2.78,0,0,-18.92,6.2,-26.98,-10.18,93.8,5.41,7.06,0.54,1.13,194.45,85.26,895.91,60.0,225.72,-4.04,14.14,12194398.0,18465772.0,10467691.0,-5.54,5055481.0,4310169.0,-6.45,3.29,0
1,(주)EG메탈,-3.18,-1089193,40.98,2.24,18.88,-39.84,0,0,-6.66,0.34,-9.79,-5.22,99.66,9.96,3.68,0.78,1.34,99.44,332.35,383.37,184.19,113.91,29.98,74.09,12978822.0,26030401.0,20169066.0,5.31,3358822.0,11163094.0,3.42,3.35,0
2,(주)HM금속,-2.07,-5887235,0,-17.04,-23.62,-11.64,0,0,-20.43,-10.34,0,-17.99,110.34,8.55,42.15,0.88,1.1,0.0,8.27,0.0,6.89,0.0,-149.27,0.03,68794189.0,41984395.0,40770277.0,-1.93,68316897.0,5647777.0,-3.26,12.9,0
3,(주)JBM,1.16,311374,47.86,-5.49,-16.64,2.94,0,0,0.59,11.13,7.04,0.65,88.87,16.25,6.08,1.1,2.17,803.02,82.32,151.46,37.61,596.31,-7.3,0.92,10946016.0,12309117.0,13966736.0,3.18,5079001.0,4180867.0,2.49,4.32,1
4,(주)KAL호텔네트워크,-0.33,-2648123,41.7,-4.02,0.7,4.17,0,0,-11.05,0,-4.05,-2.21,0,12.63,73.36,0.2,0.22,82.65,18.52,220.14,17.9,167.55,-36.36,2.89,233295361.0,515570942.0,105513433.0,6.26,230068194.0,42617747.0,13.85,3.65,0
5,(주)KH엘텍,-5.43,-1317961,40.92,23.37,136.43,12.32,0,0,-5.37,2.79,-52.69,-9.09,97.21,12.04,14,1.69,2.43,764.24,45.69,28.39,30.16,538.97,-44.74,5.22,15428995.0,17447861.0,26727886.0,5.99,14373268.0,6566730.0,3.46,3.49,0
6,(주)TS푸드앤시스템,-2.52,-489799,49.44,26.87,51.08,1.77,0,0,-2.5,23.64,-24.89,-4.98,76.36,21.3,20.66,1.99,3.98,513.08,67.94,55.68,49.65,406.18,-15.93,23.97,12186960.0,14562202.0,25901063.0,1.63,7233933.0,4914409.0,0.77,3.41,0
7,(주)가겐투안,-2.35,-94594,8.27,3.49,32.87,23.09,0,0,0.02,4.92,0.04,0.03,95.08,13.92,0,1.07,415.13,37.25,61.59,2397.35,61.59,119.32,-8.15,21.21,4465584.0,16452336.0,17387816.0,2.11,3490081.0,2149456.0,0.54,2.85,0
8,(주)가보관광산업,0.06,14136,68.02,-2.42,-11.05,-2.9,0,0,-16.13,0,-4.97,-1.52,0,60.6,28.4,0.09,0.09,231.24,0.78,1288.6,0.36,329.51,-66.87,0.05,8939264.0,12805069.0,1221271.0,0.75,8629823.0,66926.0,5.46,2.57,0
9,(주)가야,1.95,275916,48.37,1.81,11.39,9.24,0,452.8,-2.06,11.01,-9.29,-2.82,88.99,4.69,8.67,1.37,2.92,248.79,75.53,356.29,55.27,161.63,-17.38,12.26,7977815.0,11184412.0,15179398.0,4.19,7945676.0,6001733.0,2.2,2.61,1
