,구분,이자보상배율2017,영업이익2017,차입금의존도2017,총자본증가율2017,유동자산증가율2017,매출액증가율2017,순이익증가율2017,영업이익증가율2017,매출액순이익률2017,매출액총이익률2017,자기자본순이익률2017,총자본순이익률2017,매출원가 대 매출액비율2017,매출채권회전률2017,재고자산회전률2017,총자본회전률2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,비유동비율2017,순운전자본비율2017,현금비율2017,부채2017,자산2017,매출액2017,부채/현금흐름2017,유동부채2017,유동자산2017,매출/현금흐름2017,차입금평균이자율2017,정상기업여부
0,(주)가경디앤씨,999999999,-97003,136.88,0.26,0.27,0,0,0,0,0,0,-0.17,0,0,0,0,0.0,0.0,190.35,0.0,175.81,0.0,45.52,0.03,85804173.0,56471475.0,0.0,-0.02,28447177.0,54150363.0,0.0,0.0,0
1,(주)가담종합건설,2.64,1255263,82.23,-8.89,-9.22,141.07,2394.77,2500.99,2.63,8.38,59.94,3,91.62,179.85,1.4,1.14,813.06,1365.11,596.82,270.98,139.28,16.62,82.3,113.66,18496042.0,19850955.0,23738878.0,8.86,3288385.0,19625746.0,6.9,2.78,0
2,(주)가야포징,-3.41,-4145732,86.04,3.89,-1.82,-2.31,0,0,-55.61,-40.47,0,-17.36,140.47,9.83,4.55,0.31,0.36,22493.89,12.58,0.8,5.3,19977.76,-80.5,0.14,29171650.0,29301336.0,8973041.0,-4.47,26979436.0,3392780.0,-14.54,4.62,0
3,(주)가야호텔,-2.35,-442515,73.83,-1.64,40.25,47.67,0,0,39.75,0,53.68,10.15,0,84.45,39.48,0.26,0.27,383.22,43.12,129.48,35.83,462.29,-5.71,32.29,15630239.0,19708866.0,5076394.0,-2.98,1980234.0,853876.0,-9.16,1.25,0
4,(주)가원,999999999,-474730,0,-82.26,-82.53,0,0,0,0,0,521.31,18.02,0,0,0,0,0.0,141.7,168.23,1297.92,168.23,4.74,39.76,1.35,1839114.0,3137031.0,0.0,-157.56,1828197.0,3075534.0,0.0,0.0,1
5,(주)가이아로지스,1.14,432894,79.35,-4.19,-57.58,0.2,-57.74,-21.21,4.38,0,2.61,0.43,0,22,0,0.1,0.1,491.53,5.48,414.45,5.48,582.42,-26.57,0.0,10185751.0,12258001.0,1221434.0,3.67,3445584.0,188853.0,30.56,3.84,0
6,(주)강남선박,-4.38,-1343456,54.86,23.2,-19.8,-15.84,0,0,-19.14,-3.45,-117.07,-14.16,103.45,4.68,0,0.74,1.1,342.42,41.46,392.15,41.46,360.8,-26.05,4.29,7721134.0,9976025.0,6685467.0,-1.23,4438730.0,1840355.0,-1.43,5.1,1
7,(주)강원심층수,-0.34,-263383,90.95,-3.52,-3.66,23.77,0,0,-11.18,35.14,-104.55,-4.13,64.86,11.6,24.94,0.37,0.39,5108.13,7.51,1.7,5.05,4940.45,-63.27,0.24,24275767.0,24751005.0,9309927.0,2.23,16932075.0,1272103.0,5.82,3.41,0
8,(주)거금솔라파크,1.61,4043389,79.29,-3.09,15.53,13,506.02,51.88,17.68,52.73,15.26,2.57,47.27,13.66,0,0.15,0.17,443.22,111.6,225.75,111.6,457.35,1.64,88.84,46325709.0,56777834.0,8381679.0,8.47,8042784.0,8975530.0,46.84,5.35,0
9,(주)거제씨월드,0.23,215066,121.66,-0.72,57.28,20.16,0,0,45.67,0,0,12.85,0,41.66,49.58,0.28,1.24,0.0,22.83,0.0,21.9,0.0,-56.27,18.1,20236222.0,12997923.0,3669238.0,3.51,9478163.0,2163723.0,19.33,5.61,0
10,(주)건동주택,999999999,-132286,441.02,-90.5,-90.55,0,0,0,0,0,0,-74.42,0,0,0,0,0.0,0.0,15.31,0.0,15.09,0.0,-549.96,0.36,20958875.0,3213329.0,0.0,39.77,20865911.0,3193766.0,0.0,0.0,0
11,(주)건영산업,1.88,753600,77.22,29.63,-23.04,0.9,-42.57,-18.33,17.05,0,11.11,1.61,0,1.69,0,0.09,0.11,635.91,13.09,3328.35,13.09,652.89,-74.92,4.85,19460334.0,22520590.0,1888689.0,1.43,19413934.0,2540479.0,14.69,2.67,0
12,(주)건우해양,1.32,318888,71.15,0.3,23.7,-6.17,-20.08,-12.2,12.5,78.17,12.88,1.1,21.83,5.3,0,0.09,0.1,1156.08,16.5,93.95,16.5,1142.38,-45.8,0.02,7602849.0,8260491.0,726800.0,2.28,4530822.0,747741.0,23.81,4.13,0
13,(주)건황로지스틱스,999999999,-136,23.77,-96.01,-96.02,0,66699.27,0,0,0,0,55.93,0,0,0,0,0.0,0.0,40.59,0.0,40.59,0.0,-146.31,0.06,5932863.0,2357410.0,0.0,0.0,5805219.0,2356124.0,0.0,0.0,1
14,(주)검단아스콘,230.6,1517137,63.7,7.25,61.39,167.8,2508.87,1981.66,12.71,26.49,118.02,12.42,73.51,56.16,26.99,0.98,1.23,518.65,109.23,1806.58,97.1,468.39,2.05,85.97,9369814.0,11176398.0,10549256.0,18.29,2485072.0,2714556.0,16.25,0.08,1
15,(주)경기라이프,0.47,1117246,116.58,-7.92,-20.48,-11.23,0,-37.49,-24.38,22.17,0,-3.87,77.83,735.83,0,0.16,0.0,0.0,43.53,0.0,43.53,0.0,-8.72,0.0,40026787.0,31415218.0,5199748.0,2.27,4853930.0,2113085.0,17.48,6.39,0
16,(주)경남금속,1.44,2367311,71.65,2.1,3.91,38.91,0,409.17,1.32,3.76,9.64,2.14,96.24,8.84,5.89,1.62,3.33,317.01,111.96,235.51,48.7,207.1,5.38,4.5,41248465.0,54260316.0,86971789.0,-2.09,24394178.0,27312235.0,-0.99,4.16,0
17,(주)경덕디벨로퍼스,1.75,487699,82.88,0.1,96.93,-3.23,-1.58,17.92,31.45,0,14.27,1.83,0,0,0,0.06,0.06,628.44,3.89,555.23,3.89,719.67,-29.73,3.87,8723310.0,10111393.0,588000.0,2.62,3127933.0,121738.0,38.89,3.29,0
18,(주)경동라이프,1.04,1664980,81.41,-5.34,3.73,-2.63,25.94,-5.86,2.61,0,1.31,0.16,0,0,0,0.06,0.0,696.78,151.82,94.41,151.82,677.57,5.11,89.0,39642605.0,45332038.0,2848829.0,1.39,4467362.0,6782306.0,19.41,4.18,0
19,(주)경복,4.91,15257335,67.55,-11.53,-22.9,169.84,0,0,17.8,32.52,376.68,15.65,67.48,27.9,1.47,0.88,27.94,683.57,69.19,17994.14,4.01,311.0,-26.86,0.53,61501325.0,70498397.0,66036571.0,-10.0,61450739.0,42517345.0,-9.31,5.49,1
20,(주)경인이피에스,-2.78,-1069505,87.73,15.57,29.19,-32.2,0,0,-28.56,7.26,-190.43,-14.87,92.74,7.55,7.98,0.52,0.63,28593.8,54.44,5.01,36.61,23802.92,-14.26,2.93,12524944.0,12568747.0,6102967.0,14.02,3934946.0,2142354.0,28.77,4.0,0
21,(주)경주버드파크,1.23,567519,87.92,-21.07,21.08,-6.92,46.17,-15.89,6.14,0,10.39,1.59,0,13.23,0,0.26,0.54,1336.88,7.52,78.82,7.52,1382.56,-46.51,0.32,9482940.0,10192276.0,2998982.0,10.94,5125782.0,385288.0,34.61,4.98,0
22,(주)경주신라컨트리클럽,3.62,473642,83.9,-1.09,-21.12,4.13,-58.69,-25.36,1.31,84.86,1.6,0.19,15.14,106.62,73.9,0.14,0.15,735.48,45.56,4494.86,43.05,810.0,-3.64,35.69,92564496.0,105150103.0,15204878.0,1.23,7037585.0,3206456.0,7.47,0.15,0
23,(주)경주환경에너지,0.31,255730,69.34,-7.04,0.97,-8.51,0,-85.93,-6.26,5.95,-6.72,-1.53,94.05,0,0,0.24,159.41,337.07,198.97,93.2,198.97,327.55,12.46,7.62,25224150.0,32707533.0,8313035.0,11.56,4119171.0,8195946.0,35.07,3.45,1
24,(주)경진인터내셔날,3.56,1946491,97.72,-30.82,-30.83,1160.24,0,0,13.9,29.54,0,7.28,70.46,10.54,0.6,0.52,26232.07,0.0,70.33,0.0,11.19,0.0,-42.15,6.58,22562962.0,15709443.0,10060000.0,14.18,22320198.0,15698368.0,31.8,2.87,0
25,(주)경한인더스트리,-0.47,-634553,72.24,-0.87,1038.28,0,0,0,0,0,-29.52,-4.16,0,0,0,0,0.0,729.37,0.1,191.92,0.1,828.64,-87.85,0.0,41993791.0,47751313.0,0.0,-1.5,41993791.0,41923.0,0.0,3.92,0
26,(주)고려로지텍,0.37,49811,73.83,-4.46,-14.32,-5.65,0,0,-1.86,12.25,-6.19,-0.76,87.75,12.33,0,0.41,0.43,723.76,9.64,268.91,9.64,783.17,-46.19,4.61,9731459.0,11076027.0,4620370.0,2.25,5661945.0,545718.0,4.75,1.64,0
27,(주)고려티티알,-1.2,-488871,70.11,4.01,-21.55,-37.64,0,0,0.12,21.67,0.5,0.07,78.33,6.68,3.5,0.6,0.96,375.7,163.54,1790.42,66.22,329.31,11.96,4.6,13453375.0,17034211.0,10087545.0,4.94,3205395.0,5242214.0,6.59,3.16,0
28,(주)고원풍력발전,1.42,4064518,83.34,-6.49,-14.02,289.83,28.22,551,17.42,52.18,23.7,2.06,47.82,5.23,4.81,0.12,0.14,891.97,162.29,135.53,134.02,846.75,5.62,99.46,58897337.0,65500393.0,8032204.0,4.96,5908516.0,9588772.0,36.41,5.13,0
29,(주)고은힐즈,4.98,2644311,86.71,7.81,7.37,0,0,0,40.39,87.34,0,4.13,12.66,0,0.12,0.1,1205.56,0.0,91.93,0.0,12.57,0.0,-8.71,0.05,40896256.0,37861039.0,3730000.0,5.01,40846064.0,37548355.0,54.89,1.47,0
30,(주)고창솔라파크,1.43,8286538,105.08,-11.6,3.31,5.96,171.85,11.44,16.76,0,0,5.28,0,23.99,0,0.32,0.34,0.0,37.15,0.0,37.15,0.0,-11.09,16.64,52570137.0,44871404.0,15062198.0,14.1,7920158.0,2942001.0,49.23,11.38,0
31,(주)고향의봄,-0.62,-359246,114.76,31.77,286.84,0,0,0,0,0,0,-7.02,0,0,0,0,0.0,0.0,20.14,0.0,20.14,0.0,-92.2,0.01,17513067.0,15168272.0,0.0,-14.59,17511124.0,3526333.0,0.0,3.82,0
32,(주)골드마인홀딩스,0.65,205421,81,-0.78,37.18,-25.33,0,-49.73,-12.05,0,-18.89,-0.78,0,0,0,0.06,0.06,2570.41,0.36,51.44,0.36,2662.64,-81.15,0.2,13221785.0,13736169.0,890973.0,0.67,11187455.0,39959.0,9.88,2.6,0
33,(주)공감영어플러스,0.43,115734,76.12,5.99,412.65,-69.55,0,-83.64,-56.98,0,-50.72,-1.79,0,3.81,0,0.03,0.03,3804.15,21.56,444.83,21.56,3595.66,-28.74,16.38,8460973.0,8683387.0,265250.0,3.15,3182163.0,686142.0,100.54,3.97,0
34,(주)공진양행,5.34,691568,72.69,0.84,945.92,3.7,17.04,9.19,31.35,0,31.38,3.97,0,75.83,0,0.13,0.13,585.39,5.39,483.96,5.39,668.01,-44.48,4.99,9915595.0,11609446.0,1465349.0,7.62,5458245.0,294270.0,51.57,1.5,0
35,(주)과천웰스홀딩스,-0.37,-212267,117.23,-0.18,-0.22,0,0,0,0,0,0,-5.58,0,0,0,0,0.0,0.0,70.38,0.0,70.38,0.0,-34.73,0.0,14163366.0,12078381.0,0.0,-5.31,14163366.0,9968381.0,0.0,4.2,0
36,(주)광산,-2.87,-6827152,86.03,-15.52,-41.92,-44.04,0,0,-41.41,-11.84,0,-17.51,111.84,11.23,5.07,0.42,1.18,0.0,19.72,0.0,9.75,0.0,-46.52,1.25,52731994.0,50381521.0,23261773.0,-6.51,29194902.0,5757533.0,-14.76,5.43,0
37,(주)광일기공,1.14,1661253,69.5,0.38,1.92,0.08,-61.66,-25.6,0.37,8.51,1.64,0.42,91.49,46.48,17.49,1.14,1.41,275.36,34.92,188.66,19.72,316.87,-29.04,7.24,41299142.0,56297270.0,64071738.0,13.59,25123131.0,8772547.0,8.76,3.71,1
38,(주)광장비티엘교육,0.85,2346462,85.47,-5.5,2.1,1.73,0,-4.04,-10.44,0,-10.65,-0.7,0,0,0,0.07,0.0,1452.07,142.16,46.78,142.16,1354.99,3.77,0.27,57576427.0,61541560.0,4274948.0,6.39,5496952.0,7814241.0,86.02,5.1,0
