,구분,이자보상배율2002,영업이익2002,차입금의존도2002,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채2002,자산2002,매출액2002,부채/현금흐름2002,유동부채2002,유동자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
0,(주)그래디언트,-3.22,-2908872,17.8,-7.95,2.26,38.87,0,0,-9.56,12.71,-34.72,-20.29,87.29,25.26,132.34,2.12,24.11,101.78,148.58,168.41,142.05,105.84,15.55,68.54,30765854,60993774,135014276,7.85,19519327,29001704,1.79,8.57,0
1,(주)금양,-0.08,-409367,78.25,-46.86,-44.95,-11.09,0,0,-68.11,15.94,-208.86,-43.55,84.06,6.26,7.19,0.64,3,1762.65,50.14,17.06,34.51,1143.83,-38.37,2.72,50693726,53569714,49354128,-13.06,41228963,20673250,-13.42,11.19,0
2,(주)다우기술,-8.38,-3837647,2.79,-3.33,90.11,21.3,0,0,8.57,7.21,2.39,2.17,92.79,3.84,17.46,0.25,18.93,9.63,393.09,804.02,375.47,74.22,24.08,131.68,15492228,176296354,45320538,0.25,14486458,56944491,0.09,6.47,0
3,(주)리드코프,-0.53,-1101611,31.47,-9.18,-13.87,-6.19,0,0,-4.15,8.54,-10.74,-5.76,91.46,286.58,13.81,1.39,3.81,87.36,113.33,76.18,84.98,110.71,4.81,44.18,30799266,66053852,96352713,-1.51,23845496,27023367,-0.48,8.55,0
4,(주)모헨즈,-0.18,-127932,23.34,-12.32,-15.89,2.87,0,0,1.32,4.35,7.97,1.74,95.65,5.11,39.6,1.31,5.27,312.74,53.98,139.95,48.25,262.72,-30.99,2.55,18382812,24260745,34112903,-3.6,16336968,8818496,-1.94,10.2,0
5,(주)바른손이앤에이,-1.99,-2588930,63.14,-35.25,-46.56,20.17,0,0,-205.06,24.83,-224.48,-47.16,75.17,3.72,17.4,0.23,10.93,251.72,113.59,52.7,102.66,261.98,3.05,3.26,14522264,20291562,5937341,-31.7,4557464,5177028,-77.53,6.96,0
6,(주)보락,-2.97,-1932294,29.35,-12.18,-9.98,-1.28,0,0,-24.28,10.32,-24.77,-13.82,89.68,5.7,2.52,0.57,1.08,91.21,120.57,220.51,39.53,119.76,6.38,2.51,17699363,37104144,22591290,-2.09,11499587,13865133,-1.64,6.19,0
7,(주)상지카일룸,-4.29,-6132864,47.75,18.27,43.14,12.68,0,0,-45.86,-4.6,-173.33,-30.2,104.6,5.12,14.42,0.66,3.28,228.38,95,72.53,86.26,185.16,-2.3,2.04,16457229,23663402,14377306,-15.38,10863990,10320540,-17.61,9.89,0
8,(주)서한,-2.46,-19245200,0,-30.36,-36.25,-63.15,0,0,-20.85,-50.79,-24.84,-7.42,150.79,1.57,0.83,0.36,23.14,50.38,238.25,95.51,109.58,36.59,43.91,62.19,21392029,63852846,27697757,-3.86,20279847,48316008,-2.98,0,0
9,(주)세우글로벌,-3.94,-1686957,17.39,2.58,-3.75,9.3,0,0,-22.14,13.27,-71.57,-23.04,86.73,3.66,4.71,1.04,4.88,67.18,165.83,67.05,111.85,57.27,26.1,24.89,10629934,26452931,27173228,5.58,10487773,17391635,2.18,3.67,0
