,구분,이자보상배율2002,영업이익2002,차입금의존도2002,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채2002,자산2002,매출액2002,부채/현금흐름2002,유동부채2002,유동자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
0,(주)대명소노시즌,-7.16,-18360363,8.86,-34.05,-45.05,-19.98,0,0,21.85,-21.51,0,12.43,121.51,2.35,3.19,0.57,4.19,139.56,162.06,140.51,159.16,98.09,22.62,23.72,38013160,65250717,46676740,-16.89,23777561,38534653,-13.76,6.22,1
1,(주)대유플러스,-10.82,-11243731,18.47,-41.2,-37.79,-15.22,0,0,40.31,-5.33,0,45.84,105.33,7.6,13.03,1.14,1.69,80.51,198.46,408.48,150.45,121.21,16.3,28.86,24488754,54903991,84307679,15.01,9089328,18039058,4.36,2.24,1
2,(주)대호특수강,1.51,593932,0,16.66,80.75,-8.91,0,0,7.16,12.36,15.7,7.71,87.64,5,12.54,1.08,2.13,14.07,1292.46,122.26,985.21,54.79,47.95,370.32,2438228,19764485,19779363,-337.85,794731,10271542,-41.65,5.7,1
3,(주)동양,0.12,11709671,56.38,-45.4,-21.66,-58.97,0,-90.24,-5.83,11.17,-17.23,-2.15,88.83,4.19,13.94,0.37,1.04,821.94,52.56,66.84,50.03,643.95,-27.21,0.25,1010285281,1133199925,591107868,0.76,650084425,341692312,1.29,9.29,1
4,(주)바른손이앤에이,-1.99,-2588930,63.14,-35.25,-46.56,20.17,0,0,-205.06,24.83,-224.48,-47.16,75.17,3.72,17.4,0.23,10.93,251.72,113.59,52.7,102.66,261.98,3.05,3.26,14522264,20291562,5937341,-31.7,4557464,5177028,-77.53,6.96,1
5,(주)상지카일룸,-4.29,-6132864,47.75,18.27,43.14,12.68,0,0,-45.86,-4.6,-173.33,-30.2,104.6,5.12,14.42,0.66,3.28,228.38,95,72.53,86.26,185.16,-2.3,2.04,16457229,23663402,14377306,-15.38,10863990,10320540,-17.61,9.89,1
6,(주)세우글로벌,-3.94,-1686957,17.39,2.58,-3.75,9.3,0,0,-22.14,13.27,-71.57,-23.04,86.73,3.66,4.71,1.04,4.88,67.18,165.83,67.05,111.85,57.27,26.1,24.89,10629934,26452931,27173228,5.58,10487773,17391635,2.18,3.67,1
7,(주)수산중공업,0.4,1901989,71.44,-20.33,-21.07,15.17,0,0,82.84,22.18,0,78.8,77.82,3.85,4.76,0.95,7.67,1634.1,364.31,23.47,261.12,348.95,57.95,27.11,47009510,49886300,53510151,14.67,10937879,39847737,12.89,6.83,0
8,(주)쎌마테라퓨틱스,-149.05,-2168002,56.7,-29.6,-85.42,1981.43,0,0,17525.05,37.19,0,2357.53,62.81,71.39,0,0.13,1.75,564.72,5.49,1.93,5.49,640.43,-62.94,1.77,3411539,4015646,653756,-101.76,2674019,146741,-531.02,0.03,1
9,(주)한창,0.49,2886726,64.66,-51.57,-81.92,-11.98,0,0,-4,10.01,-44.09,-3.19,89.99,10.55,218,0.8,1.68,1271.41,37.71,8.45,36.65,1141.22,-27.73,0.57,54064137,58316428,71265121,-9.57,25957837,9788466,-7.26,8.83,1
10,(주)휴니드테크놀러지스,0.1,298905,37.68,-19.15,-2.95,15.76,0,0,59.41,8.7,0,40.16,91.3,8.16,3.88,0.68,1.96,97.42,285.32,151.97,253.44,89.05,35.66,105.08,43963498,89091296,67359654,-21.3,17141376,48906931,-13.9,3.43,1
11,LS일렉트릭(주),1.61,109844757,66.42,-23.08,-42.55,5.49,0,47.12,0.48,29,2.96,0.38,71,4.98,20.64,0.78,1.69,495.73,61.6,24.61,51.66,440.03,-16.29,4.75,790826042,950353508,850280028,13.1,403223673,248389941,12.19,8.59,1
12,아남전자(주),-3.69,-8981239,17.02,-31.29,-40.22,-1,0,0,16.58,9.34,0,22.74,90.66,5,8.16,1.37,6.9,54.69,268.52,219.46,188.94,53.53,41.04,34.25,45793974,129522468,218118835,46.31,31543557,84699626,9.72,2.89,1
13,에이치엘비(주),-16.68,-4408291,34.13,-8.72,4.92,-68.28,0,0,-49.29,-75.54,0,-9.34,175.54,2.77,3.96,0.19,0.22,81.64,38.14,51.09,30.39,153.99,-24.68,0.46,7374075,16406579,3257083,-58.94,6546708,2497088,-133.45,2.9,1
14,지더블유바이텍(주),-3.63,-6113612,211.46,-78.88,-73.33,-53.53,0,0,-832.89,-19.99,0,-112.86,119.99,2.72,0.74,0.14,1.68,0,17.45,0,6.39,0,-234.15,0.07,15109698,5308193,2062757,-22.02,15055944,2626759,-161.29,11.31,0
15,케이알모터스(주),0.19,1616372,62.52,2.65,17.03,-8.31,0,-69.1,73.24,13.8,0,65.76,86.2,3.9,8.27,0.9,2.22,1383.32,116.07,130.16,94.03,779.49,6.57,17.28,97010794,104023711,92185502,7.16,42523517,49358716,7.53,7.85,1
16,케이지케미칼(주),0.31,3631044,86.75,-3.79,-2.26,2.07,0,-62.66,-6.61,19.18,0,-7.24,80.82,4.22,6.15,1.09,3.16,0,463.71,0,308.88,0,45.3,13.71,124212432,117272188,130899099,0.73,14605517,67726850,0.7,11.63,0
17,코스모신소재(주),1.7,46907988,68.98,-9.69,12.21,-0.59,0,1.91,4.49,23,58.66,3.76,77,10.91,14.57,0.84,1.16,1033.96,106.27,37.89,79.3,858.01,1.44,37.81,310026854,340011384,300396404,12.27,77860391,82740878,12.66,10.7,1
