,구분,이자보상배율2009,영업이익2009,차입금의존도2009,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채2009,자산2009,매출액2009,부채/현금흐름2009,유동부채2009,유동자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)DB하이텍,-0.76,-130420429,58.57,-26.58,-17.64,-14.45,0,0,-15.3,12.78,-23.66,-6.1,87.22,7.61,3.89,0.4,0.58,288.09,101.58,332.97,49.91,303.43,0.34,11.83,1817278011,2448081636,1152892773,2.46,525687598,534019498,3.88,10.15,0
1,(주)ES큐브,10.3,937690,7.31,16.14,30.21,117.58,0,0,13.26,21.06,9.58,8.53,78.94,14.86,83.65,0.64,22.41,15.98,727.53,383.65,718.68,48.09,50.49,78.9,6504256,47208566,28257908,9.91,3798568,27635607,2.28,4.1,1
2,(주)경방,-1.07,-9593759,25.95,85.48,13.64,14.52,0,0,3.66,2.95,1.11,0.58,97.05,7.2,4.77,0.16,0.18,92.15,84.84,7270.52,64.13,175.4,-1.56,24.38,696753012,1452886942,177298137,0.9,149296677,126658040,3.55,3.41,0
3,(주)골드퍼시픽,999999999,-797315,0,-2.83,19.55,-18.41,0,0,1.87,26.77,0.76,0.69,73.23,5.8,5.26,0.37,16,7.37,1666.53,184.01,1551.14,25.82,71.4,851.91,1516561,22084290,8283127,27.7,1006550,16774451,5.07,0,1
4,(주)광명전기,1.58,1777403,20.5,-5.82,-12.38,7.8,0,246.97,0.47,10.73,0.5,0.31,89.27,4.26,6.51,0.64,2.02,58.52,138.07,279.61,106.34,84.85,12.81,47.73,30608038,82913729,55112389,5.37,27910341,38534433,2.98,6.75,1
5,(주)국동,1.58,2635426,59.52,-48.49,-48.08,-25.54,0,0,-20.25,18.96,-93.12,-26.56,81.04,5.47,9.56,1.31,24.6,344.77,100.26,58.79,79.95,100.15,0.2,1.7,40163496,51812824,99958317,8.94,40041098,40146038,3.59,4.74,1
6,(주)국보,1.1,2714627,37.77,-1.58,5.15,-7.97,0,51.2,0.51,9.28,2.31,0.69,90.72,4.84,165.18,1.35,4.45,231.35,68.38,419.73,67.04,193.44,-19.25,0.87,49876654,71435933,97001521,7.32,43479205,29730909,3.76,8.53,1
7,(주)기산텔레콤,-1.24,-1212787,23.39,14.74,24.77,-18.04,0,0,-14.67,23.7,-15.09,-9.44,76.3,4.04,2.64,0.64,36.63,74.75,164.9,530.91,96.74,64,24.94,22.38,28449915,66509251,40064047,-12.61,25562369,42152718,-8.96,6.89,0
8,(주)나노엔텍,6.4,1782350,10.94,62.14,48.57,105.94,0,0,107.59,37.08,51.29,39.39,62.92,5.38,6.27,0.37,1.6,28.04,283.31,396.86,253.2,68.07,30.3,39.7,9818161,44838777,13270192,8.01,7412652,21000621,5.92,5.69,1
9,(주)네오위즈홀딩스,4.28,8389667,19.9,22.66,-46.32,177.38,0,0,37.68,53.83,4.32,3.36,46.17,15.81,0,0.09,0.7,30.05,154.43,3905.49,154.43,113.63,4.45,23.39,54567740,236150803,19096308,2.72,19312868,29824395,7.79,4.5,1
10,(주)녹원씨엔아이,2.18,698036,24.61,9.65,8.57,-12.11,0,0,3.25,9.9,13.32,5.8,90.1,6.08,52.25,1.78,4.25,125.16,122.54,373.74,112.99,117.52,8.79,40.8,10376545,18667036,31829631,2.03,7282490,8923992,0.66,7.66,1
11,(주)뉴보텍,0.22,55320,29.85,-10.31,-13.57,0.03,-21.78,-25.36,2.29,27.64,5.64,2.74,72.36,4.37,8.88,1.2,3.64,88.7,151.94,163.42,117.45,79.17,19.84,31.84,13825506,29412969,37308007,-13.61,11236613,17072962,-5.04,3,0
12,(주)대명소노시즌,-0.2,-448515,20.18,-8.21,-17.03,113.06,0,0,-5.92,35.07,-0.81,-0.59,64.93,38.65,8.83,0.1,0.93,27.19,174.78,265.48,163.07,104.54,7.62,13.42,18392298,86034294,8950796,-16.43,8767118,15322924,-33.77,9.51,0
13,(주)대성엘텍,-0.16,-747312,54.71,18.17,50.01,13.71,0,0,-5.82,5.93,-41.14,-9.43,94.07,9.48,8.53,1.62,6.9,384.87,91.78,154.37,67.35,172.79,-5.76,8.46,96415383,121467046,181668932,-3.58,85179934,78180691,-1.9,7.21,0
14,(주)대창,3.77,41269441,51.98,20.79,44.89,-7.67,0,0,7.18,11.84,28.2,10.14,88.16,7.65,4.78,1.41,3.69,162.36,111.71,375.53,50.42,107.09,6.2,2.97,241787307,390708457,504614774,-7.39,206995498,231233531,-3.54,6.05,1
15,(주)동양,-0.09,-8828757,65.89,6.21,2.97,19.28,0,0,-12.3,11.16,-32.69,-5.92,88.84,3.75,19.41,0.48,2.12,501.22,33.87,56.63,30.12,444.17,-51.01,9.35,1217459665,1460360553,681971406,-9.56,1126375814,381467642,-17.07,10.65,0
16,(주)드래곤플라이,19,15929312,15.23,131.82,-22.38,292.75,0,0,-16.09,98.55,-11.53,-9.06,1.45,9.74,161.33,0.56,2.75,33.66,105.3,907.4,105.3,98.23,1.33,28.99,21502749,85378601,34405029,26.9,21493256,22632310,16.81,9.86,1
17,(주)디모아,999999999,-1261178,0,-37.71,-69.45,-96.94,0,0,-425.31,0,-46.04,-23.72,0,0.21,0.49,0.06,1.68,46.58,122.59,149.33,120.24,97.26,6.2,4.38,2236074,7036484,511139,-154.22,1931152,2367434,-674.65,0,1
18,(주)레드로버,-14.12,-634162,17.96,21.74,47.08,-0.9,0,0,-3.58,0,-11.97,-5.18,0,8.95,2937.58,1.45,37.32,169.73,244.9,120.46,244.9,46.45,48.98,62.26,7005753,11133411,14687885,-0.12,3763310,9216185,-0.06,4.49,0
19,(주)마니커,2.64,10843183,44.78,10.04,-4.91,25.28,587.48,4176.66,2.08,8.24,8.27,3.68,91.76,12.11,19.95,1.77,3.38,126.47,110.78,353.69,87.02,148.61,3.35,18.56,105074010,188157157,317769758,6.08,58392971,64687886,2.01,5.29,1
20,(주)메디프론디비티,1.1,515889,12.01,3.17,81.87,21.53,0,0,-11.62,16.21,-4.4,-3.84,83.79,9.23,17.59,0.33,718.75,15.1,128.37,276.61,109.06,96.19,3.63,55.08,4345956,33124390,10778058,-1.98,4240574,5443586,-0.8,12.47,1
21,(주)미래아이앤지,-5.54,-4277004,29.83,-7.45,10.95,-2.16,0,0,-10.06,10.11,-13.2,-6.83,89.89,6.51,3.37,0.68,1.73,84.69,128.19,148.02,79.6,87.86,11.53,43.38,12814245,27944750,19724864,-15.54,11429369,14651293,-10.09,10.01,0
22,(주)바른손,-5.89,-5094100,23.82,-9.52,-15.51,-24.16,0,0,-28.92,11.51,-26.42,-16.34,88.49,6.17,4.18,0.57,3.29,59.95,200.15,60.42,131.36,91.5,21.41,37.88,18933666,50515331,30047376,-5.87,10801154,21618136,-3.7,7.48,0
23,(주)바른손이앤에이,-1.4,-2302892,32.54,-9.31,20.65,43.93,0,0,-61.82,78.46,-63.11,-21.91,21.54,12.05,19.46,0.35,21.99,90.88,61.3,101.98,59.71,138.83,-17.22,2.98,13091699,27497124,10245730,-13.93,12233536,7498723,-17.79,11.27,0
24,(주)바이오니아,7.07,9327959,23.71,18.44,71.09,89.99,0,0,19.49,69.51,14.47,8.42,30.49,2.13,4.49,0.43,1.07,70.76,133.63,735.76,99.93,94.72,11.21,10.39,29546873,71301021,28388695,5.42,23760672,31751944,5.64,8.18,1
25,(주)버킷스튜디오,-1.78,-3123604,32.17,42.65,-20.25,43.14,0,0,-33.35,11.72,-48.31,-30.36,88.28,10.21,9.18,0.91,541.07,69.04,114.82,295.58,76.28,109.24,4.57,1.6,13003465,31837167,24651863,-20.85,9810034,11263896,-11,34.2,0
26,(주)브이티지엠피,1.15,4775914,53.56,16.52,1.34,-10.73,0,77.67,-10.65,25.64,-20.43,-6.88,74.36,3.93,1.62,0.65,2.17,188.43,111.48,104.05,42.49,117.53,6.1,1.99,60188467,92131249,55316303,-3.29,48966770,54588824,-3.58,9.24,1
27,(주)비보존헬스케어,-4.95,-4988831,11.93,31.65,50.56,-48.35,0,0,-60.52,-9.94,-48.22,-26.58,109.94,3.07,2.38,0.44,1.81,21.98,468.33,270.9,360.43,54.12,43.75,230.99,9772936,54241040,20956424,-56.75,6442982,30174621,-26.46,6.58,0
28,(주)비엔지티,0.8,412725,21.56,23.94,20.22,-48.72,0,0,-12.06,8.3,-28.92,-14.13,91.7,3.4,15.63,1.17,5.94,160.1,127.59,175.18,114.11,97.81,13.49,7.09,21962885,35680897,37766718,5.04,17448163,22262730,2.93,10.37,0
29,(주)비케이홀딩스,1.25,6119803,51.66,-14.22,-31.69,9.06,0,0,0.27,19.87,0.4,0.1,80.13,9.1,11.33,0.36,0.54,143.95,39.84,175.98,30.83,208.6,-21.88,3.83,65059179,110255350,42451859,10.18,40096164,15974150,15.61,5.97,1
30,(주)비트컴퓨터,-2.21,-1712432,31.09,24.92,-22.28,3.93,4473.42,0,17.19,13.85,22.06,12.33,86.15,2.46,122.29,0.72,1.66,80.66,231.2,294.88,228.86,126.25,17.09,23.1,19136965,42861163,27691270,-3.37,5583879,12909655,-2.33,7.47,0
31,(주)사조오양,2.58,6640890,52.95,28.89,9.98,1.21,0,0,2.51,10.81,11.82,3.02,89.19,23.45,5.68,1.2,2.77,221.25,97.59,132.93,53.42,156.44,-1.27,19.03,64113836,93091586,99369783,-20.41,48940340,47758773,-13.17,5.52,1
32,(주)삼일,0.81,1291373,26.71,-1.12,7.53,-26.23,0,-13.46,-0.86,11.45,-1.99,-0.84,88.55,6.95,127.98,0.98,1.32,138.19,34.04,188.38,32.67,194.22,-35.77,2.4,38263219,65952030,64935848,2.26,35768388,12174349,1.33,8,0
33,(주)삼표시멘트,-0.25,-3552945,43.3,6.42,-35.03,15.21,0,0,-155.62,18.66,-4.01,-2.32,81.34,5.59,30.35,0.01,1.51,78.02,2127.69,829.85,2118.21,161.83,8.67,854.59,135762914,309771416,4471705,-1.06,1324204,28174975,-32.23,11.57,0
34,(주)상상인,5.63,2468468,3.41,45.95,59.99,0.54,0,424.37,-17.2,20.68,-21.77,-14.74,79.32,4.73,8.28,0.86,18,19.13,390.13,130.27,343.7,46.66,45.24,108.16,7383515,45989025,33209392,-0.01,7170847,27975716,0,10.02,1
