,구분,이자보상배율2009,영업이익2009,차입금의존도2009,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채2009,자산2009,매출액2009,부채/현금흐름2009,유동부채2009,유동자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)KH엘텍,-8.38,-3729112,82.68,-42.39,92.71,3.92,0,0,-33.35,-28.88,0,-25.39,128.88,10.42,27.18,0.76,0.9,0,19.33,0,15.85,0,-87.53,0.82,12229743,8386022,8734156,-14.72,9099194,1759279,-20.61,5.21,0
1,(주)TSR,2.35,2317942,48.56,12.37,49.78,14.1,0,3873.98,4.3,18.59,10.75,3.6,81.41,4.94,7.74,0.84,2.05,206.23,84.07,446.56,65.88,159.02,-9.11,12.81,21181321,31452183,24883889,4.41,17983970,15119021,3.76,6.43,1
2,(주)TS푸드앤시스템,1.75,1017934,33.33,24.69,-8.25,22.92,0,0,0.96,22.23,9.27,1.77,77.77,7.53,18.71,1.85,5.01,238.26,71.22,149.7,56.4,199.2,-16.61,1.14,15216608,21603047,36056520,11.84,12470414,8881486,5,7.09,1
3,(주)가겐투안,0.09,12886,19.92,1.3,29.02,-23.59,0,0,5.68,8.05,3.76,2.77,91.95,13.4,0,0.49,233.43,34,32.84,2519.08,32.84,125.6,-12.82,12.73,3854150,15190029,7354036,-2.41,2898851,951963,-1.27,4.49,0
4,(주)가경디앤씨,-0.38,-1473764,122.39,-0.82,-0.95,0,0,0,0,0,0,-9.82,0,0,0,0,0,0,75.43,-4225.76,71.8,0,-30.27,0.09,67331163,54653896,0,-8.25,67331163,50789205,0,6,0
5,(주)가람우즈,-0.54,-1485827,130.54,11.36,11.39,0,0,0,0,0,0,-10.78,0,0,0,0,0,0,726.62,-4844.05,726.62,0,86.15,1.7,55680474,41148323,0,-7.16,5657158,41106162,0,5.58,0
6,(주)가야,1.56,584410,66.99,3.57,25.73,7.89,0,440.53,-8.05,13.28,-47.31,-9.18,86.72,5.31,11.42,1.14,1.82,586.48,59.01,163.75,41.62,422.5,-26.71,3.01,8643000,10116711,11350232,1.27,6592544,3890307,0.97,5.94,1
7,(주)가이드건설,-0.2,-285868,115.29,-7.03,-7.02,0,0,0,0,0,0,-5.94,0,0,0,0,0,0,7768.85,-1638.67,596.01,0,98.57,35.51,41582297,35846942,0,-2.96,460748,35794835,0,3.37,0
8,(주)감코명화,-7.38,-1393324,30.39,29.49,45.4,-12.23,0,0,-5.78,-3.97,-77.69,-7.23,103.97,6.61,2.54,1.25,4.78,1883.61,106.34,20.89,40.05,467.62,4.56,4.41,11255344,11852886,13140840,10.48,8518344,9058671,8.97,6.28,0
9,(주)강앤파트너스,104.65,1547496,0,-20,-19.7,523.67,0,0,18.12,22.55,20.23,15.63,77.45,3.41,1.71,0.86,11.9,4.49,19397.26,3274.91,15354.05,8.87,91.04,1606.39,492585,11463534,11121509,1090.03,54084,10490815,48.28,1.97,1
