,구분,이자보상배율1999,영업이익1999,차입금의존도1999,총자본증가율1999,유동자산증가율1999,매출액증가율1999,순이익증가율1999,영업이익증가율1999,매출액순이익률1999,매출액총이익률1999,자기자본순이익률1999,총자본순이익률1999,매출원가 대 매출액비율1999,매출채권회전률1999,재고자산회전률1999,총자본회전률1999,유형자산회전율1999,부채비율1999,유동비율1999,자기자본배율1999,당좌비율1999,비유동비율1999,순운전자본비율1999,현금비율1999,부채1999,자산1999,매출액1999,부채/현금흐름1999,유동부채1999,유동자산1999,매출/현금흐름1999,차입금평균이자율1999,정상기업여부
0,(주)SH에너지화학,0.29,3463523,79.13,-4.71,-13.06,-41.63,0,-62.81,-21.72,23.92,-90.76,-11.38,76.08,1.77,11.92,0.52,1.06,935.47,120.77,57.99,110.22,589.58,7.4,22.33,97656160,108095473,58015815,-2.36,38532007,46533392,-3.97,13.46,0
1,(주)남선알미늄,0.01,138594,87.88,1.97,13.19,21.01,0,0,-7.11,8.21,0,-5.37,91.79,6.7,6.67,0.75,1.11,0,97.05,0,56.64,0,-0.84,9.81,210566896,202812239,151542988,-1.72,57643256,55944582,-2.39,9.65,0
2,(주)서한,0.88,22534986,76.02,0,0,0,0,0,15.69,18.48,0,21.19,81.52,5.28,3.34,1.35,184.52,4600.84,370.6,68.43,187.1,865.03,59.58,39.9,220645975,225441756,152220067,0.99,49637972,183956784,1.44,29.91,0
3,(주)신원,0.36,20947224,54.04,-1.27,-45.48,-14.83,0,-22.4,-97.91,22.66,0,-94.19,77.34,4.77,6.92,0.96,3.19,505.42,171.25,40.65,121.41,362.18,16.72,1.39,359145362,430204074,416501163,-20.72,100931806,172844233,-17.86,11.32,1
4,(주)쎌마테라퓨틱스,-0.78,-10147802,985.77,-86.47,-85.06,-89.83,0,0,-7042.3,-830.25,0,-62.28,930.25,0.04,0.2,0.01,0.03,0,17.31,0,16.1,0,-222.89,5.45,115216140,9002971,333972,-5.96,24267161,4200111,-2056.59,13.45,0
5,(주)아난티,2.93,4774654,50.59,-6.46,-2.04,18.26,54.41,15.19,4.4,13.6,22.37,6.74,86.4,17.51,3.28,1.53,8.13,153.07,137.47,174.94,57.46,60.58,20.73,28.64,18743946,30989490,49132627,-7.66,17146133,23571232,-2.92,8.31,1
6,(주)아이에이치큐,-0.13,-85580,112.36,-15.75,-13.8,30.84,0,0,42.32,21.44,0,34.61,78.56,3.29,2.78,0.82,5.43,0,257.21,-47.85,157.37,0,39.86,23.73,39036646,27901323,24955411,-12.46,7074113,18195019,-19.49,1.33,0
7,(주)엘에스네트웍스,0.3,27001880,113.9,-3.99,26.51,-4.41,0,0,-29.95,34.25,0,-12.9,65.75,2.09,5.89,0.43,1.21,0,41.86,0,35.24,0,-57.79,4.38,715316737,425168426,186919485,2.11,422635203,176911235,8.08,17.24,0
8,남광토건(주),0.59,20212354,52.32,-14.79,0,33.7,0,0,3.84,12.98,0,3.18,87.02,2.4,5.34,0.83,35.87,2265.55,114.89,12.5,90.4,498.99,10.23,5.44,315284696,329201198,295942607,4.19,226091800,259759583,4.47,13.05,1
9,넥센타이어(주),3.48,15967814,22.62,6.62,-24.03,-12.95,26.73,-47.83,62.68,22.93,1007.89,50.96,77.07,7.86,10.34,0.81,1.48,69.7,176.62,256.25,127.44,125.64,11.26,24.9,94148351,229215725,180561810,28.86,33701475,59522100,15.05,2.71,1
10,대양제지공업(주),0.95,5154045,61.42,15.75,68.89,16.18,-79.8,-8.66,0.31,14.35,1.09,0.26,85.65,8,15.57,0.82,1.26,261.3,76.44,158.63,59.94,270.74,-7.73,2.19,55648178,76944785,58711494,11.27,25231302,19286591,10.68,11.48,1
11,대주산업(주),-0.34,-1290902,66.83,-4.63,-16.36,-45.68,0,0,7.05,22.62,38.09,4.74,77.38,2.99,15.9,0.67,1.14,483.25,469.47,175.16,401.29,409,23.51,28.6,36374816,43901884,30214185,-7,2793901,13116445,-8.43,11.77,1
12,동양철관(주),0.06,876118,142.72,-21.72,-18.42,-36.05,0,0,-13.8,8.79,0,-15.66,91.21,7.9,7.56,1.13,2.43,0,73.22,0,44.95,0,-14.45,3.78,166745304,90762247,117246269,-15.7,48994840,35875698,-22.34,11.67,0
13,무림피앤피(주),1.91,39159810,0.85,9.12,97.26,65.91,0,0,18.27,17.59,0,14.26,82.41,13.32,13.35,0.78,1.03,690.7,204.14,84.48,154.83,564.73,14.58,29.22,278325575,318621499,238279274,1.2,44605316,91058440,1.4,14.71,1
