,구분,이자보상배율2002,영업이익2002,차입금의존도2002,총자본증가율2002,유동자산증가율2002,매출액증가율2002,순이익증가율2002,영업이익증가율2002,매출액순이익률2002,매출액총이익률2002,자기자본순이익률2002,총자본순이익률2002,매출원가 대 매출액비율2002,매출채권회전률2002,재고자산회전률2002,총자본회전률2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,비유동비율2002,순운전자본비율2002,현금비율2002,부채2002,자산2002,매출액2002,부채/현금흐름2002,유동부채2002,유동자산2002,매출/현금흐름2002,차입금평균이자율2002,정상기업여부
0,(주)경방,1.09,6794609.0,17.74,-3.19,1.82,7.26,0.0,154.07,1.84,11.58,0.91,0.65,88.42,5.34,5.48,0.35,0.44,35.75,74.26,3767.99,41.61,115.7,-5.12,1.53,140110882.0,531981812.0,191323101.0,6.29,105818930.0,78582189.0,4.61,5.61,1
1,(주)골드앤에스,-10.07,-4685080.0,5.08,-19.65,5.93,3.82,0.0,0.0,-41.0,12.49,-51.8,-35.19,87.51,34.31,61.2,0.86,16.56,25.29,388.4,104.87,365.06,90.55,20.59,223.14,5501170.0,27254365.0,26246918.0,123.57,1945874.0,7557722.0,25.9,7.68,0
2,(주)국보,1.44,2362569.0,32.86,8.28,16.64,16.43,688.22,57.34,0.7,9.61,2.62,0.95,90.39,4.88,291.37,1.35,4.35,183.96,66.51,412.82,65.67,180.3,-18.38,3.74,39006909.0,60211361.0,78433900.0,-0.33,33049061.0,21980003.0,-0.16,8.72,1
3,(주)그래디언트,-3.22,-2908872.0,17.8,-7.95,2.26,38.87,0.0,0.0,-9.56,12.71,-34.72,-20.29,87.29,25.26,132.34,2.12,24.11,101.78,148.58,168.41,142.05,105.84,15.55,68.54,30765854.0,60993774.0,135014276.0,7.85,19519327.0,29001704.0,1.79,8.57,0
4,(주)금양,-0.08,-409367.0,78.25,-46.86,-44.95,-11.09,0.0,0.0,-68.11,15.94,-208.86,-43.55,84.06,6.26,7.19,0.64,3.0,1762.65,50.14,17.06,34.51,1143.83,-38.37,2.72,50693726.0,53569714.0,49354128.0,-13.06,41228963.0,20673250.0,-13.42,11.19,0
5,(주)남선알미늄,0.77,8707254.0,49.92,-36.77,-20.09,-11.33,0.0,-13.01,2.23,13.01,11.72,2.64,86.99,5.87,8.57,1.18,2.02,237.57,193.64,36.9,143.67,189.71,21.18,17.56,78422479.0,111432404.0,170287979.0,9.99,25206165.0,48809210.0,4.6,13.54,0
6,(주)녹십자,-0.11,-127405.0,34.33,-43.55,-45.45,-17.49,-84.09,0.0,10.45,33.6,12.42,4.69,66.4,3.08,6.9,0.45,1.65,119.74,312.88,140.65,264.12,89.8,40.23,22.0,40578469.0,74467032.0,46288907.0,-33.37,14074001.0,44034577.0,-29.26,4.37,0
7,(주)다우기술,-8.38,-3837647.0,2.79,-3.33,90.11,21.3,0.0,0.0,8.57,7.21,2.39,2.17,92.79,3.84,17.46,0.25,18.93,9.63,393.09,804.02,375.47,74.22,24.08,131.68,15492228.0,176296354.0,45320538.0,0.25,14486458.0,56944491.0,0.09,6.47,0
8,(주)대명소노시즌,-7.16,-18360363.0,8.86,-34.05,-45.05,-19.98,0.0,0.0,21.85,-21.51,0.0,12.43,121.51,2.35,3.19,0.57,4.19,139.56,162.06,140.51,159.16,98.09,22.62,23.72,38013160.0,65250717.0,46676740.0,-16.89,23777561.0,38534653.0,-13.76,6.22,0
9,(주)대유에이텍,-7.97,-4191376.0,50.98,-47.58,-79.74,-47.67,0.0,0.0,-173.82,-33.74,-579.42,-98.94,133.74,5.54,3.63,0.57,2.46,40990.72,52.75,0.56,18.76,26954.96,-30.81,1.56,7864069.0,7883254.0,6523774.0,-82.44,5140684.0,2711945.0,-99.38,10.37,0
10,(주)대유플러스,-10.82,-11243731.0,18.47,-41.2,-37.79,-15.22,0.0,0.0,40.31,-5.33,0.0,45.84,105.33,7.6,13.03,1.14,1.69,80.51,198.46,408.48,150.45,121.21,16.3,28.86,24488754.0,54903991.0,84307679.0,15.01,9089328.0,18039058.0,4.36,2.24,0
11,(주)대한항공,1.07,295151258.0,27.72,-3.92,-0.52,10.21,0.0,0.0,1.79,22.22,3.24,1.04,77.78,13.56,14.9,0.58,0.94,198.59,67.96,967.63,51.97,249.96,-7.68,4.31,6982039750.0,10497866855.0,6249700472.0,9.2,2515952823.0,1709718128.0,10.27,9.94,1
12,(주)더존비즈온,-0.84,-262481.0,12.39,-10.35,0.62,-6.44,0.0,0.0,-3.15,14.97,-4.63,-2.39,85.03,39.45,5.15,0.76,3.34,106.34,105.63,211.87,71.86,111.16,2.46,6.74,12065538.0,23411216.0,18826669.0,11.46,10223473.0,10799299.0,7.35,9.94,0
13,(주)동양,0.12,11709671.0,56.38,-45.4,-21.66,-58.97,0.0,-90.24,-5.83,11.17,-17.23,-2.15,88.83,4.19,13.94,0.37,1.04,821.94,52.56,66.84,50.03,643.95,-27.21,0.25,1010285281.0,1133199925.0,591107868.0,0.76,650084425.0,341692312.0,1.29,9.29,0
14,(주)두산,0.36,51304520.0,55.67,-10.45,-35.43,15.48,0.0,0.0,-11.95,35.17,-29.98,-7.75,64.83,6.48,7.75,0.65,1.44,311.35,54.14,542.19,31.58,333.07,-16.12,0.5,2269234124.0,2998074806.0,2059811596.0,3.1,1053823332.0,570503903.0,3.42,8.28,0
15,(주)드래곤플라이,-12.22,-4850518.0,26.26,2.3,83.65,13.73,0.0,0.0,-41.59,-14.16,-27.33,-20.99,114.16,4.33,5.58,0.5,0.81,51.29,245.64,101.13,172.11,92.85,22.9,33.98,9454511.0,27889229.0,13913433.0,-80.73,4385705.0,10773069.0,-54.86,9.54,0
16,(주)디모아,-3.96,-589583.0,22.48,-4.61,-10.25,-4.81,0.0,0.0,-3.11,27.5,-8.98,-4.08,72.5,3.62,7.04,1.31,6.53,122.94,142.17,219.46,102.9,83.68,18.53,17.42,5396010.0,9785136.0,13128414.0,4.41,4299360.0,6112420.0,1.81,7.95,0
17,(주)디지틀조선일보,0.4,1290154.0,39.87,-11.13,0.46,-12.69,0.0,-50.08,-8.84,14.07,-8.08,-3.34,85.93,1.28,599.62,0.38,1.36,136.87,111.97,230.78,111.68,135.98,4.55,12.57,45316607.0,78426377.0,31498210.0,10.37,29832483.0,33402199.0,14.92,10.41,0
18,(주)리드코프,-0.53,-1101611.0,31.47,-9.18,-13.87,-6.19,0.0,0.0,-4.15,8.54,-10.74,-5.76,91.46,286.58,13.81,1.39,3.81,87.36,113.33,76.18,84.98,110.71,4.81,44.18,30799266.0,66053852.0,96352713.0,-1.51,23845496.0,27023367.0,-0.48,8.55,0
19,(주)모나리자,76.56,4172134.0,0.2,-27.27,-46.45,-9.97,-79.76,588.81,9.26,28.73,17.28,10.82,71.27,7.99,11.6,1.17,2.6,29.43,221.41,160.05,165.66,73.77,23.58,68.93,8896439.0,39122512.0,54313035.0,55.25,7598519.0,16823908.0,9.05,0.64,1
20,(주)모베이스전자,2.02,4421601.0,33.41,13.01,31.82,33.46,248.2,184.75,2.27,9.0,11.41,3.65,91.0,11.81,17.26,1.61,3.2,223.91,58.34,419.5,42.39,218.8,-23.17,2.04,71245121.0,103064225.0,156257825.0,5.82,57325472.0,33443822.0,2.65,6.34,1
21,(주)모헨즈,-0.18,-127932.0,23.34,-12.32,-15.89,2.87,0.0,0.0,1.32,4.35,7.97,1.74,95.65,5.11,39.6,1.31,5.27,312.74,53.98,139.95,48.25,262.72,-30.99,2.55,18382812.0,24260745.0,34112903.0,-3.6,16336968.0,8818496.0,-1.94,10.2,0
22,(주)바른손,-5.82,-5586054.0,19.78,-30.91,-33.55,1.63,0.0,0.0,-136.44,14.77,-114.27,-74.88,85.23,3.89,4.09,0.55,3.29,48.33,296.25,132.13,206.27,101.51,20.91,46.65,12166581.0,37338854.0,25076317.0,-26.39,3978405.0,11785836.0,-12.8,9.39,0
23,(주)바른손이앤에이,-1.99,-2588930.0,63.14,-35.25,-46.56,20.17,0.0,0.0,-205.06,24.83,-224.48,-47.16,75.17,3.72,17.4,0.23,10.93,251.72,113.59,52.7,102.66,261.98,3.05,3.26,14522264.0,20291562.0,5937341.0,-31.7,4557464.0,5177028.0,-77.53,6.96,0
24,(주)백산,2.24,4913077.0,36.55,9.37,15.09,5.81,0.0,2308.9,-0.32,13.75,-0.4,-0.23,86.25,2.04,9.11,0.72,4.55,84.09,160.84,456.89,143.53,55.51,26.42,5.21,53786555.0,117751375.0,81351589.0,-9.56,51133420.0,82241927.0,-6.32,5.65,1
25,(주)보락,-2.97,-1932294.0,29.35,-12.18,-9.98,-1.28,0.0,0.0,-24.28,10.32,-24.77,-13.82,89.68,5.7,2.52,0.57,1.08,91.21,120.57,220.51,39.53,119.76,6.38,2.51,17699363.0,37104144.0,22591290.0,-2.09,11499587.0,13865133.0,-1.64,6.19,0
26,(주)사조대림,1.03,17989856.0,53.41,1.68,3.91,7.46,0.0,507.02,0.55,16.09,3.45,0.74,83.91,4.74,9.79,1.34,6.44,357.55,98.86,640.2,79.58,150.68,-0.77,2.2,189256043.0,242187546.0,322695915.0,2.18,164301174.0,162428045.0,1.28,13.29,1
27,(주)사조오양,1.06,2477198.0,37.84,-4.59,0.29,18.23,0.0,0.0,1.15,13.16,3.13,1.17,86.84,7.07,4.77,1.02,2.31,157.41,79.75,337.03,39.09,149.71,-10.62,0.37,75863404.0,124058584.0,129368899.0,1.56,65086588.0,51905784.0,0.91,4.61,1
28,(주)삼보판지,2.72,3725330.0,26.28,1.01,-4.14,3.6,0.0,0.0,5.55,18.38,6.09,3.53,81.62,3.85,13.3,0.64,1.05,68.12,99.98,944.42,87.07,106.15,-0.01,42.47,45036979.0,111146353.0,70348193.0,15.21,40980215.0,40971793.0,9.74,4.29,1
29,(주)삼익악기,-1.86,-11839593.0,28.24,-21.92,-17.71,15.67,0.0,0.0,53.77,4.81,0.0,35.91,95.19,6.15,3.79,0.67,1.35,107.19,196.03,340.5,110.68,121.07,20.36,21.34,123512175.0,238738530.0,181835951.0,3.13,50619580.0,99228632.0,2.13,10.21,0
30,(주)삼진,1.01,1362657.0,49.86,-5.44,10.63,25.97,0.0,157.11,0.96,9.85,3.6,1.23,90.15,9.21,13.34,1.29,3.03,186.97,58.05,513.38,42.83,195.55,-23.02,0.27,28796570.0,44197976.0,58519044.0,8.34,24254072.0,14079841.0,4.1,6.41,1
31,(주)상지카일룸,-4.29,-6132864.0,47.75,18.27,43.14,12.68,0.0,0.0,-45.86,-4.6,-173.33,-30.2,104.6,5.12,14.42,0.66,3.28,228.38,95.0,72.53,86.26,185.16,-2.3,2.04,16457229.0,23663402.0,14377306.0,-15.38,10863990.0,10320540.0,-17.61,9.89,0
32,(주)서부티엔디,0.67,3014314.0,27.57,-18.52,-85.61,9.11,0.0,171.6,-9.79,45.61,-2.26,-1.26,54.39,85.51,104.71,0.13,0.19,63.7,18.64,1102.34,17.81,158.25,-14.54,13.16,50244120.0,129116463.0,18485383.0,19.68,23074777.0,4300870.0,53.49,10.74,0
33,(주)서한,-2.46,-19245200.0,0.0,-30.36,-36.25,-63.15,0.0,0.0,-20.85,-50.79,-24.84,-7.42,150.79,1.57,0.83,0.36,23.14,50.38,238.25,95.51,109.58,36.59,43.91,62.19,21392029.0,63852846.0,27697757.0,-3.86,20279847.0,48316008.0,-2.98,0.0,0
34,(주)선앤엘,0.5,1459233.0,20.16,-2.99,5.22,24.04,0.0,0.0,0.5,10.92,0.54,0.33,89.08,5.09,8.49,0.65,0.99,64.23,126.03,1624.04,91.24,117.27,5.91,19.06,104318414.0,266722571.0,175581944.0,7.84,60520517.0,76274600.0,4.66,5.17,0
35,(주)세아베스틸지주,0.19,16433459.0,52.63,-1.99,16.46,25.14,0.0,83.44,-11.7,7.48,-23.17,-5.78,92.52,7.15,5.37,0.49,0.69,342.56,252.78,139.6,150.81,331.56,15.16,27.48,890496583.0,1150448901.0,574131440.0,7.8,114144767.0,288538119.0,12.09,14.04,0
36,(주)세우글로벌,-3.94,-1686957.0,17.39,2.58,-3.75,9.3,0.0,0.0,-22.14,13.27,-71.57,-23.04,86.73,3.66,4.71,1.04,4.88,67.18,165.83,67.05,111.85,57.27,26.1,24.89,10629934.0,26452931.0,27173228.0,5.58,10487773.0,17391635.0,2.18,3.67,0
37,(주)소프트센,-17.31,-3992691.0,21.84,25.23,36.35,18.32,0.0,0.0,-8.88,1.08,-11.76,-8.29,98.92,6.27,5.28,0.93,7.63,64.86,232.81,179.56,148.01,55.72,37.77,46.46,27469161.0,69818655.0,58600850.0,-23.23,19852788.0,46220104.0,-10.89,2.71,0
38,(주)솔본,999999999.0,-25647933.0,0.0,-20.3,0.79,-47.03,0.0,0.0,-243.04,2.93,-19.83,-19.05,97.07,2.77,31.86,0.08,2.05,4.86,1775.1,1220.11,1765.68,18.53,77.69,809.05,10747065.0,231720026.0,20474921.0,-56.86,10747065.0,190771025.0,-29.85,0.0,1
39,(주)수산중공업,0.4,1901989.0,71.44,-20.33,-21.07,15.17,0.0,0.0,82.84,22.18,0.0,78.8,77.82,3.85,4.76,0.95,7.67,1634.1,364.31,23.47,261.12,348.95,57.95,27.11,47009510.0,49886300.0,53510151.0,14.67,10937879.0,39847737.0,12.89,6.83,0
40,(주)스페코,-0.33,-798906.0,49.86,-11.14,12.16,57.48,888.93,0.0,7.73,12.83,14.03,5.64,87.17,3.25,14.22,0.73,9.15,345.07,101.53,208.07,91.5,206.09,0.81,1.14,54280147.0,70010350.0,54265616.0,1.21,37026183.0,37592249.0,1.21,8.26,0
41,(주)신성이엔지,1.38,4877337.0,29.96,10.81,56.46,-2.29,0.0,0.0,3.1,22.13,4.64,2.18,77.87,3.2,28.2,0.7,1.68,85.35,128.79,396.23,124.89,104.38,9.77,2.51,58103781.0,126180071.0,84599441.0,-3.54,42799658.0,55122490.0,-2.43,8.24,1
42,(주)쎄니트,0.83,1098687.0,48.65,1.56,19.92,12.73,0.0,0.0,-0.19,8.3,-0.56,-0.21,91.7,5.53,8.09,1.09,2.0,120.85,166.08,130.38,114.59,119.06,18.34,8.81,18277892.0,33402470.0,36246453.0,7.9,9269620.0,15395147.0,3.99,7.07,0
43,(주)쎌마테라퓨틱스,-149.05,-2168002.0,56.7,-29.6,-85.42,1981.43,0.0,0.0,17525.05,37.19,0.0,2357.53,62.81,71.39,0.0,0.13,1.75,564.72,5.49,1.93,5.49,640.43,-62.94,1.77,3411539.0,4015646.0,653756.0,-101.76,2674019.0,146741.0,-531.02,0.03,0
44,(주)아센디오,-4.26,-4747714.0,31.01,-39.46,-39.34,-20.63,0.0,0.0,-37.53,-6.23,-130.39,-21.11,106.23,2.06,6.04,0.56,1.56,1176.58,86.93,4.41,67.66,731.9,-6.42,10.17,10573542.0,11472209.0,8555873.0,-49.03,5631049.0,4894885.0,-60.6,30.94,0
45,(주)아이에이치큐,999999999.0,-1384078.0,0.0,-22.49,0.85,-26.5,0.0,0.0,-9.4,21.78,-20.07,-12.89,78.22,9.53,3.69,1.37,11.14,50.11,235.83,65.29,95.46,39.0,42.63,16.54,4979146.0,14915730.0,23414998.0,-35.08,4681568.0,11040379.0,-7.46,0.0,1
46,(주)아이즈비전,-0.93,-3034014.0,38.52,-21.55,-23.22,36.77,0.0,0.0,-7.45,31.15,-36.18,-7.51,68.85,28.25,43.06,1.01,2.94,462.41,51.8,180.51,46.23,445.5,-19.34,23.72,47519164.0,57795688.0,66210342.0,1.04,23192286.0,12013543.0,0.74,11.42,0
47,(주)에스엠벡셀,0.19,203552.0,28.22,0.47,-15.29,-7.48,0.0,0.0,-3.53,6.28,-10.81,-4.23,93.72,10.39,20.28,1.2,2.21,172.87,61.93,117.43,51.8,193.86,-17.8,10.44,28128230.0,44399781.0,53110018.0,22.06,20758011.0,12855641.0,11.68,8.52,0
48,(주)에스지글로벌,-1.08,-19618929.0,64.88,-18.09,0.0,-19.8,0.0,0.0,-36.64,-0.58,-60.21,-18.13,100.58,5.22,5.77,0.49,0.68,299.34,80.7,129.86,50.6,302.34,-5.81,15.74,216908456.0,289370121.0,158968485.0,-5.95,87106433.0,70292458.0,-8.12,9.5,0
49,(주)엔아이스틸,13.28,2523450.0,13.23,19.52,59.99,73.4,-81.14,0.0,7.58,13.79,13.12,9.95,86.21,5.57,6.86,1.31,2.73,37.49,214.43,146.49,118.3,62.4,29.15,0.69,7805893.0,28626958.0,34512814.0,-18.89,7291609.0,15635459.0,-4.27,6.53,1
50,(주)윌비스,1.53,4768525.0,8.82,-24.48,-54.07,9.96,0.0,131.75,-4.19,9.82,-5.75,-3.94,90.18,36.06,29.63,0.94,4.14,36.89,148.77,261.5,108.3,117.37,4.67,34.98,60427907.0,224245844.0,245138426.0,1.2,21494044.0,31976110.0,0.29,9.18,1
51,(주)유니켐,0.64,273476.0,26.14,-4.14,-0.08,63.38,0.0,0.0,0.5,7.0,0.91,0.58,93.0,38.72,3.41,1.16,4.27,55.33,166.36,62.91,51.43,66.16,22.9,7.56,8053970.0,22611371.0,26682762.0,-33.5,7802174.0,12979961.0,-10.11,6.85,0
52,(주)유니크,0.26,1108188.0,41.07,6.7,19.65,3.13,0.0,0.0,0.33,10.71,0.0,0.51,89.29,8.47,21.78,1.53,3.25,215.42,123.82,46.71,98.22,193.1,7.46,2.24,31312455.0,45847902.0,68133212.0,-9.83,14359483.0,17779882.0,-4.52,18.17,0
53,(주)유비케어,-8.69,-7288669.0,13.04,-56.29,-72.35,20.17,0.0,0.0,-72.96,45.86,-112.53,-42.62,54.14,4.79,50.84,0.58,31.6,194.92,53.99,50.72,51.7,198.94,-27.74,5.21,10134920.0,15334322.0,14723910.0,-40.79,9244095.0,4990702.0,-28.08,8.38,0
54,(주)인스코비,-14.75,-3071435.0,13.56,-16.13,7.13,-32.08,0.0,0.0,-95.5,20.31,-30.8,-19.9,79.69,1.6,3.21,0.21,1.64,68.72,144.47,149.56,129.87,75.39,17.03,8.47,13346100.0,32766410.0,7485682.0,-43.97,12546624.0,18125687.0,-78.39,5.63,0
55,(주)일신석재,1.65,5552085.0,9.78,6.69,24.0,21.3,1073.36,112.26,9.28,22.53,14.86,6.75,77.47,7.03,3.86,0.73,1.94,111.4,837.34,138.28,546.09,88.21,51.31,74.84,36417174.0,69108672.0,48731433.0,8.94,4809247.0,40269960.0,6.68,99.61,1
56,(주)지에스글로벌,1.14,14864088.0,26.74,13.41,-1.73,-16.58,0.0,0.0,8.68,2.9,0.0,35.57,97.1,17.93,122.31,4.1,25.68,966.82,72.77,21.17,68.69,513.0,-19.42,7.13,331001039.0,365237095.0,1409185102.0,1.62,260540923.0,189604770.0,0.38,9.05,1
57,(주)케이엠더블유,0.83,2837558.0,59.36,-22.55,-8.33,-14.18,0.0,0.0,-22.85,29.57,-43.82,-17.24,70.43,5.91,7.99,0.75,1.57,196.61,75.7,385.05,57.7,189.44,-11.6,1.45,57669288.0,87000451.0,75204090.0,14.82,41528357.0,31435062.0,11.37,6.47,0
58,(주)케이티알파,-728.11,-12286064.0,0.0,-10.72,-1.79,-41.14,0.0,0.0,-38.57,-10.17,-7.17,-6.58,110.17,2.35,68.68,0.17,0.94,6.61,1195.9,608.89,1194.66,30.9,65.07,73.24,13881294.0,223946699.0,40499267.0,50.36,13297819.0,159029226.0,17.26,2.81,0
59,(주)코센,0.21,201844.0,27.13,-29.25,-49.02,2.99,0.0,0.0,2.53,6.95,5.79,2.17,93.05,7.17,6.97,0.86,2.35,93.19,82.9,110.93,46.79,126.58,-7.11,0.15,14923642.0,30936994.0,32070138.0,9.22,12866213.0,10666639.0,4.29,5.74,0
60,(주)키다리스튜디오,-0.35,-702021.0,55.64,-36.19,-24.98,-17.1,0.0,0.0,-3.24,9.71,0.0,-3.41,90.29,3.6,8.79,1.05,5.6,675.6,70.83,57.72,53.71,304.38,-25.02,0.78,22550540.0,25888400.0,35001070.0,-9.19,22205119.0,15728464.0,-5.92,9.68,0
