구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실),영업이익(손실),자본금(*),자본금(*),차입금의존도,차입금의존도
,년도,2007,2008,2007,2008,2007,2008,2007,2008
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount
(유)짐머바이오메트코리아,018711,286057.3,65265.31,9439891,5286490,540000,540000,0,0
(유)케이원에너지,047069,0.67,0.81,373675,657858,600000,1200000,46.33,45.1
(유)포리코리아,038721,1.31,0.14,568102,71048,880000,880000,63.75,44.05
(유)프라이그파이스트,046117,-2.11,,-131247,,222500,,10.62,
(주)주영아이엔씨,041242,0.15,0.18,227847,297611,250000,250000,63.71,69.7
(주)주원,044228,4.17,4.73,3893898,5106788,3700000,3700000,47.07,54.58
(주)주피터인터내셔널,052960,999999999,804.04,1911324,2133934,300000,300000,0,6.37
(주)죽전건설,043138,-1.02,-0.53,-1150804,-608384,905000,905000,87.33,84.47
(주)준건설,047434,0.83,2.1,231713,1111627,800000,800000,18.63,14.49
(주)준흥디엔씨,042256,-0.29,-2.28,-556481,-4268510,300000,300000,44.76,27.67
(주)중동파크타운,056460,,999999999,,-347895,,6200000,,76.35
(주)중부농축산물류센터,018921,999999999,999999999,-113714,-469886,11000000,11000000,0,0
(주)중부제일물류,041572,0.93,0.93,639841,756427,1000000,1000000,86.46,87.51
(주)중부화물터미널,039254,0.97,0.45,273392,218845,2850000,2850000,56.1,36.44
(주)중산도시개발,047144,-8.56,-6.5,-2020892,-1456786,300000,300000,81.81,77.51
(주)중소기업유통센터,018925,0.13,1.97,138370,819665,108643220,108643220,5.96,5.09
(주)중아트그룹,053249,3.82,1.87,2334739,1511928,1000000,1000000,78.33,80.44
(주)중앙CMI,046769,1.14,0.94,236229,220029,975000,975000,43.09,29.18
(주)중앙감정평가법인,045446,43.53,27.4,1671084,873766,4100050,4100050,6.76,5.93
(주)중앙교육진흥연구소,026550,-0.73,-2.92,-720545,-3586114,4973040,4973040,41.67,48.67
(주)중앙금속,048819,7.18,4.76,2117483,3485459,200000,200000,12.79,21.87
(주)중앙레포츠,041904,1.51,1.85,377833,547929,100000,100000,43.25,80.48
(주)중앙리빙샤시,045438,1.33,0.56,485671,223364,1910000,1910000,54.62,48.3
(주)중앙산업개발,046381,-0.43,,-90323,,1000000,,33.86,
(주)중앙안전유리,056350,,6.66,,2129912,,1000000,,50.43
(주)중앙오션,056946,,1.55,,3390061,,5100000,,78.32
(주)중앙유엠에스,021328,,4.43,,98229,,100000,,0
(주)중앙정공,018945,2.93,-2.23,1238375,-943838,2300000,2300000,47.29,48.41
(주)중앙제공,018509,-0.35,0.94,-512980,2692697,1000000,1000000,97.92,115.73
(주)중앙타프라,018953,0.09,1.21,38287,548800,1927000,2127000,68.6,59.84
(주)중앙티앤씨,056515,,1.13,,2024790,,2400000,,68.84
