구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013,2010,2011,2012,2013
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)에스아이지,058564,118847156,147457412,148558744,154751632,23379642,23593328,23163043,21567170,23379642,23610038,23163043,21567170,95467513,123847374,125395701,133184462,959031,2215681,1334317,109545,901638,2153650,1284284,45307,0,0,0,0,0,0,0,0,0,0,0,0,9600876,5979883,7035692,21421090,12700495,9000000,16000000,0,117888125,145241731,147224427,154642087,923648,8007699,0,0,2834317,8865349,4737308,0,0,16710,0,0,415746,767396,520790,2754314,27782392,31518265,12003938,6353185,24948075,22652916,7266630,6353185,24532329,21885520,6745840,3598871,25385353,23191210,7107075,5743897,4600876,-3620992,1055808,14385398,0,0,0,0,0,0,0,0,0,0,0,0
(유)유맥에프앤알,014534,21451421,22164096,28254224,30347867,699924,1008427,1737822,3029898,2613531,3014896,3461853,4936798,18837891,19149200,24792371,25411070,14527434,14397323,18968730,19314344,13534902,7279662,6238320,6499934,0,5634610,8664610,8634610,11276610,5000000,4000000,4000000,0,0,0,0,333001,590306,1170433,2565063,0,0,0,0,6923988,7766773,9285495,11033523,268628,329654,405949,352497,24371845,23799743,21949832,19836433,1913607,2006470,1724031,1906899,5935046,6652259,6442416,5984990,30570686,30746668,29470362,27286095,6198841,6946925,7520529,7449662,263795,294666,1078114,1464673,369754,842785,1518722,1748028,-38080,257305,580127,1394630,349664,109416,222557,176881,3.02,1,1.91,1.4,17940000,18249056,24767808,25339510
(주)에스디비즈,061648,45621262,46475579,47455307,58632083,1903010,1906550,1753686,12917559,1918770,1906550,1753686,12917559,43702493,44569029,45701621,45714525,43024387,45755245,48047611,51413017,27015521,11750617,14042287,18285184,16000000,34000000,34000000,33100000,0,4500000,5529323,6093315,0,0,0,0,1102540,748526,293501,3167749,0,0,0,0,2596876,720334,-592304,7219067,805810,1107790,1405735,9796093,4159740,5481079,7041773,94121975,15760,0,0,0,3074072,4776629,6325821,10211429,7937501,10612620,14632975,108516623,3777761,5131541,7591202,14394648,703689,354911,1265381,4183219,585806,-1876541,-1297467,7811370,-933008,-354014,-455025,2874249,31671,2690008,2598720,2603192,0.4,9.87,6.66,6.61,19299,9109,4824,251
(주)에스디산업개발,050555,81791376,81612969,82956934,82675385,8012693,7419693,7546115,7264565,81769376,81590969,82934934,82653385,22000,22000,22000,22000,95342176,99207750,108840512,114652301,88325921,68183849,106709942,112515060,7000000,31000000,2100000,2100000,14791307,12516067,10100067,48016067,0,0,0,0,916,1487,1184,1011,0,0,0,0,-13550799,-17594781,-25883578,-31976916,0,0,0,0,0,0,0,0,73756683,74171276,75388820,75388820,362762,381248,449655,513295,0,0,0,0,0,0,0,0,-362762,-381248,-449655,-513295,-4036843,-4043981,-8288797,-6093338,-671,572,-304,-173,3670715,3663410,7838350,5410652,7.51,7.09,15.57,10.79,0,0,0,0
(주)에스디상사,067338,,,11523951,11783788,,,1583895,1578500,,,5382361,5637400,,,6141589,6146388,,,7758541,7585057,,,1078541,3520057,,,6680000,4065000,,,84938,2840000,,,0,0,,,139425,293371,,,552987,410000,,,3765409,4198731,,,811058,862896,,,4285785,4586949,,,3798466,4058900,,,1641598,1916324,,,6380641,7308767,,,2094856,2721819,,,453258,805494,,,204704,433322,,,0,153946,,,303434,322719,,,8.97,4.72,,,6049151,5858076
(주)에스디시티원,070836,,,,50345448,,,,345283,,,,345283,,,,50000165,,,,0,,,,0,,,,0,,,,0,,,,0,,,,344745,,,,0,,,,50345448,,,,0,,,,0,,,,0,,,,11922,,,,0,,,,0,,,,-11922,,,,-11811,,,,344745,,,,0,,,,0,,,,0
(주)에스디에스,067666,,,8410533,11900111,,,844359,1400294,,,1298086,1967470,,,7112447,9932641,,,8383021,10399327,,,2797797,4114264,,,5481940,6180460,,,1978399,2343186,,,0,0,,,214006,247313,,,9000,9000,,,27512,1500784,,,512639,975780,,,4589330,5793032,,,453727,567176,,,731957,870226,,,5393603,7002581,,,804274,1209549,,,72317,339323,,,-258385,-48338,,,24214,33307,,,315456,432306,,,8.38,5.22,,,6996738,9768726
(주)에스디엔제이홀딩스,056760,55588396,55409477,55192863,54943909,195597,17612,126925,170473,195597,17612,126925,170473,55392798,55391865,55065938,54773437,51780214,49797128,47764521,45675513,0,316915,284308,195299,0,0,0,0,0,100000,100000,0,0,0,0,0,178292,17312,126625,170162,0,0,0,0,3808182,5612349,7428342,9268397,0,0,0,0,0,0,0,0,0,0,0,0,16163,23983,36232,34792,2302427,2128686,2171567,2152051,2302427,2128686,2171567,2152051,2286264,2104704,2135335,2117258,1911229,1804167,1865413,1840055,-40463,-160980,109313,43537,0,0,0,0,0,0,0,0,0,426764,417134,407503
