구분,항목,이자보상배율(이자비용),이자보상배율(이자비용),이자보상배율(이자비용),영업이익(손실)(천원),영업이익(손실)(천원),영업이익(손실)(천원),차입금의존도,차입금의존도,차입금의존도,총자본증가율,총자본증가율,총자본증가율,유동자산증가율,유동자산증가율,유동자산증가율,매출액증가율,매출액증가율,매출액증가율,순이익증가율,순이익증가율,순이익증가율,영업이익증가율,영업이익증가율,영업이익증가율,매출액순이익률,매출액순이익률,매출액순이익률,매출액총이익률,매출액총이익률,매출액총이익률,자기자본순이익률,자기자본순이익률,자기자본순이익률,총자본순이익률,총자본순이익률,총자본순이익률,매출원가 대 매출액비율,매출원가 대 매출액비율,매출원가 대 매출액비율,매출채권회전률,매출채권회전률,매출채권회전률,재고자산회전률,재고자산회전률,재고자산회전률,총자본회전률,총자본회전률,총자본회전률,유형자산회전율,유형자산회전율,유형자산회전율,부채비율,부채비율,부채비율,유동비율,유동비율,유동비율,자기자본배율,자기자본배율,자기자본배율,당좌비율,당좌비율,당좌비율,비유동비율,비유동비율,비유동비율,순운전자본비율,순운전자본비율,순운전자본비율,현금비율,현금비율,현금비율,부채(*)(천원),부채(*)(천원),부채(*)(천원),자산(*)(천원),자산(*)(천원),자산(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),매출액(영업수익)(*)(천원),CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 부채비율,유동부채(*)(천원),유동부채(*)(천원),유동부채(*)(천원),유동자산(*)(천원),유동자산(*)(천원),유동자산(*)(천원),CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,CASH FLOW 대 매출액비율,차입금평균이자율,차입금평균이자율,차입금평균이자율
,년도,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009,2007,2008,2009
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)CMG제약,058820,999999999,-5.05,-8.29,-1334326,-3785500,-8649578,0,16.72,14.75,120.08,56.55,-33.92,29.79,86.84,-41.24,-45.98,501.81,-6.12,0,0,0,0,0,0,-49.56,-43.11,-179.14,17.48,36.6,24.33,-6.41,-20.5,-106.4,-5.55,-16.46,-63.34,82.52,63.4,75.67,0.79,2.3,1.75,11.46,10.68,4.9,0.11,0.38,0.35,0.38,1.19,0.95,6.63,39.61,142.62,652.22,562.89,108.59,327.16,316.67,113.51,629.39,505.34,81.75,63.39,72.04,138.21,34.34,39.8,3.4,197.76,209.78,11.75,1372494,9803795,13423539,22073704,34556966,22835684,1795969,10808242,10146823,-270.4,-55.81,-44.57,1372494,2971345,9050137,8951669,16725293,9827478,-206.64,-50.62,-58.97,0,25.93,22.83
(주)DB하이텍,000990,-0.12,-0.5,-0.76,-15283190,-88544577,-130420429,60.02,58.27,58.57,198.65,3.76,-26.58,78.05,13.28,-17.64,27.82,-1.79,-14.45,0,0,0,0,0,0,-1.23,-20.89,-15.3,15.75,15.14,12.78,-2.63,-32.26,-23.66,-0.79,-8.6,-6.1,84.25,84.86,87.22,9.73,8.07,7.61,5.73,4.36,3.89,0.64,0.41,0.4,1.02,0.61,0.58,263.15,287.47,288.09,61.16,56.89,101.58,474,460.94,332.97,29.5,28.7,49.91,298.47,312.13,303.43,-11.31,-14.74,0.34,1.26,1.69,11.83,2328755237,2473947860,1817278011,3213715696,3334536110,2448081636,1372190425,1347649484,1152892773,0.56,-0.42,2.46,935831064,1139842649,525687598,572400435,648409436,534019498,0.95,-0.78,3.88,10.35,9.09,10.15
(주)ES큐브,050120,-25.03,-35.62,10.3,-2177592,-2702389,937690,0,2.43,7.31,22.74,12.31,16.14,13.41,-18.04,30.21,-14.17,10.24,117.58,0,0,0,0,0,0,-3.34,-25.07,13.26,12.06,9.75,21.06,-1.29,-8.88,9.58,-1.2,-8.47,8.53,87.94,90.25,78.94,44.69,10.23,14.86,35.81,36.64,83.65,0.36,0.34,0.64,13.87,13.12,22.41,1.16,8.36,15.98,6695.13,717.8,727.53,399.03,355.6,383.65,6599.62,706.32,718.68,28.78,51.79,48.09,70.48,44.94,50.49,163.9,9.38,78.9,416629,3137467,6504256,36192270,40649115,47208566,11780581,12987121,28257908,-81.85,-62.83,9.91,386795,2956743,3798568,25896422,21223619,27635607,-2.89,-15.18,2.28,5.8,15.37,4.1
(주)HJ중공업,097230,,4.88,2.57,115766000,510367000,460906000,,37.55,49.19,,0,10.57,,0,22.77,,0,-16.12,,0,-17.61,,0,-9.69,,1.64,1.61,,17.29,18.35,,2.99,2.48,,1.01,0.79,,82.71,81.65,,2.35,1.9,,8.85,9.2,,0.62,0.49,,1.47,1.24,,196.27,231.29,,146.25,132.95,,889.29,870.63,,124.43,123.05,,157.78,159.34,,14.78,12.86,,19.78,41.86,3225552000,4131150000,4813709000,4161985000,6235995000,6894968000,1444721000,3848033000,3227619000,,-3.48,-3.53,1636957000,1993217000,2691685000,2523148000,2915035000,3578680000,,-3.74,-5.26,,4.46,6.26
(주)MH에탄올,023150,7.52,3.3,2.14,7255733,7023763,7439766,35.86,56.28,54.09,11.13,37.62,28.54,31.28,150.87,-35.55,2.81,7.55,1.5,86.02,0,0,64.41,-3.2,5.92,8.64,-14.97,3.01,29.95,27.61,27.02,9.77,-18.2,3.31,5.81,-8.66,1.33,70.05,72.39,72.98,6.3,8.84,11.9,10.63,7.68,8.61,0.67,0.58,0.44,1.75,1.92,1.44,71.65,151,146.41,130.2,116.22,45.1,830.35,781.46,1023.17,90.08,100.07,38.23,124.9,126.39,185.08,6.32,6.93,-30.3,0.41,6.38,0.43,26220973,52009351,66027591,62818445,86452344,111123888,40144655,43176371,43824891,15.11,12.73,12.24,13140694,36929599,61326872,17108715,42920282,27660372,9.87,15.33,18.44,4.62,5.99,6.38
(주)SH에너지화학,002360,2.08,0.63,4.5,2698323,1017352,5932577,21.38,23.28,22.18,10.1,17.3,3.04,21.28,-13.74,24.13,7.02,3.29,-1.57,0,0,0,305.27,-62.3,483.14,1.75,-7.62,3.29,9.47,6.74,10.59,4.45,-17.36,6.61,3,-11.85,4.6,90.53,93.26,89.41,7.45,8.03,7.8,18.3,19.87,24.71,1.72,1.56,1.4,3.63,3.45,3.22,48.74,44.62,42.64,156.74,109.23,132.75,118.29,119.67,125.02,109.92,90.7,107.23,91.86,103.95,94.31,13.84,2.38,8.36,4.15,3.63,6.76,26948683,29764799,29712457,82235928,96466166,99399622,134600833,139034353,136846039,4.27,12.72,19.24,20065268,24836430,25369699,31450364,27129849,33677023,0.86,2.72,4.18,7.34,8.08,5.92
(주)SIMPAC,009160,12.98,7.56,10.35,11702591,8917045,11763335,13.37,10.34,8.7,21.66,31.38,6.97,60.35,35.87,-21.47,3.35,19.08,-7.02,41.49,108.08,-46.32,-2.07,-23.8,31.92,11.08,19.35,11.17,20.86,18.62,20.98,20.21,31.63,13.93,10.69,17.51,8,79.14,81.38,79.02,4.39,4.63,3.75,9.56,8.38,5.81,0.96,0.9,0.72,2.63,3.33,3.9,82.7,79.16,69.88,175.6,143.36,107.96,500.19,670.12,756,152.64,109.21,79.02,82.26,77.3,98.97,23.67,17.2,3.08,75.5,56.76,11.04,57006899,73105291,72798495,125936098,165451607,176978453,110683524,131802333,122548677,17.15,11.4,12.22,39425249,65617571,68429445,69231573,94067904,73873250,8.83,6.32,7.26,6.25,6.95,7
(주)SNT에너지,100840,,,22.76,,37839411,44029822,,,16.87,,,0,,,0,,,0,,,0,,,0,,,19.37,,,32.22,,,20.55,,,11.94,,,67.78,,,3.32,,,32.66,,,0.62,,,1.54,,,72.09,,,167.46,,,4862.94,,,162.05,,,71.55,,,23.53,,,10.09,,71705695,124173975,,217486444,296434329,,200451563,182779061,,,27.82,,51146984,103414537,,93053125,173179939,,,18.9,,,3.87
