회사명,거래소코드,회계년도,통계청 한국표준산업분류 10차(대분류)
주식회사삼인씨앤디,073424,2018,
주식회사삼일,070834,2018,
주식회사삼일기업,067207,2018,
주식회사삼일산업,081417,2018/12,도매 및 소매업
주식회사삼일에쓰아이,071265,2018/12,부동산업
주식회사삼일이엔씨,081434,2018/12,부동산업
주식회사삼일이엔씨,071111,2018/12,부동산업
주식회사삼일통상,052616,2018/12,도매 및 소매업
주식회사삼전,043576,2018/12,제조업
주식회사삼전건설,046314,2018/12,건설업
주식회사삼정,090835,2018/12,도매 및 소매업
주식회사삼정,017962,2018/12,건설업
주식회사삼정,017963,2018/12,부동산업
주식회사삼정건설기계,080778,2018/12,도매 및 소매업
주식회사삼정고속관광,091074,2018/12,운수 및 창고업
주식회사삼정관광호텔,026356,2018/12,숙박 및 음식점업
주식회사삼정기업,017966,2018/12,건설업
주식회사삼정디앤씨,058800,2018/12,부동산업
주식회사삼정오디세이,086748,2018/12,제조업
주식회사삼정유앤디,081275,2018/12,부동산업
주식회사삼정이알케이,076564,2018/12,"전문, 과학 및 기술 서비스업"
주식회사삼정이앤더블유,017964,2018/12,제조업
주식회사삼정이앤시,061483,2018/12,부동산업
주식회사삼정터빈,017967,2018/12,제조업
주식회사삼조디앤씨,091185,2018/12,부동산업
주식회사삼주,091419,2018/12,제조업
주식회사삼주산업,072739,2018/12,부동산업
주식회사삼주씨엔씨,083041,2018,
주식회사삼주유통,017969,2018/12,도매 및 소매업
주식회사삼중,042030,2018/12,제조업
주식회사삼중이앤씨,085540,2018/12,부동산업
주식회사삼지주택,067504,2018,
주식회사삼진,063715,2018/12,제조업
주식회사삼진,077288,2018/12,제조업
주식회사삼진산업개발,086673,2018/12,건설업
주식회사삼진씨앤씨,043509,2018/12,건설업
주식회사삼진정공,060912,2018/12,제조업
주식회사삼진조선,029847,2018,
주식회사삼진철구,017974,2018,
주식회사삼진화스너,047203,2018/12,제조업
주식회사삼창홀딩스,076772,2018,
주식회사삼척개발,071042,2018,
주식회사삼천리금속,040269,2018/12,제조업
주식회사삼천리기계,041582,2018/12,제조업
주식회사삼천리모터스,066046,2018/12,도매 및 소매업
주식회사삼천리이에스,040659,2018/12,도매 및 소매업
주식회사삼태사,045718,2018/12,건설업
주식회사삼태성,072611,2018/12,제조업
주식회사삼택,076811,2018/12,부동산업
주식회사삼토종합건설,087763,2018/12,건설업
주식회사삼표에너지,018201,2018/12,도매 및 소매업
주식회사삼한강,041610,2018/12,광업
주식회사삼한씨원,017977,2018/12,제조업
주식회사삼한에이치,089089,2018/12,부동산업
주식회사삼한종합건설,017978,2018/12,건설업
주식회사삼현원,070755,2018,
주식회사삼현텍,062075,2018,
주식회사삼호,048699,2018/12,도매 및 소매업
주식회사삼호도시개발,086699,2018/12,건설업
주식회사삼호에너지,014293,2018/12,도매 및 소매업
주식회사삼호프레스,083444,2018/12,제조업
주식회사삼호화성,074469,2018/12,제조업
주식회사삼홍사,017981,2018/12,제조업
주식회사삼화,062056,2018/12,제조업
주식회사삼화,017982,2018/12,제조업
주식회사삼화개발,078457,2018/12,건설업
주식회사삼화대림화학,017628,2018/12,제조업
주식회사삼화에이스,045481,2018/12,제조업
주식회사삼화에프앤에프,045523,2018/12,제조업
주식회사삼화텍,046425,2018,
주식회사삼흥기연,089805,2018/12,제조업
주식회사상공에너지,062031,2018/12,"전기, 가스, 증기 및 공기조절 공급업"
주식회사상남디엔아이,067479,2018,
주식회사상농전선,048778,2018/12,제조업
주식회사상도개발,070433,2018,
주식회사상도아이피엠,077893,2018/12,부동산업
주식회사상떼힐,042937,2018,
주식회사상록수,086208,2018/12,부동산업
주식회사상리홀딩스,069283,2018/12,부동산업
주식회사상보기업,052697,2018/12,도매 및 소매업
주식회사상봉그랜드,067084,2018/12,정보통신업
주식회사상상디앤씨,080365,2018/12,부동산업
주식회사상상스테이,077669,2018,
주식회사상상인선박기계,061131,2018,
주식회사상수,067175,2018/12,제조업
주식회사상신,074694,2018,
주식회사상신,085048,2018/12,제조업
주식회사상신금속,017988,2018/12,제조업
주식회사상신산업,029793,2018/12,제조업
주식회사상신파크,088809,2018/12,부동산업
주식회사상아기연,075950,2018/12,제조업
주식회사상아뉴매틱,017989,2018/12,제조업
주식회사상암피에프브이,066360,2018,
주식회사상영아이앤피,062439,2018,
주식회사상원,065960,2018,
주식회사상원디엔시,087245,2018/12,부동산업
주식회사상원스틸,017991,2018/12,제조업
주식회사상원이앤에스,045043,2018,
주식회사상원이엔씨,024285,2018/12,"수도, 하수 및 폐기물 처리, 원료 재생업"
주식회사상익건설,051552,2018/12,건설업
주식회사상익산업,051381,2018,
주식회사상일기업,059048,2018/12,도매 및 소매업
주식회사상지사피앤비,052325,2018/12,제조업
주식회사상지알앤디,090220,2018/12,부동산업
주식회사상지엔지니어링건축사사무소,045603,2018/12,"전문, 과학 및 기술 서비스업"
주식회사상진,091458,2018/12,제조업
주식회사상진개발,083236,2018/12,부동산업
주식회사상현상사,039823,2018/12,도매 및 소매업
주식회사상현원색,049746,2018/12,제조업
주식회사상화,087526,2018/12,"전문, 과학 및 기술 서비스업"
주식회사상화원,051105,2018,
주식회사상효원,065903,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사새롬,066917,2018/12,제조업
주식회사새롬뉴버,060768,2018,
주식회사새롬디앤씨,082915,2018/12,부동산업
주식회사새롬이엔시,077752,2018,
주식회사새만금관광개발,076742,2018,
주식회사새무리,052352,2018/12,도매 및 소매업
주식회사새별,091961,2018/12,부동산업
주식회사새부산상조,026358,2018/12,"협회 및 단체, 수리 및 기타 개인 서비스업"
주식회사새빛한빛,053197,2018/12,부동산업
주식회사새솔,072878,2018/06,제조업
주식회사새솔건설,067147,2018/12,건설업
주식회사새울토피아,080189,2018/12,도매 및 소매업
주식회사새울흥업,058137,2018/12,부동산업
주식회사새은디앤씨,061802,2018,
주식회사새정,073834,2018,
주식회사새정디앤씨,082115,2018/12,부동산업
주식회사새천년미소,070620,2018,
주식회사새턴산업,060791,2018,
주식회사새한공업,043508,2018/12,제조업
주식회사새한마이크로텍,050655,2018/12,제조업
주식회사새한산업,017995,2018/12,제조업
주식회사새한철강,017996,2018/12,건설업
주식회사새한하이테크,083213,2018,
주식회사새해성,043251,2018/12,제조업
주식회사새화신,017997,2018,
주식회사샌드박스네트워크,089059,2018/12,정보통신업
주식회사샌드빅서전,042944,2018/12,도매 및 소매업
주식회사샘,074782,2018,
주식회사샘초롱농업회사법인,087559,2018/12,제조업
주식회사샘코,066606,2018,
주식회사생,066231,2018/12,제조업
주식회사생보대만홀딩스개발전문위탁관리부동산투자회사,071762,2018,
주식회사생활속행복,067412,2018/12,숙박 및 음식점업
주식회사샤브향,073875,2018,
주식회사샤인시티,065163,2018,
주식회사샤트렌,048147,2018,
주식회사샤프에비에이션케이,018001,2018/12,운수 및 창고업
주식회사샤프테크닉스케이,080131,2018/12,제조업
주식회사샴발라,043651,2018/12,"예술, 스포츠 및 여가관련 서비스업"
주식회사서강금속,018002,2018/12,제조업
주식회사서강정밀,061591,2018/12,제조업
주식회사서강플레이스,087229,2018/12,부동산업
주식회사서경,046638,2018,
주식회사서경방송,019985,2018/12,정보통신업
주식회사서경산업,083386,2018/12,건설업
