구분,총자산증가율2016,유동자산증가율2016,매출액증가율2016,매출액순이익률2016,매출총이익률2016,자기자본순이익률2016,총자산순이익률2016,매출원가대매출액비율2016,매출액대판매관리비2016,매출채권회전율2016,재고자산회전율2016,총자본회전율2016,유형자산회전율2016,부채비율2016,유동비율2016,자기자본배율2016,당좌비율2016,고정비율2016,순운전자본비율2016,차입금의존도2016,현금비율2016,부채/총자산2016,부채/매출액2016,부채/현금흐름2016,유동부채/부채2016,총부채/총자산2016,유동부채/총부채2016,유동자산/총자산2016,현금흐름/매출액2016,이자보상배율2016,차입금평균금리2016,매출,자산,업종,정상기업여부
(주)JBM,-0.0548603473264987,-0.1664401435738386,0.0293693841760669,0.005861283552578,0.1113074665405002,0.0600564448269057,0.0066505989016108,0.8886925334594997,0.0890134960666543,15.610925507194215,5.466034283449483,1.134665955324009,2.124485296555887,8.030231068717578,0.8231671937060063,0.1107391375027144,0.3760765158345115,0.6603437923288892,-0.0729649413520076,0.4472294803924603,0.0092396122780838,0.4472294803924603,0.3941507879865417,-112.60662343772373,0.9226159854677566,0.8892608624972855,0.4640045291364456,0.3396561264305149,-0.0035002451539142,1.1607821208223823,4.32,1,0,0,1
(주)KH엘텍,0.2337146320654377,1.364334986791656,0.1232359115618567,-0.0537169306992704,0.0278909450601517,-0.7111612602514182,-0.082287450593514,0.9721090549398482,0.0772012795924077,7.54389125099069,11.638814653685683,1.531871786461389,2.5033151646774057,7.642402892315343,0.4568710470019761,0.1157085673710949,0.3015554291480545,0.6236369604274129,-0.4474209188163523,0.4006221736865051,0.0521775562801723,0.4006221736865051,0.2615246114114674,12.423751226378876,2.0562615164520746,0.8842914899425207,0.9315751285161477,0.3763630395725871,0.0210503741298507,-5.428667342180923,3.49,1,1,0,0
(주)S-Tech,0.1119360181257829,1.5508412933736184,7.877261126375565,0.1219365718366628,0.5998896965309437,0.0637153146305047,0.0582107422112048,0.4001103034690563,0.5866084006730713,8.004863155236261,5.145522112258972,0.4773854253437565,0.6021556114061591,0.0945628921707012,3.0594685357498164,0.9136067607729504,2.4869771901630044,0.8016206879783048,0.1335382491131307,5.837834644384509e-05,1.4407542956950763,5.837834644384509e-05,0.0001222876597076,0.00084918117705,1110.705,0.0863932976053961,0.7505341627665915,0.1983793704000417,0.1440065595100667,6787.875,3.2,1,1,0,1
(주)TS푸드앤시스템,0.2686602064223181,0.5108181749150659,0.0176704742220503,-0.0250176218636277,0.2364447358782147,-0.272807149755688,-0.0444975972727201,0.7635552641217853,0.2553551566590143,13.776135287797716,14.953663580445278,1.7786501656823603,3.781794313290841,5.130828774499609,0.6793550617623912,0.163110084587482,0.4965298959777482,0.6625229481090841,-0.1592838775344553,0.4806965320217368,0.2396983770792458,0.4806965320217368,0.2702591781657764,5.055951324189766,1.033419,0.836889915412518,0.5935797770731995,0.3374770518909159,0.0534536748549663,-2.5223967452878773,3.41,1,0,1,0
(주)강원심층수,-0.0911987565448294,-0.3336522618948495,0.0984745095135596,-0.4144094414387106,0.3013250267391765,-2.05554786200675,-0.1214988253263635,0.6986749732608235,0.6070691137084728,9.139810489887772,15.9194462535783,0.2931854662976656,0.3138483342294585,15.91825296652251,0.0851727601044681,0.059107757874219,0.06387960232957,0.94853057337942,-0.5528246093941694,0.826342843175213,0.0087385322728272,0.826342843175213,2.818498657557066,-383.4674866600344,0.7312872641509434,0.940892242125781,0.6422563286004116,0.0514693876421441,-0.0073500329378793,-2.8431377639642514,3.63,1,1,0,0
(주)경동개발,0.1669628848640981,0.2957557622949614,-0.0187766827991879,0.0048836246433867,0.1014174376169604,0.0064446275052916,0.0031479161352979,0.8985825623830396,0.0794689416880212,13.270547837864694,1.3072185941089831,0.6445860124734974,3.2158818288581847,1.047267852223652,1.6231407133269504,0.4884558700581577,0.7233283547775223,0.2007275699354622,0.3068490538889321,0.1968732101229566,0.0680911848644886,0.1968732101229566,0.3054258179874035,20.931582427573662,2.501220840906002,0.5115441299418422,0.9626214970575258,0.7992724300645377,0.0145916257905593,6.214407671950144,1.02,1,1,0,1
(주)교학사,0.0051901952405185,-0.1224210589806348,-0.036142793645512,0.0041744767734231,0.2085921358062612,0.003748650122622,0.0009269527926686,0.7914078641937388,0.1994611943560539,1.1729114206999254,1.2062886324926634,0.2220524494399197,0.4795507029798865,3.0440572079510733,0.5516286817288213,0.2472764228047731,0.3239376936936233,0.6470560982053891,-0.2868776247118115,0.1825203892496683,0.0042465334413601,0.1825203892496683,0.821969718010485,-81.03862276461243,3.505479780919726,0.7527235771952269,0.85000862667859,0.3529439094084989,-0.0101429378976245,0.2178605818592957,1.69,1,2,0,1
(주)국일방적,0.1411078591934581,0.2742623683215766,-0.1057362698974544,0.0050631706623165,0.0530744144158618,0.0109438035789795,0.0047671988760393,0.9469255855841382,0.0435536183003425,5.629345897976704,4.578261092824665,0.94154418130125,3.361965226935768,1.2956465344847985,1.2359749171353829,0.4356071307050872,0.861721877925281,0.3568677105552212,0.1227881638539567,0.4635422532899316,0.4490474220652772,0.4635422532899316,0.4923212978166341,-33.7986167518611,1.1225387332030088,0.5643928692949128,0.921953770330596,0.6431322976481048,-0.0145663149894891,1.105440721396583,1.8,2,2,0,1
(주)국제금속,-0.0334462657112915,-0.0305696983609609,0.3057133129505779,-0.0628761488599185,0.024192895136284,-0.1489669679768436,-0.0316579963728588,0.975807104863716,0.0442493372051329,12.426090007895429,12.597356668649384,0.5034977005889719,0.5879256944132307,3.7055086237860144,2.7581882536568307,0.2125168874872985,1.6860853365492787,0.8996610692699765,0.0639603657074971,0.7483463300043615,0.5787595896584043,0.7483463300043615,1.4862954272263311,55.03671981149923,0.0486119375,0.7874831592843471,0.0461959911061294,0.1003389307300235,0.0270055234453814,-0.4096587394648664,3.29,1,1,0,0
(주)국제금속,-0.0334462657112915,-0.0305696983609609,0.3057133129505779,-0.0628761488599185,0.024192895136284,-0.1489669679768436,-0.0316579963728588,0.975807104863716,0.0442493372051329,12.426090007895429,12.597356668649384,0.5034977005889719,0.5879256944132307,3.7055086237860144,2.7581882536568307,0.2125168874872985,1.6860853365492787,0.8996610692699765,0.0639603657074971,0.7483463300043615,0.5787595896584043,0.7483463300043615,1.4862954272263311,55.03671981149923,0.0486119375,0.7874831592843471,0.0461959911061294,0.1003389307300235,0.0270055234453814,-0.4096587394648664,3.29,1,1,0,0
