,Ç×¸ñ
0,40736
1,12815
2,81962
3,64118
4,61907
5,17676
6,40581
7,59783
8,63900
9,58267
10,77458
11,58996
12,30661
13,61218
14,29522
15,72726
16,86402
17,90188
18,56408
19,43596
20,45661
21,58709
22,63959
23,63938
24,62045
25,81903
26,29255
27,27325
28,43023
29,38835
30,56737
31,26849
32,40278
33,86240
34,18261
35,30592
36,20587
37,63566
38,87267
39,48874
40,42524
41,76921
42,78193
43,76922
44,72369
45,72370
46,72325
47,17587
48,64781
49,14359
50,40133
51,65165
52,62173
53,38630
54,76345
55,63199
56,41667
57,41396
58,80886
59,60652
60,10942
61,19379
62,20608
63,69167
64,80773
65,91048
66,43566
67,60723
68,53950
69,67227
70,70187
71,61723
72,42318
73,17417
74,90561
75,76423
76,73254
77,85468
78,43426
79,49021
80,74090
81,85096
82,90395
83,64248
84,89670
85,82823
86,91492
87,52981
88,88143
89,88035
90,64189
91,45119
92,50540
93,12820
94,20634
95,49005
96,66303
97,58439
98,48025
99,86044
100,87062
101,79480
102,68378
103,53709
104,60884
105,86082
106,76266
107,59351
108,88561
109,71083
110,82911
111,89645
112,68891
113,47446
114,90173
115,67410
116,14227
117,66535
118,73908
119,82774
120,42787
121,50235
122,45274
123,48726
124,40815
125,12828
126,58622
127,86108
128,91821
129,62202
130,86396
131,65136
132,89580
133,87926
134,90424
135,90760
136,42501
137,47909
138,69133
139,19670
140,90906
141,60432
142,65937
143,63861
144,80433
145,66189
146,58055
147,57027
148,41998
149,85170
150,66019
151,78440
152,48644
153,68850
154,56510
155,89437
156,70563
157,86328
158,88601
159,61799
160,76358
161,48244
162,64548
163,48383
164,81385
165,74078
166,90560
167,66541
168,74726
169,80493
170,86358
171,91673
172,69086
173,41595
174,79451
175,78309
176,43460
177,57110
178,68013
179,91439
180,21729
181,30749
182,82011
183,29929
184,60704
185,78962
186,86269
187,91052
188,60705
189,61086
190,78363
191,72571
192,47898
193,40508
194,74684
195,38822
196,74030
197,82196
198,63195
199,46862
200,90932
201,70401
202,47015
203,85850
204,72913
205,12888
206,44044
207,49380
208,83237
209,43597
210,81136
211,45504
212,43300
213,60062
214,92383
215,76193
216,12896
217,17441
218,29502
219,12895
220,30277
221,61116
222,83381
223,54259
224,66023
225,18571
226,85928
227,64527
228,49448
229,61953
230,76212
231,63697
232,85567
233,38844
234,80224
235,70701
236,77464
237,41543
238,61468
239,87566
240,85339
241,60786
242,13555
243,72675
244,29132
245,81084
246,12913
247,12917
248,76227
249,62262
250,50446
251,77498
252,58224
253,65688
254,66043
255,40801
256,80745
257,92062
258,81062
259,26351
260,40316
261,47770
262,49776
263,59707
264,76604
265,80427
266,76992
267,47267
268,17034
269,85580
270,12927
271,73815
272,75853
273,57252
274,57800
275,65810
276,70438
277,63872
278,52657
279,52486
280,12806
281,45686
282,76026
283,86188
284,21831
285,70061
286,73458
287,81869
288,85104
289,69756
290,61812
291,49987
292,53481
293,87666
294,52273
295,89604
296,20142
297,71263
298,60046
299,89315
300,77153
301,12960
302,73616
303,76501
304,46880
305,46351
306,48260
307,92598
308,78469
309,70866
310,61897
311,67775
312,70794
313,61639
314,29959
315,66402
316,85409
317,52086
318,63268
319,67039
320,46149
321,12983
322,10868
323,39997
324,48014
325,82159
326,89843
327,21874
328,51743
329,72803
330,86895
331,78390
332,41397
333,40856
334,85633
335,83155
336,56487
337,12995
338,86939
339,46075
340,85224
341,51850
342,92112
343,91570
344,89477
345,63657
346,64445
347,67992
348,81468
349,47432
350,21901
351,58517
352,61783
353,30250
354,67833
355,58379
356,81368
357,68913
358,73760
359,53253
360,26512
361,83336
362,81420
363,61249
364,87910
365,56960
366,73284
367,78300
368,80342
369,58348
370,21933
371,46180
372,11910
373,52054
374,13028
375,47448
376,59791
377,56762
378,91154
379,66852
380,59339
381,73606
382,73859
383,59836
384,40576
385,52730
386,89506
387,73444
388,56722
389,77123
390,69092
391,29883
392,17476
393,52439
394,15716
395,67311
396,57215
397,58739
398,82976
399,58662
400,72843
401,83367
402,67368
403,76594
404,90601
405,82527
406,20459
407,82152
408,90744
409,46413
410,83246
411,64651
412,88165
413,72438
414,62302
415,82706
416,52458
417,77872
418,80647
419,72287
420,85268
421,45036
422,63495
423,72279
424,42119
425,86422
426,40058
427,46819
428,75794
429,84753
430,84626
431,48804
432,42118
433,91937
434,91628
435,75931
436,57184
437,63799
438,76697
439,69177
440,29539
441,87430
442,78914
443,57009
444,44642
445,21957
446,63972
447,77903
448,73480
449,68027
450,87582
451,66279
452,53553
453,53316
454,77267
455,82840
456,69698
457,63203
458,81373
459,87308
460,70128
461,13068
462,46986
463,48172
464,41748
465,13070
466,48945
467,63313
468,59681
469,21980
470,48770
471,80714
472,30062
473,41085
474,77818
475,63645
476,75696
477,13084
478,42890
479,76637
480,53672
481,84774
482,10179
483,53278
484,44605
485,81937
486,56710
487,65674
488,21995
489,62984
490,16273
491,91208
492,13099
493,60568
494,17495
495,77063
496,70260
497,49722
498,76868
499,69730
500,45529
501,63497
502,81930
503,72606
504,91964
505,73037
506,17496
507,69166
508,38914
509,85916
510,45618
511,58230
512,59451
513,77151
514,73776
515,13041
516,69170
517,17499
518,70365
519,78948
520,89861
521,81286
522,70692
523,71176
524,65141
525,87338
526,13111
527,66506
528,89806
529,78867
530,70239
531,69976
532,87069
533,54077
534,29734
535,86176
536,86914
537,67465
538,67322
539,81925
540,13132
541,68698
542,10893
543,64884
544,54136
545,78395
546,17508
547,67762
548,49344
549,60817
550,89461
551,59869
552,72670
553,59496
554,58057
555,47496
556,13151
557,68866
558,78654
559,42001
560,85859
561,90667
562,61780
563,77499
564,59644
565,78225
566,88101
567,82258
568,51151
569,73653
570,71029
571,81837
572,73151
573,72548
574,77628
575,45114
576,83477
577,46501
578,80936
579,78436
580,23718
581,12831
582,13163
583,13161
584,70914
585,67142
586,91935
587,58011
588,50066
589,78596
590,64556
591,70093
592,66966
593,78134
594,47173
595,85700
596,84958
597,13502
598,46027
599,74455
600,83176
601,73181
602,85871
603,29772
604,45689
605,48174
606,51758
607,74516
608,53825
609,62456
610,76392
611,53688
612,89960
613,68831
614,72245
615,26605
616,89944
617,67582
618,86397
619,46184
620,78779
621,46336
622,90913
623,63534
624,91978
625,50170
626,71279
627,66664
628,86918
629,82814
630,43778
631,82405
632,62063
633,59907
634,80921
635,74017
636,52332
637,66198
638,49379
639,49015
640,66794
641,86236
642,43625
643,85491
644,64806
645,76710
646,53186
647,56815
648,58268
649,42819
650,52743
651,67555
652,73655
653,56383
654,41783
655,45918
656,80132
657,81536
658,91141
659,13189
660,89585
661,85843
662,11431
663,69866
664,86560
665,79247
666,76681
667,17528
668,66227
669,89812
670,71033
671,64670
672,62444
673,64379
674,87004
675,64470
676,43472
677,13193
678,82747
679,85680
680,70107
681,87762
682,49227
683,66876
684,58058
685,80248
686,76260
687,63206
688,50564
689,51269
690,13200
691,83441
692,85640
693,83457
694,13198
695,42539
696,10188
697,61675
698,13199
699,78744
700,86220
701,45239
702,60932
703,46251
704,83233
705,20665
706,86498
707,85349
708,67796
709,60977
710,82322
711,90714
712,88115
713,61874
714,86845
715,56997
716,68934
717,66860
718,69899
719,86547
720,81105
721,85606
722,77004
723,52205
724,42153
725,47098
726,41348
727,47102
728,22140
729,43156
730,67417
731,88124
732,66068
733,78194
734,13221
735,38947
736,78442
737,60775
738,76409
739,13226
740,63800
741,83199
742,58505
743,50535
744,44125
745,69961
746,52729
747,50010
748,22170
749,87486
750,67517
751,82974
752,41140
753,41601
754,52178
755,63223
756,57235
757,90686
758,66726
759,81196
760,13237
761,45772
762,77807
763,82310
764,63795
765,91035
766,46101
767,13243
768,64031
769,48780
770,76231
771,67572
772,52241
773,67558
774,70976
775,46022
776,13213
777,64389
778,57217
779,62248
780,49645
781,66011
782,46906
783,88635
784,80781
785,21262
786,86284
787,66035
788,77339
789,13261
790,46577
791,43031
792,82096
793,26264
794,29515
795,52568
796,69922
797,73836
798,86477
799,69790
800,73489
801,90871
802,58436
803,76461
804,73309
805,90546
806,46163
807,59383
808,17552
809,17553
810,83089
811,88956
812,70349
813,80469
814,85043
815,86818
816,59760
817,43717
818,65083
819,82901
820,50837
821,13287
822,72302
823,51701
824,13289
825,62199
826,48598
827,44270
828,56841
829,64137
830,74099
831,91198
832,49820
833,59806
834,13294
835,17559
836,62368
837,81361
838,78053
839,72809
840,69054
841,90140
842,52023
843,67119
844,59467
845,46060
846,80777
847,56441
848,49566
849,26267
850,41002
851,70017
852,73396
853,52630
854,45255
855,70828
856,91299
857,75948
858,92339
859,72635
860,67452
861,54021
862,81124
863,10970
864,51574
865,76363
866,91761
867,73196
868,11577
869,29603
870,59414
871,80565
872,52320
873,86953
874,80655
875,48755
876,59417
877,67651
878,44431
879,57167
880,92004
881,48178
882,58258
883,13312
884,71197
885,58948
886,64387
887,60053
888,53071
889,82690
890,58554
891,76831
892,82436
893,78276
894,70861
895,53527
896,59713
897,58395
898,76930
899,40808
900,30687
901,62953
902,67878
903,28537
904,75968
905,90253
906,67624
907,61289
908,83033
909,10189
910,41866
911,61004
912,14814
913,85399
914,65646
915,51665
916,57270
917,80664
918,46092
919,49798
920,80747
921,85487
922,91106
923,51582
924,66015
925,86757
926,48034
927,58461
928,56374
929,69423
930,66024
931,70693
932,81670
933,66287
934,42284
935,62028
936,51800
937,66480
938,46158
939,81985
940,61234
941,67587
942,64434
943,13333
944,90271
945,73856
946,65152
947,48220
948,85449
949,63160
950,86218
951,68878
952,22275
953,66034
954,78098
955,86320
956,73243
957,60433
958,45317
959,73772
960,89602
961,10199
962,72378
963,50187
964,13355
965,13358
966,39819
967,40880
968,58206
969,64487
970,52613
971,67199
972,73084
973,72546
974,30747
975,67071
976,13377
977,13379
978,82573
979,59021
980,51999
981,43238
982,64195
983,68783
984,89191
985,82039
986,67469
987,13390
988,85681
989,13398
990,85666
991,85671
992,53058
993,78370
994,74569
995,56492
996,13402
997,42015
998,45347
999,63594
1000,13407
1001,71058
1002,68709
1003,66292
1004,72990
1005,85806
1006,63634
1007,15591
1008,76011
1009,61884
1010,87302
1011,72847
1012,39950
1013,68975
1014,80943
1015,85313
1016,70719
1017,66478
1018,45199
1019,76664
1020,90389
1021,70276
1022,51699
1023,69039
1024,78577
1025,67258
1026,53431
1027,63014
1028,12629
1029,53497
1030,70147
1031,61388
1032,88554
1033,90482
1034,62238
1035,78934
1036,87006
1037,86224
1038,44074
1039,53947
1040,59803
1041,41657
1042,53843
1043,53990
1044,64702
1045,85047
1046,53007
1047,45543
1048,64162
1049,60739
1050,56557
1051,69896
1052,86734
1053,66832
1054,60832
1055,52583
1056,80128
1057,58841
1058,59032
1059,42807
1060,76514
1061,63177
1062,72332
1063,12550
1064,61320
1065,43649
1066,70765
1067,39131
1068,56277
1069,80535
1070,51070
1071,64532
1072,44257
1073,85370
1074,74231
1075,45063
1076,81838
1077,66879
1078,63709
1079,49904
1080,65764
1081,85645
1082,58168
1083,72356
1084,76771
1085,61372
1086,47168
1087,43484
1088,60016
1089,12206
1090,26274
1091,75699
1092,84918
1093,62178
1094,11098
1095,86250
1096,47953
1097,13848
1098,68814
1099,26316
1100,19250
1101,13877
1102,89176
1103,45112
1104,42900
1105,66639
1106,81110
1107,80793
1108,22359
1109,17700
1110,87181
1111,85430
1112,17585
1113,69023
1114,70209
1115,73295
1116,48216
1117,63731
1118,70975
1119,62104
1120,43152
1121,13441
1122,38910
1123,67904
1124,69152
1125,45304
1126,42905
1127,50201
1128,76298
1129,60722
1130,81015
1131,29543
1132,13451
1133,60498
1134,52873
1135,69310
1136,66417
1137,91831
1138,90257
1139,47775
1140,22767
1141,47794
1142,44998
1143,22373
1144,38633
1145,10727
1146,47862
1147,26276
1148,18287
1149,54656
1150,72856
1151,38707
1152,60812
1153,47048
1154,68928
1155,51759
1156,48750
1157,28793
1158,60492
1159,82806
1160,43950
1161,89387
1162,52643
1163,78308
1164,57889
1165,71061
