구분,총자산증가율2017,유동자산증가율2017,매출액증가율2017,매출액순이익률2017,매출총이익률2017,자기자본순이익률2017,총자산순이익률2017,매출원가대매출액비율2017,매출액대판매관리비2017,매출채권회전율2017,재고자산회전율2017,총자본회전율2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,고정비율2017,순운전자본비율2017,차입금의존도2017,현금비율2017,부채/총자산2017,부채/매출액2017,부채/현금흐름2017,유동부채/부채2017,총부채/총자산2017,유동부채/총부채2017,유동자산/총자산2017,현금흐름/매출액2017,이자보상배율2017,차입금평균금리2017,정상기업여부
(주)STX,-0.1132767846671442,-0.0217149483804773,0.0486729959486161,0.1853706292775897,0.0472903378166372,7.856813909774436,0.5328503908901715,0.9527096621833628,0.022869063207157,12.025692990760124,9.462460081488825,2.874513578374037,60.87806688940636,13.744877819548872,0.8588489496932206,0.0678201618377734,0.5310037708874492,0.2418260451093313,-0.124605205707347,0.4344968145558385,0.2409523070285804,0.4344968145558385,0.1511549007194499,4.960251046025105,2.0317275777969304,0.9321798381622266,0.9470052069978222,0.7581739548906686,0.0304732359948954,2.279468074097071,3.77,1
(주)가야호텔,-0.0164269150423926,0.4024775226087899,0.4767077325946877,0.3975402618472876,1.0,0.4947917522244618,0.1023940697552056,0.0,1.0871711297428843,75.61696929974826,0.0,0.2575690554697566,0.2697035536635741,3.8322305520951048,0.4311995451042654,0.2069437683527809,0.3582864449352955,0.9566755388158812,-0.0571498126782129,0.7382618563645418,0.3229098177286119,0.7382618563645418,2.866267669530773,43.8789509078682,0.1360957131892227,0.7930562316472191,0.1266924965126892,0.0433244611841188,0.0653221558452712,-2.3477215935316496,1.25,0
(주)가현산업개발,-0.0271019740971689,-0.156471366495156,-0.141425503630228,-1.4731709849623142,0.9920108476563932,-0.191940795232805,-0.036940509958402,0.0079891523436068,1.2282772015978305,13.29343942838584,inf,0.0250755074159616,0.0276279519503607,4.195943300429417,0.1171127316278296,0.1924578353111273,0.1171127316278296,0.907623798467184,-0.69640397845971,0.7779331491340387,0.0223844443339821,0.7779331491340387,31.023625413811217,-1426.1547100940616,1.0139433971550915,0.8075421646888727,0.9767665571944774,0.0923762015328158,-0.0217533379753484,-0.1694468293879553,4.6,0
(주)강원심층수,-0.0352445357007588,-0.0366198697724577,0.2377366392195417,-0.1118358930204286,0.3514240229810609,-2.190868575324364,-0.0420663322560033,0.6485758696067112,0.3797145777834778,11.89613481199232,14.494680493542656,0.3761433929652553,0.4008236193476968,51.081283483223146,0.0751297758839362,0.0192007556864862,0.050526766506763,0.9486039859795592,-0.6327004499413256,0.8609751402013777,0.0024083876311674,0.8609751402013777,2.2889545750466143,-225.03352798927105,0.7945600656968559,0.9807992443135136,0.6974887755348781,0.0513960140204407,-0.01017161573877,-0.3440365115006263,3.41,0
(주)거금솔라파크,-0.0308683615897417,0.1553399620401519,0.129999397364501,0.1767939335305014,0.5273092658404122,0.1417730844206321,0.0260987412799156,0.4726906148517498,0.0449013855099914,9.573919151998355,inf,0.1476223802408524,0.1754203893389292,4.432180920147816,1.1159730262555851,0.1840881249538332,1.1159730262555851,0.841918397239317,0.016427995474431,0.6729386682838235,0.8883785763735542,0.6729386682838235,4.5585138729364365,51.55642154607194,0.2105,0.8159118750461668,0.1736138350305658,0.1580815851481759,0.0884179649447324,1.607373808648294,5.35,1
(주)거제씨월드,-0.0072314126123602,0.5728343136941333,0.2015708152173379,0.4567332508820632,1.0,-0.2315271861524372,0.1289331380098189,0.0,0.9413867402441596,34.87205854400304,0.0,0.2822941788468819,1.315316800872376,-2.795715125888002,0.2282850590351738,-0.556881203250704,0.2190426562615561,0.8335331729538634,-0.5627391391686195,0.8127043066803827,0.1810417271785682,0.8127043066803827,2.878926905259348,18.813010910101195,0.8972586464975328,1.556881203250704,0.4683761128930094,0.1664668270461365,0.1530285034658422,0.2252504749755442,5.61,0
(주)검단아스콘,0.0724518277474938,0.6138935262474494,1.6780368985891716,0.1271090586862239,0.2649384942407313,0.7422328549350597,0.1199765792163092,0.7350615057592688,0.1211238972682054,38.36009396158629,25.71540566084664,0.943886930297221,1.2517988906737016,5.1864812264472615,1.092345010526858,0.1616427761430829,0.9710028522312432,0.7571170962236671,0.0205329123032304,0.6116216512690403,0.8596801219441529,0.6116216512690403,0.6479819050746327,6.568993037704028,0.3635417271637676,0.838357223856917,0.2652210598844331,0.2428829037763329,0.098642501423797,230.6029791761666,0.08,1
(주)경기라이프,-0.0791695048850576,-0.204759583992714,-0.1123278878269501,-0.2437600822193691,0.2216851662811351,0.1471846767993149,-0.0403464015433539,0.7783150260358771,0.0068197535726731,427.3999671214861,inf,0.1655168523739036,inf,-4.648024883734892,0.4353348729792148,-0.2741209371840106,0.4353348729792148,0.9327368984038246,-0.0872457736884079,1.1089211604388676,0.4285170985160478,1.1089211604388676,6.699747757006686,inf,0.139332606137153,1.2741209371840103,0.1212670404946567,0.0672631015961754,0.0,0.4673324164424634,6.39,0
(주)경남금속,0.0209617889494607,0.0390882839657144,0.3890519309469006,0.0132268522152625,0.037616864475445,0.0884088734499706,0.0212008164493549,0.962383135524555,0.0103975669627768,8.912719655795941,5.42363506130703,1.6028618226255815,3.33795293395115,3.170069206146705,1.1196210423651085,0.2398041692200981,0.4869911173067606,0.4966443615993685,0.0537788427181294,0.6524412979828573,0.0449520783196711,0.6524412979828573,0.4070477497019177,-869.7771853962951,0.6890685470750801,0.7601958123502266,0.5913960192215637,0.5033556199709563,-0.0004679908332114,1.5749293803164348,4.16,1
(주)경복,-0.1152858895670721,-0.2290250903087044,1.69836311507302,0.177986028378124,0.3251814513506463,1.306379119784748,0.1667213369404697,0.6748185335062294,0.094137731651754,251.9181757491369,1.112552864902079,0.9367102488869355,28.034126231438737,6.835704438066073,0.6918931438725253,0.1276209443457274,0.0400790298062973,0.3969033792357009,-0.2685648866597633,0.0513486852757801,0.0052842489005705,0.0513486852757801,0.0548181098016128,12.78338865739106,16.97534226519337,0.8723790556542725,0.999177481135569,0.603096620764299,0.0042882299264145,4.912132801425347,5.49,1
(주)경주신라컨트리클럽,-0.0108972862001785,-0.2112394448171214,0.0412990530779827,0.0131077013574196,0.8486262106147777,0.0158356287463926,0.0018953951951906,0.1513737893852223,0.8174755496229565,96.86856858897582,13.033693867149896,0.1446016462770369,0.1497705497752108,7.354789959673776,0.4556187953680133,0.1196918180859984,0.4305263808536593,0.9695059166989118,-0.0364348573201112,0.7961951306885549,0.3569103605853428,0.7961951306885549,5.506127704543239,-84.22238653568536,0.0840609770664118,0.8803081819140015,0.076028988479557,0.0304940833010881,-0.0653760589200386,3.622473250682595,0.15,0
