구분,항목,자산(*),자산(*),자산(*),자산(*),당좌자산(*),당좌자산(*),당좌자산(*),당좌자산(*),유동자산(*),유동자산(*),유동자산(*),유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),비유동자산(*),부채(*),부채(*),부채(*),부채(*),유동부채(*),유동부채(*),유동부채(*),유동부채(*),장기차입금(*),장기차입금(*),장기차입금(*),장기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),단기차입금(*),사채,사채,사채,사채,현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),현금 및 현금성자산(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),단기예금(단기금융상품)(*),자본(*),자본(*),자본(*),자본(*),매출채권(*),매출채권(*),매출채권(*),매출채권(*),매출원가(*),매출원가(*),매출원가(*),매출원가(*),재고자산(*),재고자산(*),재고자산(*),재고자산(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),판매비와관리비(영업비용)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출액(영업수익)(*),매출총이익(손실),매출총이익(손실),매출총이익(손실),매출총이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),영업이익(손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),당기순이익(순손실),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(유)그룹세브코리아,013171,,,12784386,21516733,,,8682684,9616265,,,12161274,20439531,,,623112,1077202,,,4880974,10155504,,,4647190,9867518,,,0,0,,,0,0,,,0,0,,,4446324,3534992,,,0,0,,,7903412,11361229,,,4050670,6059734,,,20888718,29310675,,,3478590,10823266,,,8030286,12605417,,,37141344,54422580,,,16252627,25111905,,,8222341,12506489,,,5587580,8457816,,,3481825,-911332,,,47143,0,,,0,0,,,148341,242075
(주)21세기화장품,030113,,,,11871743,,,,1259840,,,,2819878,,,,9051866,,,,9098223,,,,9034809,,,,0,,,,2373860,,,,0,,,,425201,,,,180000,,,,2773520,,,,244420,,,,12204266,,,,1560038,,,,20171501,,,,33608439,,,,21404174,,,,1232673,,,,881855,,,,-67840,,,,0,,,,0,,,,579405
(주)3Z,012815,,,9664522,11973434,,,1256958,1885611,,,4060731,5706131,,,5603791,6267303,,,7240688,9482018,,,6103361,6752440,,,362809,170000,,,4446983,5574024,,,0,0,,,81836,37849,,,10000,185700,,,2423834,2491416,,,938630,1332001,,,5502157,6334074,,,2803773,3820520,,,1422587,1320390,,,7214756,8160127,,,1712599,1826053,,,290011,505663,,,52821,67582,,,23063,-43988,,,273290,446539,,,10.61,7.14,,,3887966,4013874
(주)ABC,020570,,,7505339,6315224,,,3084888,2804196,,,4302633,3935394,,,3202705,2379831,,,9239214,10045453,,,6203973,7023118,,,132610,0,,,2532565,2147244,,,0,0,,,65042,20464,,,36250,142500,,,-1733875,-3730228,,,2692935,3007565,,,9494359,7162017,,,1217746,1131198,,,4015625,1902838,,,11957368,7769549,,,2463009,607532,,,-1552617,-1295307,,,-2099144,-1966943,,,-2358699,-44578,,,542848,521828,,,20.61,10.22,,,532367,450157
(주)DCFTREK,017676,36258716,35268464,34779363,22840235,5086746,3464901,2882328,3968457,13849354,12867337,12327345,10128625,22409362,22401127,22452018,12711610,31545366,29772198,29142580,18746765,22088364,21750780,21533589,15348450,4197508,4078171,5274151,3072148,7809826,6384000,5580000,0,0,0,0,0,648714,524214,118217,64870,1039000,1113090,589980,590000,4713350,5496266,5636783,4093469,2202375,1204569,1241083,2403209,23922225,31500519,33206973,35338742,8762608,9402436,9445017,6160168,814848,888467,856630,941593,28685793,35260994,36128501,37538983,4763568,3760475,2921529,2200242,3948720,2872007,2064898,1258648,1428124,607738,33766,20968,-137821,-124500,-405998,-53347,2590131,1751177,1216404,804512,30.79,11.4,9.17,11.55,19030333,19402731,17523668,8077769
(주)ENS,030661,,,,10966055,,,,9087432,,,,10375035,,,,591020,,,,10005413,,,,6466167,,,,0,,,,584529,,,,0,,,,44283,,,,140000,,,,960642,,,,8574673,,,,15804161,,,,1287603,,,,1767324,,,,18355914,,,,2551753,,,,784428,,,,325587,,,,-42189,,,,70066,,,,23.97,,,,153232
(주)GBSTYLE,029522,,,,12446709,,,,6212092,,,,7110367,,,,5336342,,,,10624985,,,,9348010,,,,963948,,,,5745073,,,,0,,,,7918,,,,90000,,,,1821724,,,,6013554,,,,9434280,,,,898275,,,,4132042,,,,13977080,,,,4542800,,,,410759,,,,208698,,,,-127148,,,,369960,,,,11.03,,,,4894089
(주)KAL호텔네트워크,029255,,,,101184505,,,,14233690,,,,14233690,,,,86950815,,,,64881120,,,,7843011,,,,56900000,,,,0,,,,0,,,,31584,,,,13348267,,,,36303385,,,,0,,,,0,,,,0,,,,1301153,,,,0,,,,0,,,,-1301153,,,,-1176690,,,,29261,,,,0,,,,0,,,,86516704
