구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009,2006,2007,2008,2009
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)CMG제약,058820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241196,-136250,3519078,-5170292,84034,0,749282,1043922,4.09,0,25.93,22.83,2262645,7133072,11104224,10160524
(주)DB하이텍,000990,1133807782,3504147886,3737118214,2726615460,169151217,350590021,370929730,289518885,355194985,657666001,835375126,567639069,778612797,2846481886,2901743088,2158976391,724695561,2668431728,2892786473,2119070422,467085410,1136305119,1272903298,560684321,42508311,1064611919,1270400273,1180121269,234396591,440312758,523132455,91441449,0,65000000,40000000,116000000,20361339,42462782,37388526,77558911,6284999,28648174,101987695,8616011,409112221,835716158,844331741,607545037,114865822,199948368,172808776,161576725,986926420,1238988060,1511457433,1081309587,186043768,307075980,464445395,278120184,133831289,262084833,335526885,291364818,1144404300,1462818466,1880810771,1236478565,157477880,223830406,369353338,155168977,23646591,-38254428,33826453,-136195840,2276757,-53586804,-299266983,-183352446,1463387,5498013,7608799,43283764,36860898,125550856,175925672,171355237,7.29,10.35,9.09,10.15,505842464,2188444431,2219383544,1751589396
(주)ES큐브,050120,29694128,,,,20203854,,,,23516691,,,,6177437,,,,4409848,,,,1370978,,,,0,,,,0,,,,0,,,,3059211,,,,13215000,,,,25284280,,,,522236,,,,11760876,,,,3312837,,,,3827181,,,,14281239,,,,2520363,,,,-1306818,,,,-3338465,,,,-12700563,-2229769,-356724,2719740,270333,86989,75876,91067,18.01,5.8,15.37,4.1,773717,925569,1054710,1467600
(주)HJ중공업,097230,,4881845000,8041115000,8173812000,,2057059000,2332147000,2957798000,,2410903000,3060706000,3422140000,,2470942000,4980409000,4751672000,,3945379000,5936270000,6092886000,,1981503000,3140057000,3473515000,,687698000,1001132000,802655000,,210326000,513922000,727525000,,0,0,0,,668696000,484532000,1276919000,,93808000,37633000,0,,936466000,2104845000,2080926000,,643624000,1133059000,1101589000,,1099381000,2868343000,3145502000,,353844000,728559000,464342000,,84936000,168959000,143922000,,1218728000,3403175000,3679824000,,119347000,534832000,534322000,,34411000,365873000,390400000,,28408000,62998000,51644000,,58524000,-254764000,732418000,,39873000,104517000,179550000,,,4.46,6.26,,1300875000,2625203000,2588285000
(주)MH에탄올,023150,,,112504999,131482211,,,27446889,29676173,,,36596329,40153119,,,75908670,91329092,,,78062005,86385914,,,47635751,73161548,,,29146428,9743619,,,11296782,12933356,,,0,0,,,9526233,345378,,,13630000,16230000,,,34442994,45096297,,,2466344,8846297,,,41783530,52198290,,,9149440,10476946,,,9267713,7333621,,,49351924,64449297,,,7568394,12251007,,,-1699319,4917386,,,-6464280,1317046,22131,-153319,2302207,-2094849,532433,964507,2130892,3469712,3.49,4.62,5.99,6.38,23032355,22920355,21994027,39031246
(주)SH에너지화학,002360,96577563,120423763,133437360,99800780,26985516,34600600,34636848,26254720,38661166,61627365,42100425,32727946,57916397,58796398,91336935,67072834,38200153,56259743,59807100,30113620,33557815,49376328,54878731,25770862,0,2500000,0,0,7639834,13722750,22716850,22050200,0,0,0,0,1685517,4474944,918825,1721691,2319367,4375290,11279430,1000000,58377410,64164020,73630260,69687160,25104159,25991836,22189779,22979992,197834643,218693722,252028384,122351952,11675650,27026765,7463576,6473226,13007706,11653053,10636101,8730574,211750369,233763567,248526220,136846039,13915726,15069845,-3502165,14494087,908020,3416792,-14138266,5763512,-1639165,2748712,-15592873,4921009,-669620,692629,68116,814369,1548520,1297107,1617904,1317100,8.72,7.34,8.08,5.92,37332626,36801235,43711127,41376370
(주)SIMPAC,009160,,,,176980102,,,,54468422,,,,74271002,,,,102709100,,,,72800144,,,,68431094,,,,0,,,,10000000,,,,0,,,,7935559,,,,10000000,,,,104179958,,,,35980229,,,,96843144,,,,19802579,,,,14014701,,,,122569148,,,,25726003,,,,11711303,,,,13692827,-4059086,24648829,7479566,-29689947,1724688,901605,1179587,1136980,14.37,6.25,6.95,7,42070468,42137909,36956296,25814272
(주)SNT에너지,100840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13006944,-14434194,,,0,1934342,,,,3.87,,,117423388,118937728
(주)SNT홀딩스,036530,958911788,1233190401,1828167385,2013928636,413751593,551291924,556502535,803148709,545591785,732832527,756401660,986383403,413320003,500357874,1071765725,1027545233,573122374,635727540,769460736,887437451,360738047,540254277,529745298,665792824,127647689,2044908,3928000,2294830,64002593,72688250,202808340,268179313,0,0,0,0,105753537,151610035,220704928,174478108,2761963,52698862,48588049,249422976,385789414,597462861,1058706649,1126491185,295057755,344026014,281300587,361622037,825141957,1043692499,915596323,963350572,131840191,181540604,199899125,183234695,82640283,121128534,111298888,111063169,959964537,1246833419,1090955909,1176421032,134822579,203140921,175359586,213070461,52182297,82012387,64060698,102007292,43192854,54042745,59128996,66370249,3759297,-12710540,-22514411,27807735,0,0,0,0,0,0,0,0,29365737,28890390,33360,45104
(주)STX,011810,3963939573,7967403718,23269857165,22988075337,1469218007,3677477217,11520889216,11334175484,1644352353,3862593433,12867229033,12348753088,2319587220,4104810285,10402628132,10639322249,2858010701,5828592970,19228041451,19473473404,1375366778,3131291842,12587670986,12847661204,432016496,455550164,1092131559,1715274214,187109131,366084380,3095248329,4368471404,0,0,0,0,447472865,1423643666,1779995507,2649696187,65435671,162668335,337521215,598473391,1105928872,2138810748,4041815714,3514601933,437836707,768165803,4867904066,5459137454,4449095074,7419895834,15004283501,16536794917,175134346,185116215,1346339817,1014577604,149293808,284264006,418095878,649352606,4810543607,8346308915,16265269019,16994193759,361448534,926413081,1260985518,457398842,212154726,642149075,842889640,-191953764,132608735,463901895,363078281,-500413506,47282943,114705309,-112568642,114489131,17122031,20314683,46801652,80525089,5.96,4.32,6.99,8.01,75588489,78229271,127599743,177280650
(주)TCC스틸,002710,270084588,292219840,300022317,281976646,72734690,79702774,80146919,87970929,114831278,131972644,141983408,128413939,155253310,160247196,158038908,153562708,132913271,151997792,160577489,129206192,100067419,123561979,136787835,103067781,1541340,2966614,3005345,3962745,66952474,88648998,88564941,61194518,0,0,0,0,12685195,10499337,12326039,12523195,5052287,5486672,5295175,6369116,137171317,140222048,139444828,152770454,46182409,50697399,50723386,52339333,261271303,266875171,354572463,320305950,42096588,52269870,61836490,40443009,22477251,22730697,30557989,28454921,283226170,297902140,437461926,363845213,21954867,31026969,82889463,43539263,-522384,8296271,52331474,15084342,6778310,952516,624601,12010743,2742192,-2133933,3541544,-614376,4220923,5236541,7219849,3962714,5.64,6.4,8,5.37,96877063,94227573,93394225,90193140
