구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018,2012,2013,2014,2015,2016,2017,2018
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)CMG제약,058820,57108035,55912563,58068326,56532821,110979867,109568153,114379880,44154040,33590980,23387837,20815997,72378446,73322813,72797832,47109213,38209699,28300941,26271614,78772201,81227330,81370415,9998822,17702864,29767385,30261207,32207666,28340823,33009465,25517350,6915281,9065682,9725933,9872232,11624134,10398033,6793095,5500075,8719202,8849994,9136755,10884321,8495060,0,0,0,0,0,0,0,100000,0,5451,6273,0,0,0,0,0,0,0,0,0,0,4674359,21705184,8827046,2566167,2148521,3799004,13464430,30000000,0,0,5000000,32000000,35000000,41000000,31590685,48997281,49002644,46806888,101107635,97944019,103981846,11362566,13999415,16787073,15838057,14435808,16768648,19030822,11648690,12506817,14318048,17237814,19663389,23497552,27124841,2955172,4618718,4913103,5455617,6393756,7904518,8572582,8812202,7104073,7992213,12376249,11575683,16479429,20172121,16255389,20402140,22752584,27041894,32969825,41535588,49864782,4606698,7895323,8434535,9804080,13306436,18038036,22739941,-4205503,791250,442322,-2572168,1730753,1558607,2567820,-6660149,296181,158039,-3650091,1727895,2834901,6065026,3520645,17031828,-12878036,-6260763,-417642,1650483,9665426,542880,1133753,122840,79830,0,0,0,4.5,10.84,8.32,10.38,0,0,0,9264142,10805092,18833775,17822468,16905814,16182518,17268535
(주)DB하이텍,000990,1157755031,1058391832,984876636,984643712,986788572,993950720,1066533840,229881755,150583013,178402803,254297698,292579433,278643950,340487288,309144147,222960700,247582371,337757266,368924211,353662841,383378937,848610884,835431132,737294265,646886446,617864361,640287880,683154903,866861695,853635085,864173902,730586221,644871257,538152775,508142309,555433290,476867874,376436760,244044785,274231115,145225195,156796450,214817416,276846544,391619824,399748737,282487037,315595985,277380073,5141640,6452198,7547468,5218930,15253525,11286143,15890934,0,0,0,0,0,0,0,39917597,35222233,40369011,108132861,115579823,107494652,119106293,0,0,0,0,0,0,0,290893335,204756748,120702734,254057491,341917315,455797946,558391531,69176000,59941499,83353090,92342122,110311838,85709910,98855166,494003057,404500718,430813375,436915515,483129939,426170592,453942755,79262392,72377687,69179569,83459568,76344778,75018890,42891649,112405062,98861923,91344601,104710656,117582311,110371984,102343239,590786488,493752028,567718224,666594987,773140180,679737744,669279136,96783431,89251311,136904849,229679471,290010241,253567151,215336382,-15621631,-9610612,45560248,124968815,172427930,143195168,112993143,-31341318,-83046768,-77008844,126733352,88344018,110175089,86828768,4023389,-3873460,4608284,65497753,5992488,-8694853,16677872,50196743,59545366,67651856,50040000,39113564,23682439,16701486,7.25,8.87,10.25,8.45,8.25,6.09,5.06,684941380,635765049,591653498,533113708,547687840,555556192,597563521
(주)ES큐브,050120,46281660,47137573,56611836,55620280,105164626,105892131,112430896,17862800,32092274,40130597,34397183,43438088,42691587,35824746,22707006,38357211,46214758,41180599,50885945,51038158,45061626,23574654,8780362,10397078,14439681,54278681,54853973,67369270,6421979,4765132,6983745,5965820,33468504,33075251,41682289,4802996,3630549,6002775,5378364,3406254,3702478,37613190,0,0,0,0,28600000,27400000,2100000,153555,152765,568302,0,0,0,0,0,0,2700000,2000000,0,0,10000000,4071828,10119258,25536887,26509578,31283393,24250014,26730206,1200000,11000000,5700462,0,6000000,6000000,4278,39859681,42372440,49628091,49654460,71696122,72816880,70748607,4718926,4935099,10542241,7805190,4142905,3886201,4655667,40290541,44088670,34936541,30433006,24454448,26057940,26036057,4844206,6264936,6084161,6783417,7447857,8346570,9236879,15591269,15673302,9351950,15780388,7673895,7439335,8938580,55971147,58597361,44459581,42152967,34289385,35745794,33763508,15680606,14508692,9523040,11719961,9834937,9687855,7727451,89337,-1164611,171090,-4060426,2161041,2248520,-1211129,-359216,-16455910,-615409,-2307159,21541047,1737925,-6121462,716488,6906412,-3793694,9256118,14050930,-7022189,-2856953,32239,22822,0,0,203736,785009,1482191,0,0,0,0,1.37,2.69,4.63,1395951,914811,640405,596347,4673186,7506218,10880733
(주)HJ중공업,097230,6585093000,6683379000,6470284000,5914637000,5256464000,4206655000,2733620000,2050402000,2187127000,1991705000,1555521000,1697210000,1184628000,1201708000,2274211000,2788908000,2647534000,2429499000,2372221000,1894161000,1720906000,4310882000,3894471000,3822750000,3485138000,2884243000,2312494000,1012714000,4869577000,5044381000,4897208000,4546048000,4361281000,3629457000,3441806000,2448324000,3284862000,2843001000,3430218000,2636927000,3329421000,2140149000,777978000,793546000,1458914000,628609000,1269833000,82638000,1140191000,354648000,534025000,489339000,660354000,514563000,243789000,104816000,0,0,0,0,0,0,0,731662000,590556000,350490000,163004000,138821000,145442000,229003000,2510000,50325000,52470000,13523000,15084000,26076000,15616000,1715516000,1638998000,1573076000,1368589000,895183000,577198000,-708186000,268734000,245971000,294422000,203499000,134921000,130629000,109666000,2358260000,2464368000,2537259000,3004437000,2753545000,2431066000,1557089000,223809000,601781000,655829000,873978000,675011000,709533000,519198000,138145000,134547000,128054000,190406000,139045000,137941000,79104000,2549319000,2529341000,2520325000,3115473000,2813271000,2452314000,1697869000,191059000,64973000,-16934000,111036000,59726000,21248000,140780000,52914000,-69574000,-144988000,-79370000,-79319000,-116693000,61676000,-53214000,-190193000,-299811000,-260925000,-334446000,-277978000,-1283647000,-24383000,-176549000,-230893000,-135332000,19082000,8296000,121354000,168022000,151803000,136071000,130127000,122397000,97781000,99651000,6.03,5.07,5.1,5.68,5.72,5,5.73,1343556000,1329680000,1263266000,1223488000,1036188000,653140000,636673000
(주)MH에탄올,023150,134385813,129697936,85534839,78996052,72339673,500180086,440177523,29442863,30691863,21744832,18897796,14170827,79158980,23037990,50009828,43178092,28731429,22500870,19709368,84767703,29576016,84375986,86519844,56803410,56495181,52630305,415412382,410601507,94707555,83812413,32746158,21111704,8757790,393342742,348592051,81625166,75260635,31619269,20538639,7640748,189894170,141080352,7613360,8166707,732160,484060,348460,169747422,163785632,68371514,64376121,28450064,18000000,5000000,41603421,45739383,0,0,0,0,0,0,0,597206,108868,7509,3159526,1365583,14814756,6903478,7610000,8995000,8850000,4325000,640000,48663552,1596795,39678259,45885523,52788681,57884347,63581883,106837344,91585473,10118103,10691393,10379733,11080407,9965259,10887252,10529867,49030452,54316861,37109977,36425005,33962392,37225576,53524709,20566965,12486229,6986598,3603074,5538540,5608722,6538026,5285990,4873284,3128953,2869185,3060158,6634846,18042950,59768175,62199887,48983781,50386203,48897025,51977132,72795863,10737723,7883025,11873804,13961198,14934634,14751556,19271154,5451733,3009741,8744851,11092013,11874476,8116711,1228204,287369,7028234,-203193,7778593,8144684,4308068,-12033428,-882728,44981,-42898,3147038,-1794709,-596012,-756245,3983343,2808886,1555697,873794,403741,313976,1033740,5.5,3.9,3.08,3.64,3.35,1.49,2.87,34423174,34123721,36083178,36846498,37390792,39418503,40585694
(주)SH에너지화학,002360,103690070,110488951,110741407,115520726,124488724,125312154,122434685,36298656,47107480,46427475,56314250,72650775,67611880,63504697,50509179,59051785,60325646,68213722,84222915,87597479,85758694,53180891,51437166,50415760,47307003,40265809,37714675,36675991,38808867,40889810,26504210,23874505,20399837,17618682,17043794,29499813,35131167,20681148,17080931,12512423,8284440,6658546,4000000,500000,0,0,0,0,0,24066914,26982012,9568698,6881833,3560425,3553570,3500000,0,0,0,0,0,0,0,2188211,5531807,7793768,19647658,26449147,33117530,29395933,2000000,2027421,2053368,2102519,1200000,1542848,4281690,64881202,69599141,84237197,91646221,104088887,107693472,105390892,30307562,33797271,33429222,32536497,44363775,32135522,28065346,178829327,213952261,197661842,179135051,179759098,161824273,171330094,14210523,11944305,13898172,11899473,11572141,19985599,22253999,12937591,11535730,11978837,14356137,14537419,12108613,10168002,193950102,231912218,230912587,216441364,218397677,188114822,183598766,15120775,17959957,33250745,37306313,38638579,26290550,12268672,2183184,6424227,21271907,22950175,24101160,14181936,2100669,210854,4606872,16733050,12590617,18028878,9879057,2033570,-3129684,4344861,1903509,11794790,6110484,5806425,-4051107,1270453,1211308,797274,269400,112668,84964,91287,4.41,4.28,4.25,3.29,2.18,2.43,2.61,32608108,31944570,31070401,32654731,31792327,30956708,29913044
(주)SIMPAC,009160,318665505,361985890,381939281,422833445,417865468,381158251,681750819,127407068,82988903,104134645,117877764,130819174,111416466,200693370,152757766,108635043,144850453,174086524,176778523,150671614,310736335,165907739,253350847,237088827,248746921,241086946,230486637,371014484,130804553,153154843,162814028,190825603,177448939,140332152,246717950,108358727,133795401,136708331,169308019,155344858,130651105,228518804,10000000,6666640,2499990,220000,220000,178750,123750,30338486,57162310,35004397,50481896,24590628,20000000,105000000,0,0,0,0,0,0,0,23996902,9579706,26579526,24992942,51893169,30772455,112467533,20000000,700000,770000,267720,750169,814926,2727867,187860952,208831047,219125252,232007841,240416530,240826100,435032869,64410349,70776019,85807726,92407160,82187792,92525495,83584396,182861979,164405183,220084616,221412942,217713888,193009825,271995017,25350698,25646140,40715808,56208760,45959349,39255148,110042965,17300065,17746622,25725748,26874065,25794076,25927072,23965220,225353321,205751154,263152264,269528038,267074156,230634812,306150809,42491342,41345972,43067648,48115096,49360268,37624987,34155792,25191277,23599349,17341900,21241031,23566192,11697915,10190572,19285856,20043596,14312319,16449973,16183843,12895699,69198558,-40130183,-14041740,9708890,-4892168,24294646,-16175108,75329291,1623737,1423590,2022728,1006031,1023886,915110,2222506,3.87,2.67,4.16,2.74,2.48,2.03,2.9,64182764,64271295,70604838,75847152,75130388,70402759,156312739
(주)SNT에너지,100840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24928228,20524404,-26892632,-7259325,27086007,-1636922,2394227,195405,330740,335302,94454,0,0,0,1.57,6.58,6.25,3.42,0,0,0,122289502,120367341,120065551,118714558,118148046,116825424,115728393
