구분,항목,자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),당좌자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),비유동자산(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),유동부채(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),장기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),단기차입금(*)(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),사채(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),현금 및 현금성자산(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),단기예금(단기금융상품)(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),자본(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출채권(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),매출원가(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),재고자산(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),판매비와관리비(영업비용)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),매출총이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),당기순이익(순손실)(연결)(천원),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),현금의 증가(감소)(*),이자비용,이자비용,이자비용,이자비용,차입금평균이자율,차입금평균이자율,차입금평균이자율,차입금평균이자율,유형자산(*),유형자산(*),유형자산(*),유형자산(*)
,년도,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002,1999,2000,2001,2002
회사명,거래소코드,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)CMG제약,058820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-579838,1544677,-1474045,,307112,284906,382103,,,2.69,4.07,,6362768,3788727,3117419
(주)DB하이텍,000990,881920924,819953494,850097402,885694742,145237028,110104252,99686707,91866540,334053381,278685379,268825329,265891277,547867543,541268115,581272072,619803465,587716423,524667730,543217467,576062427,382022772,329187592,338617532,402129019,8860216,9443388,20559903,15784950,200988492,140204353,96382432,181295723,0,0,0,0,29844875,4144267,5721413,9764492,9503977,9938170,13802682,12284673,294204501,295285765,306879935,309632315,83377638,76049322,64444046,58163042,419412615,624939746,656701097,645165430,188816353,168581128,169138623,174024738,118322391,148269082,134297414,88748972,585287325,824609854,851708318,789679473,165874710,199670108,195007221,144514043,47552319,51401026,60709807,55765071,10463277,14014949,7122252,17401180,-30995933,-25483170,996573,3127671,53850581,50214280,41333089,34867047,13.39,12.08,10.53,8.64,418256736,435477719,446893256,446726340
(주)ES큐브,050120,,,,13759564,,,,6402827,,,,10549845,,,,3209719,,,,6453978,,,,6272579,,,,0,,,,758405,,,,0,,,,1683302,,,,1968118,,,,7305586,,,,2060327,,,,13847441,,,,4147018,,,,2862028,,,,17510166,,,,3662725,,,,800696,,,,519594,,,408485,1162064,,,263708,211485,,,,27.89,,,27420,50973
(주)MH에탄올,023150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1242047,-290045,786170,-553003,1064588,746881,1163375,693252,12.22,6.8,8.21,5.48,13664271,21290830,20395901,15964228
(주)SH에너지화학,002360,114069313,105023992,109169173,109535892,44576844,37252135,40952016,40917849,49655452,41502751,44903603,44374358,64413861,63521241,64265570,65161534,102357748,94297340,84047932,74826883,43213868,12040549,13046046,8810253,58119344,84011672,45337884,36783352,3695529,3350150,4059333,749524,0,0,0,0,8748738,1398421,1356866,3483437,0,109655,111778,906243,11711565,10726652,25121241,34709009,34933346,33704956,34732760,30787336,49591732,69422138,71753433,70929572,5078608,4250616,3951587,3456510,10990840,7678444,6715464,9053657,64992440,83488578,83912579,89874723,15400708,14066440,12159147,18945151,4409868,6387996,5443682,9891494,-11880928,-2542845,2890462,7328499,1503975,-9986659,-14822,1519110,11742348,8143207,4271917,4558174,13.46,20.14,5.68,6.87,59331556,56145513,57032713,57686136
(주)SIMPAC,009160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490693,-2298596,-178063,1144775,5522552,3419430,4356196,2186682,17.22,15,21.66,9.98,43462069,42502210,41585387,42282020
(주)SNT홀딩스,036530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3497947,5139828,16921321,27604003,1167,0,0,0,0,0,0,0,10333169,14269417,26814623,31322887
(주)STX,011810,,478648508,1085467691,1382112917,,130649839,378372210,454751722,,258117974,546156967,624916776,,220530535,539310724,757196141,,368961922,966111198,1112818194,,229136737,644862412,700113921,,24536309,87853150,137594912,,105910841,114794077,126560863,,0,0,0,,2549649,57937529,22080310,,12289840,46675273,70185671,,109686586,119356493,269294723,,94793549,204370138,263298520,,238265584,421842528,838416937,,127468135,167784758,170165054,,17218084,23753887,54953231,,293286301,485036506,976013576,,55020717,63193979,137596639,,37802633,39440092,82643408,,2769474,5286523,15342393,-434166,1265941,1884776,8695053,34965147,25203172,21548592,19453300,30.99,10.96,10.03,11.14,172701054,155131526,94375843,95446585
