Date,kr_3year_yield
2019-01-02,1.802
2019-01-03,1.796
2019-01-04,1.797
2019-01-05,1.807
2019-01-06,1.81
2019-01-09,1.809
2019-01-10,1.796
2019-01-11,1.804
2019-01-14,1.797
2019-01-15,1.797
2019-01-16,1.803
2019-01-17,1.795
2019-01-18,1.814
2019-01-21,1.821
2019-01-22,1.803
2019-01-23,1.803
2019-01-24,1.81
2019-01-25,1.812
2019-01-28,1.82
2019-01-29,1.823
2019-01-30,1.827
2019-01-31,1.809
2019-02-01,1.803
2019-02-07,1.801
2019-02-08,1.786
2019-02-11,1.781
2019-02-12,1.796
2019-02-13,1.801
2019-02-14,1.794
2019-02-15,1.779
2019-02-18,1.804
2019-02-19,1.8
2019-02-20,1.802
2019-02-21,1.811
2019-02-22,1.814
2019-02-25,1.819
2019-02-26,1.816
2019-02-27,1.808
2019-02-28,1.813
2019-03-04,1.834
2019-03-05,1.836
2019-03-06,1.828
2019-03-07,1.817
2019-03-08,1.802
2019-03-11,1.81
2019-03-12,1.81
2019-03-13,1.795
2019-03-14,1.793
2019-03-15,1.803
2019-03-18,1.812
2019-03-19,1.81
2019-03-20,1.813
2019-03-21,1.793
2019-03-22,1.8
2019-03-25,1.77
2019-03-26,1.763
2019-03-27,1.722
2019-03-28,1.679
2019-03-29,1.69
2019-04-01,1.726
2019-04-02,1.706
2019-04-03,1.72
2019-04-04,1.72
2019-04-05,1.735
2019-04-08,1.723
2019-04-09,1.725
2019-04-10,1.731
2019-04-11,1.732
2019-04-12,1.733
2019-04-15,1.761
2019-04-16,1.765
2019-04-17,1.778
2019-04-18,1.741
2019-04-19,1.756
2019-04-22,1.769
2019-04-23,1.768
2019-04-24,1.749
2019-04-25,1.724
2019-04-26,1.72
2019-04-29,1.712
2019-04-30,1.699
2019-05-02,1.732
2019-05-03,1.739
2019-05-07,1.723
2019-05-08,1.717
2019-05-09,1.708
2019-05-10,1.719
2019-05-13,1.721
2019-05-14,1.711
2019-05-15,1.71
2019-05-16,1.675
2019-05-17,1.67
2019-05-20,1.681
2019-05-21,1.663
2019-05-22,1.667
2019-05-23,1.648
2019-05-24,1.643
2019-05-27,1.652
2019-05-28,1.654
2019-05-29,1.619
2019-05-30,1.626
2019-05-31,1.587
2019-06-03,1.575
2019-06-04,1.57
2019-06-05,1.542
2019-06-07,1.537
2019-06-10,1.533
2019-06-11,1.542
2019-06-12,1.469
2019-06-13,1.48
2019-06-14,1.47
2019-06-17,1.491
2019-06-18,1.493
2019-06-19,1.484
2019-06-20,1.42
2019-06-21,1.44
2019-06-24,1.44
2019-06-25,1.478
2019-06-26,1.496
2019-06-27,1.494
2019-06-28,1.472
2019-07-01,1.479
2019-07-02,1.463
2019-07-03,1.429
2019-07-04,1.416
2019-07-05,1.423
2019-07-08,1.422
2019-07-09,1.424
2019-07-10,1.438
