Date,,Dubai,Brent,WTI
01岿?02老,,65.69,66.25,61.18
01岿?03老,,67.79,68.6,63.05
01岿?06老,,69.65,68.91,63.27
01岿?07老,,68.34,68.27,62.7
01岿?08老,,69.24,65.44,59.61
01岿?09老,,66.17,65.37,59.56
01岿?10老,,65.93,64.98,59.04
01岿?13老,,65.68,64.2,58.08
01岿?14老,,64.78,64.49,58.23
01岿?15老,,64.61,64,57.81
01岿?16老,,64.74,64.62,58.52
01岿?17老,,65.1,64.85,58.54
01岿?20老,,65.24,65.2,-
01岿?21老,,64.27,64.59,58.34
01岿?22老,,64.26,63.21,56.74
01岿?23老,,62.77,62.04,55.59
01岿?24老,,62.23,60.69,54.19
01岿?27老,,-,59.32,53.14
01岿?28老,,58.57,59.51,53.48
01岿?29老,,59.37,59.81,53.33
01岿?30老,,57.76,58.29,52.14
01岿?31老,,58.45,58.16,51.56
02岿?03老,,55.23,54.45,50.11
02岿?04老,,53.99,53.96,49.61
02岿?05老,,53.57,55.28,50.75
02岿?06老,,55.18,54.93,50.95
02岿?07老,,54.37,54.47,50.32
02岿?10老,,53.33,53.27,49.57
02岿?11老,,53.03,54.01,49.94
02岿?12老,,54.23,55.79,51.17
02岿?13老,,54.54,56.34,51.42
02岿?14老,,55.23,57.32,52.05
02岿?17老,,55.98,57.67,-
02岿?18老,,55.11,57.75,52.05
02岿?19老,,56.39,59.12,53.29
02岿?20老,,56.92,59.31,53.78
02岿?21老,,56.41,58.5,53.38
02岿?24老,,54.64,56.3,51.43
02岿?25老,,54.48,54.95,49.9
02岿?26老,,52.28,53.43,48.73
02岿?27老,,50.62,52.18,47.09
02岿?28老,,49.05,50.52,44.76
03岿?02老,,50.58,51.9,46.75
03岿?03老,,51.72,51.86,47.18
03岿?04老,,50.81,51.13,46.78
03岿?05老,,50.78,49.99,45.9
03岿?06老,,48.58,45.27,41.28
03岿?09老,,32.87,34.36,31.13
03岿?10老,,34.18,37.22,34.36
03岿?11老,,34.58,35.79,32.98
03岿?12老,,32.69,33.22,31.5
03岿?13老,,33.93,33.85,31.73
03岿?16老,,31.49,30.05,28.7
03岿?17老,,30.83,28.73,26.95
03岿?18老,,28.26,24.88,20.37
03岿?19老,,25.82,28.47,25.22
03岿?20老,,28.67,26.98,22.43
03岿?23老,,24.6,27.03,23.36
03岿?24老,,26.64,27.15,24.01
03岿?25老,,27.05,27.39,24.49
03岿?26老,,25.74,26.34,22.6
03岿?27老,,25.04,24.93,21.51
03岿?30老,,23.24,22.76,20.09
03岿?31老,,23.43,22.74,20.48
04岿?01老,,21.23,24.74,20.31
04岿?02老,,21.55,29.94,25.32
04岿?03老,,24.51,34.11,28.34
04岿?06老,,24.87,33.05,26.08
04岿?07老,,24.88,31.87,23.63
04岿?08老,,23.52,32.84,25.09
04岿?09老,,23.32,31.48,22.76
